name;username;salary;score;price;summary
Taylor Andrews;taylor_andrews_4366;49.0;64.1;15.2;"""Good traditional; Maintain nice ; Everyone its until"""
Margaret Joseph;margaret_joseph_6192;79.0;42.1;98.2;"""Both five job; Couple audience edge national impact ; Effort card seat mother"""
Chelsea Martinez;chelsea_martinez_8917;85.0;13.1;8.2;"""Note: Sort national whom push training; then Defense worker present perhaps"""
Vanessa Adkins;vanessa_adkins_9835;57.0;1.1;56.2;"""Note: Middle gun; then In play"""
Emily Bridges;emily_bridges_1661;100.0;52.1;13.2;"""(Expect small artist her) ; Believe rest and South staff attack word soldier"""
Alex Cox;alex_cox_2698;86.0;34.1;11.2;"""Pressure drop; In collection Effort buy allow never"""
Jacqueline Davis;jacqueline_davis_7951;37.0;22.1;26.2;"""Call: Miss white; Cost allow market worker"""
Maria Lewis;maria_lewis_3674;63.0;54.1;49.2;"""(Expect teach sea) ; Go police able and Hundred indeed assume"""
Matthew Russell;matthew_russell_5875;70.0;41.1;28.2;"""(Home where) ; Radio range exist student and Spend fall"""
Deborah Morton;deborah_morton_5556;89.0;97.1;26.2;"""(National) ; Great food and Eye third woman thought"""
Sara Hanson;sara_hanson_1793;27.0;75.1;;"""Task us; Process floor purpose Bad"""
Christian Morse;christian_morse_1309;9.0;81.1;43.2;"""Note: Establish until manager board husband interest; then However specific"""
Jason Small;jason_small_2832;84.0;96.1;95.2;"""Send own against; Piece any set opportunity whether minute Partner student no"""
Roy Parker;roy_parker_5503;2.0;99.1;56.2;"""Imagine; Ever ability walk far ; Ok go"""
Laura Fox;laura_fox_6127;29.0;14.1;44.2;"""Opportunity once; Yeah form ; Maintain first"""
Timothy Taylor;timothy_taylor_0871;36.0;18.1;84.2;"""Note: Out conference; then Window program"""
David Richards;david_richards_2114;88.0;95.1;3.2;"""Natural time; Word Win drive"""
Justin Dunlap;justin_dunlap_2688;31.0;77.1;58.2;"""Note: Girl local number; then Thousand where pressure can and five"""
Sharon Perez;sharon_perez_3724;48.0;95.1;26.2;"""Mind able term either down; Successful son sell century play set ; Career sure too speak economy school"""
Theresa Black;theresa_black_5110;18.0;56.1;55.2;"""General painting report development; Agent maybe Perform he none against"""
Douglas Meyers;douglas_meyers_2241;42.0;58.1;94.2;"""(Through late) ; Foreign available heart and Least activity some specific"""
Erika Peterson;erika_peterson_1358;52.0;23.1;38.2;"""Heavy five; Indicate black administration radio simple Month say support official"""
Evan Werner;evan_werner_3152;82.0;76.1;96.2;"""(Tax message treatment assume) ; Smile do dog and Son thought sit national control lot"""
Ronald Ortiz;ronald_ortiz_5529;49.0;41.1;95.2;"""Soon with: Other address administration sense; Their because"""
Jennifer Gallegos;jennifer_gallegos_5984;17.0;35.1;43.2;"""Note: Turn science; then Such summer"""
Katherine Morris;katherine_morris_6422;88.0;36.1;8.2;"""(Consider hospital under safe and light) ; Try you and Score four"""
Frederick Perez;frederick_perez_9502;6.0;70.1;100.2;"""Size; Mission culture ; Woman throw"""
Mr. David Rodriguez;mr_rodriguez_5995;;95.1;21.2;"""Officer house whom college: Music TV trial seven; Region organization carry hour"""
Kayla Bartlett;kayla_bartlett_2210;47.0;;96.2;"""Describe: Economic; Entire follow"""
Kelli Michael;kelli_michael_0685;71.0;1.1;90.2;"""(Worker through) ; Run size effort and Range"""
e;george_morales_1953;76.0;14.1;67.2;"""Note: Admit national; then Dark could run past"""
Megan Valdez;megan_valdez_1663;36.0;99.1;54.2;"""Avoid make; Money ever Raise right hold southern watch carry"""
Emily Kennedy;emily_kennedy_3439;44.0;76.1;17.2;"""News wide know both simply; Bill find study Environmental accept"""
Rachel Thompson;rachel_thompson_0031;66.0;6.1;66.2;"""From next finally full: Money into; Benefit newspaper wall"""
