# This is a comment line to skip
name;salary;rating;score;description;summary
Kirsty Thompson-Wilson;;38.1;6.2;"""Error porro blanditiis ipsa; Minima vel dolorum ; Cum""";"""Doloremque sit: Dolor ab dolor iusto; Cupiditate reprehenderit saepe"""
Mr Christopher Johnson;82.0;90.1;96.2;"""Eveniet eaque ratione quas tempora; Nostrum earum Officiis perspiciatis expedita expedita provident""";"""Aperiam soluta architecto fugiat molestias dignissimos; Libero Facere cumque suscipit voluptates blanditiis modi"""
Lesley Marsh;60.0;60.1;87.2;"""Consectetur accusantium; Laboriosam doloremque possimus vel explicabo Porro itaque omnis""";"""(Qui quasi molestiae) ; Beatae nemo and Ea nesciunt explicabo nihil assumenda"""
Christian Ward;7.0;2.1;76.2;"""Repudiandae reiciendis omnis; Eaque eaque ; Perspiciatis aut exercitationem facilis""";"""(Minima assumenda) ; Necessitatibus laudantium and Consequuntur saepe rerum"""
Hilary Ali;70.0;12.1;55.2;"""Culpa officia repellat voluptatum; Id non Ipsa sed id""";"""Note: Numquam eaque; then Optio tempora non"""
Gemma Brookes;67.0;30.1;66.2;"""Voluptatum: Eius reiciendis possimus; Cupiditate ratione quae velit""";"""Officia itaque in; Minima tempore ea dolor Eos maiores commodi quisquam"""
Alex King;19.0;3.1;12.2;"""Mollitia incidunt atque nemo inventore; Odio necessitatibus ratione sunt maxime ; Consectetur dolorem adipisci aspernatur reprehenderit""";"""(Quos doloremque pariatur ut in architecto) ; Possimus sunt quae odit and Iste officiis fugit at voluptates"""
Edward Lewis-Walker;84.0;98.1;64.2;"""(Eius corporis odio) ; Sequi nam and In adipisci""";"""Praesentium neque quam; Voluptatibus Autem nostrum"""
David Murphy;70.0;36.1;85.2;"""Iste nihil; Culpa reiciendis labore ; Tempore minus tempore ullam id""";"""Note: Est aliquam; then Sit unde perspiciatis quasi"""
Owen Fletcher;52.0;50.1;1.2;"""Recusandae nulla alias; Perspiciatis vero quos ut ; Molestias suscipit placeat""";"""(A voluptates) ; Facilis ducimus nostrum nam and Fuga laudantium ratione nisi"""
Dr John Chamberlain;74.0;26.1;62.2;"""Perferendis quibusdam facere: Non occaecati maiores voluptate; Eius""";"""Recusandae; Asperiores dolor similique incidunt Incidunt dolores adipisci veniam"""
