name;username;age;price;score;comment
Gavin Clark;gavin_clark_9072;80.0;58.1;35.2;"""(Aliquid fugit) ; In harum in magnam and Iure fugit"""
e;glen_parkes_1088;;10.1;33.2;"""Earum nesciunt eius expedita; Officia numquam facere perspiciatis occaecati quidem ; Similique iste ut corporis"""
Nigel McCarthy;nigel_mccarthy_2535;42.0;;39.2;"""Note: Quod; then Recusandae sint"""
Marc Webb;marc_webb_6659;94.0;67.1;100.2;"""Deleniti nesciunt quis atque unde maiores; Similique nisi velit asperiores ; Quis maiores error quo ullam"""
Jeffrey Pearce;jeffrey_pearce_8538;16.0;71.1;78.2;"""Ad nam laborum: Voluptatibus tempora; Delectus ut expedita cupiditate"""
Gail Armstrong;gail_armstrong_6868;82.0;90.1;7.2;"""Aperiam accusantium; Harum nesciunt Animi molestias placeat assumenda libero"""
Christopher Gregory;christopher_gregory_6083;28.0;35.1;78.2;"""Note: Ullam laboriosam quos; then Ipsam sed nobis"""
Lawrence Gough;lawrence_gough_3310;90.0;38.1;81.2;"""Note: Eligendi assumenda; then Eligendi neque reprehenderit beatae aspernatur"""
Mrs Rosemary Mitchell;mrs_mitchell_3277;21.0;48.1;69.2;"""Dolore; Praesentium vero blanditiis Veritatis itaque"""
Ms Catherine Singh;ms_singh_8657;96.0;56.1;68.2;"""Maiores repellat; Quidem vero Magni animi sed"""
Mr Dennis Crawford;mr_crawford_8476;41.0;9.1;81.2;"""(Non quia eum culpa) ; Incidunt ipsam nesciunt eum and Laborum facilis assumenda"""
Brian Richardson;brian_richardson_3682;45.0;24.1;10.2;"""Unde ipsum sequi; Aliquid a ; Eveniet maiores qui"""
Mr Glen Long;mr_long_0704;77.0;9.1;94.2;"""Officiis commodi: Fuga amet expedita; Sapiente consequatur ea neque quasi"""
Oliver Smith-Cooper;oliver_cooper_3414;14.0;38.1;77.2;"""Saepe sunt impedit aliquam optio; Voluptatem eaque ; Eos est molestias"""
Sophie Ellis;sophie_ellis_3322;3.0;94.1;14.2;"""(Doloribus nam vitae) ; Necessitatibus and Placeat voluptate quaerat quibusdam"""
Justin Carter-Thomas;justin_thomas_8720;6.0;12.1;31.2;"""At distinctio eos error voluptatem natus; Sed ducimus ; Et nihil"""
Dr Leigh Miller;dr_miller_9235;57.0;8.1;83.2;"""Ex enim unde earum; Ut culpa repellendus reiciendis Deleniti amet"""
Megan Stevens;megan_stevens_5193;28.0;76.1;12.2;"""Note: Recusandae; then Illum culpa"""
Mrs Lauren Webb;mrs_webb_1055;61.0;84.1;2.2;"""Voluptates tenetur; Quod ea quae ; Occaecati quia iusto libero iure"""
Dr Richard Humphries;dr_humphries_2232;37.0;83.1;89.2;"""(Velit dolorem) ; Modi natus and Illo corrupti sunt"""
Liam Smith;liam_smith_0096;76.0;47.1;36.2;"""(Impedit beatae pariatur) ; Expedita cumque and Nobis impedit totam"""
Barry Pearce-Jackson;barry_jackson_5106;35.0;34.1;22.2;"""Hic mollitia; Voluptatibus illo rerum Est dicta magni eos"""
Marilyn O'Connor;marilyn_connor_6663;36.0;9.1;59.2;"""Maiores adipisci totam; Quos perferendis iusto ; Expedita doloremque odit"""
Dr Pauline James;dr_james_2185;5.0;56.1;97.2;"""Quas: Distinctio labore voluptatum dolorum; Architecto"""
Jeremy Davis;jeremy_davis_9059;70.0;81.1;95.2;"""Note: Quos dolorum cupiditate; then Quisquam ratione magnam eum sit"""
Douglas Nixon;douglas_nixon_5601;88.0;79.1;;"""Qui tempore; Labore fuga alias ; Laudantium"""
Mr Richard Singh;mr_singh_3746;88.0;3.1;45.2;"""Nesciunt aperiam repellendus; Aspernatur ad dolores Nulla saepe"""
Carolyn Davies;carolyn_davies_9930;76.0;9.1;49.2;"""Occaecati incidunt quibusdam voluptas quidem; Sapiente facilis suscipit Laborum"""
Dale Lambert-Nolan;dale_nolan_1452;31.0;76.1;88.2;"""Note: Ipsum sint; then Doloremque"""
Hazel North;hazel_north_0288;46.0;30.1;66.2;"""Illum asperiores vitae amet at tenetur; Sed consequatur maiores Quos praesentium adipisci adipisci cupiditate consectetur"""
Sharon Willis-Mills;sharon_mills_2283;96.0;40.1;45.2;"""Natus soluta aut; Ab quos eius ; Laboriosam accusantium quos"""
Phillip Lloyd-Dale;phillip_dale_3165;10.0;66.1;78.2;"""(Impedit atque) ; Animi blanditiis eum and Repellat quaerat"""
Ms Samantha Herbert;ms_herbert_8239;39.0;81.1;63.2;"""Totam quis sint quis ratione ut; Corrupti officiis Vitae expedita sint dignissimos omnis"""
