name;username;score;total_count;remark
Lauren Miah;lauren_miah_1117;85.0;43.1;"""Quam pariatur officia; Laborum molestias aliquid iusto Recusandae illum autem"""
Raymond Duffy-Powell;raymond_powell_0913;94.0;24.1;"""(Vitae) ; Esse and Debitis reiciendis"""
Geoffrey Daniels;geoffrey_daniels_1946;52.0;82.1;"""Libero rerum eligendi vitae: Ex voluptate; Ducimus sed magni"""
Mrs Julie Evans;mrs_evans_5163;60.0;80.1;"""Aliquid quo: Harum doloribus; Id asperiores"""
Dr Max Campbell;dr_campbell_5298;37.0;33.1;"""Laborum iure nihil; Sapiente ipsam soluta ; Reiciendis"""
Ms Joanne Wilson;ms_wilson_4618;48.0;53.1;"""Tenetur tempore: Cumque laboriosam; Quae voluptates"""
Mrs Carolyn Thornton;mrs_thornton_5065;2.0;85.1;"""Et qui quidem; Reiciendis beatae ; Provident cum pariatur"""
Clifford Hardy;clifford_hardy_4378;21.0;90.1;"""(Dignissimos facere magnam magni) ; Tempore nihil inventore nam and Ratione nesciunt sint"""
Marion Barrett;marion_barrett_5659;54.0;96.1;"""Doloribus omnis iste; Velit ; Quaerat quam totam"""
Dennis Clarke;dennis_clarke_2926;27.0;18.1;"""Fugiat temporibus quibusdam; Quos velit Commodi corporis"""
Oliver Pearce;oliver_pearce_2453;40.0;78.1;"""Note: Explicabo ex aliquam; then Facilis natus nesciunt"""
Gerald Smith-Hewitt;gerald_hewitt_0955;49.0;97.1;"""Note: Maiores ad ipsa optio; then Assumenda ullam"""
Dr Abigail Watkins;dr_watkins_0583;11.0;28.1;"""Sit laborum mollitia sint perferendis; Fuga quisquam ; Quis exercitationem optio ipsum doloremque"""
Mohammad Weston;mohammad_weston_4733;28.0;59.1;"""Autem minima; Iste tempora quae Reprehenderit sunt commodi distinctio placeat"""
Mr Jamie Willis;mr_willis_3242;37.0;56.1;"""(Accusamus modi minima) ; Laborum and Earum blanditiis autem nobis aperiam"""
Alexandra Burrows;alexandra_burrows_4271;49.0;2.1;"""Note: Doloribus dolorem reprehenderit; then Explicabo eos cum"""
Max Ellis;max_ellis_7156;33.0;33.1;"""Iure; Voluptatem sit praesentium laborum amet corrupti aut Ab itaque"""
Gail Fowler-Lewis;gail_lewis_9811;7.0;93.1;"""Corrupti fuga atque: Temporibus voluptatibus architecto; Voluptates"""
l;julian_dixon_8972;81.0;33.1;"""Distinctio animi: Laborum accusantium magnam placeat; Tenetur"""
Leigh Mitchell;leigh_mitchell_0268;25.0;50.1;"""Esse assumenda id; Explicabo distinctio maxime nemo porro Aliquam assumenda dolorem"""
Harry Baxter;harry_baxter_8995;76.0;37.1;"""Note: Doloremque et consequuntur; then Perferendis repellendus"""
Melanie Nolan;melanie_nolan_3826;60.0;93.1;"""Rerum id; Eaque suscipit ; Voluptatum alias repellat"""
Mr Phillip Roberts;mr_roberts_0472;89.0;8.1;"""Note: Accusantium totam; then Quos fugiat quam officiis"""
Simon Richards;simon_richards_8961;82.0;66.1;"""Note: Ducimus; then Voluptatum eius"""
Miss Jacqueline Craig;miss_craig_8580;97.0;84.1;"""Note: Excepturi consequatur repellendus at; then Repellendus sit"""
Christian Cooper;christian_cooper_3924;100.0;;"""Note: Nam aperiam labore provident; then Modi quae"""
Carol Ward;carol_ward_9854;37.0;20.1;"""(Commodi aliquam sed nesciunt) ; Deleniti nostrum laborum and Quae veritatis mollitia"""
Mr Hugh Ferguson;mr_ferguson_3364;88.0;37.1;"""Note: Eligendi tempore nihil facere; then Fugit cupiditate"""
Carole Porter;carole_porter_3758;55.0;62.1;"""Pariatur soluta labore; Animi esse non aut ; Ut aspernatur dicta dicta"""
Jessica Young;jessica_young_4423;55.0;50.1;"""Assumenda alias velit provident iste porro; Autem odit ; Possimus consequatur"""
Andrea Johnson;andrea_johnson_6424;56.0;10.1;"""Soluta iusto deserunt; Repellat libero pariatur commodi dignissimos ; Quia exercitationem eaque consequuntur facilis"""
Laura Brown;laura_brown_1537;8.0;26.1;"""(Odit aut quos similique aspernatur earum) ; Iure accusantium non and Reprehenderit deserunt"""
Katy Powell;katy_powell_3161;53.0;100.1;"""Note: Vero eveniet; then Veniam nam"""
Marc Murray;marc_murray_8846;97.0;24.1;"""(Animi recusandae dolore) ; Consequatur laboriosam and Earum velit quam cum repellat"""
Eleanor Henderson;eleanor_henderson_0464;5.0;27.1;"""Omnis; Amet nostrum dolorum nisi ; Dolorem"""
Mark Ali;mark_ali_2982;57.0;50.1;"""Note: Magnam inventore cupiditate; then Voluptates aliquid ipsa cumque tenetur"""
Russell Bryant;russell_bryant_6911;;96.1;"""(Sit consequatur ut) ; Praesentium accusamus natus et and Assumenda ut eaque"""
Leigh Stevens;leigh_stevens_8761;36.0;69.1;"""Minus eligendi accusantium et ipsa nesciunt; Maiores eveniet consequatur ; Provident ullam dolorum"""
Roy Law-Rogers;roy_rogers_2277;75.0;11.1;"""Rerum dicta harum; Provident non at similique dignissimos deserunt Exercitationem odit"""
Frances Curtis;frances_curtis_2528;74.0;97.1;"""Note: Vero distinctio repellendus quos; then Numquam deserunt veniam"""
