username,name,salary,total_count,description
jennifer_williams_0603,Jennifer Williams,70.0,30.1,'''Card capital yes: Meet new foot test, Charge Mrs'''
lori_henry_9878,Lori Henry,41.0,24.1,'''Action say know; Part minute ok chair , Right'''
shelly_garcia_0957,Shelly Garcia,27.0,36.1,'''Race blue pass in quality: Daughter ground value fast, Low quite trade health'''
donald_bonilla_7783,Donald Bonilla,37.0,80.1,'''Note: Opportunity call may, then With head'''
thomas_boyer_3350,Thomas Boyer,20.0,,'''Note: Information music meet perform represent, then Then trouble themselves machine throw bring'''
amanda_chen_9483,Amanda Chen,27.0,7.1,'''Note: Debate lot, then Here here quality'''
andrew_shea_4913,Andrew Shea,61.0,49.1,'''(Light possible condition) , Down run would individual sometimes and Month store certainly analysis'''
james_anderson_8404,James Anderson,26.0,59.1,'''Inside approach: Suddenly identify wide explain machine condition, Successful yard'''
julie_nelson_7019,Julie Nelson,34.0,37.1,'''Art maybe anyone, Economic better economy Carry into'''
david_michael_3735,David Michael,56.0,5.1,'''Note: Born drive, then New support full trouble behind'''
sandra_todd_5790,Sandra Todd,66.0,97.1,'''Note: The away continue, then Will message'''
monique_walsh_9250,Monique Walsh,29.0,94.1,'''Prove movement: Simple discuss, Feel manager'''
isaiah_ward_9179,Isaiah Ward,20.0,9.1,'''(Land claim single myself enter partner) , Give and Age situation available'''
sandra_campbell_6502,Sandra Campbell,58.0,69.1,'''Each charge: Dog simply, Evidence mind spend business'''
mr_jr_2890,Mr. Michael Wells Jr.,88.0,100.1,'''Consumer growth amount open, Professional continue Run career'''
robert_allen_3656,Robert Allen,87.0,7.1,'''Note: Class yard member, then Involve'''
lauren_king_5654,Lauren King,13.0,54.1,'''Cost event a: Local top find thing explain specific, Get nation approach'''
brianna_ward_3945,Brianna Ward,36.0,12.1,'''Note: Remain before foreign hand human safe, then Wish magazine walk'''
rick_schultz_8276,Rick Schultz,30.0,81.1,'''Among line wear; Rise manager outside , Use too'''
krystal_may_2993,Krystal May,44.0,76.1,'''(Throw) , A parent stand and Cup'''
susan_brown_6936,Susan Brown,88.0,33.1,'''Note: Receive measure total senior, then Subject dark'''
carrie_parks_2655,Carrie Parks,50.0,19.1,'''Record Congress, Heavy serve writer Wall act young economy visit'''
henry_brooks_9136,Henry Brooks,18.0,84.1,'''A whether, Mouth power Left feel least teacher cold'''
jamie_bolton_7159,Jamie Bolton,79.0,55.1,'''Since good eight situation ahead, Life general approach thought Drive avoid'''
vanessa_ponce_3968,Vanessa Ponce,54.0,96.1,'''Note: Meeting father rule trial weight firm, then Particularly environment tell'''
sarah_bishop_4152,Sarah Bishop,52.0,7.1,'''Note: Project so why hair, then Together top'''
steven_harmon_3682,Steven Harmon,59.0,89.1,'''Note: Picture star whose, then Society carry'''
mary_brown_1253,Mary Brown,5.0,59.1,'''Century must until quite; Almost yes , Conference suddenly'''
joshua_pittman_2871,Joshua Pittman,95.0,31.1,'''(Card scene expect stuff) , Save per trade and Choose fund must'''
brad_kelley_0897,Brad Kelley,2.0,36.1,'''Note: Affect edge plant right raise, then Down arrive represent put own'''
robert_mcfarland_4693,Robert Mcfarland,80.0,61.1,'''Challenge: High, Interest former move'''
michael_sutton_8235,Michael Sutton,43.0,8.1,'''Time; Sort image right game back , Arm road nice'''
mark_hicks_3799,Mark Hicks,97.0,75.1,'''Lead listen health section, Your program Even something participant'''
jessica_davis_5528,Jessica Davis,21.0,54.1,'''Wide ask each player question; Spend out level economy , Throughout management'''
denise_harper_6492,Denise Harper,75.0,51.1,'''Product, Arm yard appear hotel shake Attention score'''
paul_garza_0357,Paul Garza,,47.1,'''Film fear less, Help chance born Only ten move'''
kyle_taylor_2364,Kyle Taylor,81.0,82.1,'''Whose view; Traditional concern apply success should , First he'''
stanley_taylor_5154,Stanley Taylor,57.0,24.1,'''Prevent ball program reason, Admit especially account direction Talk nothing could receive present'''
chad_aguilar_4773,Chad Aguilar,73.0,42.1,'''Effect attorney think most impact, Beautiful ground policy Kind fall kid'''
mark_matthews_8010,A,54.0,88.1,'''(Again) , Standard possible bar study and Concern record improve school eat'''
jerome_humphrey_9412,Jerome Humphrey,84.0,3.1,'''(Cause believe say) , True inside and Do police'''
caitlin_chavez_5240,Caitlin Chavez,19.0,33.1,'''Expect manager project court response: Administration inside, Behind success'''
