username,name,price,age,note
rebekah_bailey_9096,Rebekah Bailey,11.0,71.1,"""(Avoid too allow) , Huge begin and These add"""
sandra_garcia_6182,Sandra Garcia,98.0,99.1,"""Reveal although according; Price against , Will low seat agent"""
lisa_chen_7038,Lisa Chen,95.0,43.1,"""Note: Tell always section, then Doctor low though partner social"""
christine_williams_2830,Christine Williams,79.0,91.1,"""(Learn who) , Myself along page and Field whose create"""
kevin_smith_4268,Kevin Smith,44.0,74.1,"""Note: Keep establish plant, then Beyond site alone"""
felicia_herrera_7792,Felicia Herrera,51.0,100.1,"""Single according just: Painting need benefit, Common air against"""
catherine_brown_1784,Catherine Brown,97.0,87.1,"""Recently your television: May manager, Education"""
john_morris_4833,John Morris,29.0,35.1,"""Name sea, Mention shoulder structure Inside system reach"""
charles_turner_7257,Charles Turner,51.0,84.1,"""(Example manage) , With discussion top how experience business and Church level cause appear direction lawyer"""
elizabeth_tyler_8459,Elizabeth Tyler,1.0,,"""(Sit hotel style try painting) , When type choice I and Weight dog"""
mary_hernandez_6513,Mary Hernandez,48.0,21.1,"""Ahead nation gas animal: Significant my every, Paper tree very"""
marc_chang_4631,Marc Chang,46.0,38.1,"""Issue girl: Stock sit measure represent, Cell"""
laura_smith_7645,Laura Smith,20.0,62.1,"""Note: Soldier consider total degree improve, then Work evidence begin find score student"""
jackson_castro_3084,Jackson Castro,,50.1,"""Point, Baby parent Win half ask ever officer"""
kathy_bishop_0688,Kathy Bishop,96.0,85.1,"""Finally help administration past I someone bill: Country pressure project, Two customer color"""
joseph_glover_2689,Joseph Glover,79.0,55.1,"""Note: Prepare leader design, then Quickly should"""
robert_mcbride_1316,Robert Mcbride,97.0,3.1,"""Benefit, Other environmental use place condition Culture campaign"""
joseph_edwards_4838,Joseph Edwards,79.0,37.1,"""(Step) , Occur parent and Partner million argue office"""
sarah_hunt_3509,Sarah Hunt,24.0,67.1,"""Note: Space, then Someone perform day"""
jessica_aguilar_7202,Jessica Aguilar,7.0,26.1,"""(Past network knowledge) , Of relationship and Talk trial"""
katie_bradford_3805,Katie Bradford,39.0,3.1,"""(Same little out) , Democrat animal activity base civil and Hope figure"""
james_morris_2344,James Morris,82.0,88.1,"""Note: Produce color upon, then Wear my give"""
david_bauer_2154,David Bauer,90.0,43.1,"""(Less sure) , Result strategy drive truth and Fire admit push mother manage"""
john_patterson_6602,John Patterson,28.0,45.1,"""Note: Particular technology, then Green"""
jose_mcgee_4375,Jose Mcgee,63.0,18.1,"""Learn old; Sound own wear sort , Fish them be among"""
paul_harris_2703,A,47.0,4.1,"""Note: Quite operation his, then North test see compare smile"""
victoria_graham_1439,Victoria Graham,91.0,21.1,"""(Seat again) , Determine all adult enough and Sound little"""
elizabeth_edwards_7424,Elizabeth Edwards,94.0,21.1,"""(What) , Month course and Picture hand time finally range worker"""
