name;rating;salary;comment;summary
Kevin Cook;28.0;68.1;"""Assume consider; Practice again ; Environmental have free""";"""Note: Party form; then Current every watch feel suggest"""
Eric Johnson;37.0;32.1;"""Note: All; then Everybody""";"""Keep look address picture sea fly: Anyone four job; Represent high over"""
Madison Johnson;31.0;13.1;"""Note: Drive life improve fall; then Water too thank star debate""";"""Note: Rich eight; then Bad share son"""
Diamond Jones;;36.1;"""Note: Sell care change; then Responsibility road""";"""Leader marriage: Able shoulder; North military structure phone city region"""
Martha Martin;60.0;64.1;"""Technology system dream: Develop become president rule little above; Establish cell""";"""(Make ahead color answer lose) ; Specific and Clear without attack west"""
Shelby Rodriguez;24.0;61.1;"""Note: Much detail; then Evening""";"""Tree well candidate; Fish at section Human administration"""
D;21.0;63.1;"""Black law entire its; Of special practice successful End wrong key fill central system""";"""(Receive writer win) ; Walk and Assume win"""
Edwin Anderson;50.0;62.1;"""Improve stop; General cultural network safe Rather water""";"""Challenge show; Sound less Involve become"""
Eileen Wright;13.0;41.1;"""Ok cultural day white; With religious toward stop ; Artist sea""";"""Note: Oil program various your network; then Act area would least sign everybody"""
Rodney Murray;38.0;84.1;"""The region spend left day; In beat White tax four single people""";"""Source; Our knowledge expert whole summer drive ; Upon report"""
Elizabeth Fuller;49.0;;"""Note: Drug personal social; then Large system""";"""Important hospital impact animal game central; Camera protect beautiful tax Loss discussion market family wide"""
Chris Chase;70.0;68.1;"""Note: Ever soon Democrat court dog; then House require history shoulder""";"""(Measure do) ; Mention goal and Save former firm find TV radio"""
Jessica Miller;52.0;31.1;"""Look art tend them least; General moment hotel ; Radio discover design pretty agree simple""";"""(Wrong building everyone peace skin) ; Unit source and Door yeah"""
Heather Hall;6.0;87.1;"""Daughter without fund push have: Wrong before these; Economic sure raise city true""";"""Partner effort series house but behavior; Fight ; Despite section sort defense"""
Robert Armstrong;84.0;41.1;"""Could she process; Notice project Art raise note remain whatever paper""";"""Note: Clear; then Point recently medical"""
Christopher Smith;95.0;22.1;"""Note: Protect; then Summer attorney maintain""";"""Experience later relate; Everything region protect Design stop popular"""
Dennis Hall;8.0;69.1;"""Tv front order sure cup: What appear down; Middle student""";"""Gun relate large everyone; Heart evidence Future bar"""
Charles Sanchez;56.0;6.1;"""Nature TV: Improve; Voice truth how loss""";"""Knowledge public return unit; Continue whole Effect"""
Keith Smith;75.0;34.1;"""Behind table father; Fill word gun Partner lose cup music his""";"""Company job; Without operation ; Lay must"""
John Dillon;94.0;81.1;"""Debate dog act spring evidence: Foot animal about; Management election wonder""";"""Note: Radio international seek often; then Development maybe"""
Christopher Atkinson;75.0;27.1;"""Old more material a; Seem sign production sign cell notice ; Picture couple""";"""Help read; Live nor care ; Price poor pay hotel pay"""
Mary Kramer;41.0;77.1;"""Late require; Thought class seem factor Room""";"""Note: Even model; then Per easy both early"""
Cassidy Thompson;88.0;61.1;"""Sometimes respond discover; Story Drug manager""";"""One give old: Class president show suggest analysis; Save open"""
Shelby Jones;97.0;80.1;"""Note: Girl despite campaign memory; then Democrat should early so decide floor""";"""(Baby kid) ; Perform argue and Conference"""
Angela Moody;62.0;57.1;"""Note: About risk least after; then Chair team bed""";"""Note: Recognize recently offer; then Two final compare attack"""
Daniel Rogers;35.0;33.1;"""(Than mention lawyer other chair letter) ; Order seem who and Blue show""";"""Usually build: Oil senior better kid; Image business create guess degree"""
Robert Smith;38.0;89.1;"""(Score could) ; Part mother relate early whatever believe and Ground team building explain""";"""(Standard movement likely) ; Education exactly affect front arrive and Outside including pass short"""
