# This is a comment line to skip
name;rating;review
Audrey Nichols;76.0;'''We black describe management; Mean hospital ; Cup which history loss'''
Robert Duke;72.0;'''(Financial move say significant) ; Whether some and Performance theory'''
Rose Brown;59.0;'''Note: Specific nearly million; then Hour'''
Chad Schultz;8.0;'''Note: Federal community; then Man game address'''
Sara Sanchez;78.0;'''Agree; Cell statement lawyer easy my Dream others'''
Miguel Mccullough;96.0;'''Congress; Writer down Moment page least'''
Scott Gregory;97.0;'''And about: Hundred remember especially; Health trial focus receive by'''
Gloria Rocha;28.0;'''Art young: Rest official act; Area establish lose edge marriage'''
Victor Travis;84.0;'''Water size: Away think feel; Piece enter manage'''
Kathleen Baker;23.0;'''Three matter offer government; Really ; Campaign relate test current'''
Patty Vega;45.0;'''(Computer toward sign) ; Power and Spring bring together late eat'''
Elizabeth Reeves;74.0;'''(Attention create over skin) ; Although beyond and Here Republican almost that'''
Jessica Brown;64.0;'''(Discover) ; In nice investment hospital and Attack finally'''
Michael Christian;66.0;'''You her: Public effort; Action under'''
Amanda Sanchez;98.0;'''(Training performance upon) ; Professional alone and Claim expect increase record political'''
Robert Norman;13.0;'''Visit black network unit; Deal stay ; Measure'''
Jason Johnson;29.0;'''Indicate worker walk computer; Several hair ; Develop since'''
Travis Mullins;96.0;'''Note: Might; then Local security these carry'''
e;99.0;'''You memory; Ground group article ; Mention statement'''
Michael Sandoval;75.0;'''Popular; Much level that ; Me start control side'''
Miranda Stewart;;'''Note: Suffer sense; then Us'''
Eric Young;14.0;'''Pm know four: Risk bill team; Surface'''
Sharon Pace;44.0;'''Record; Affect ever morning short Authority hit difficult central military it'''
William Villarreal;7.0;'''Factor sound drive approach; Describe write should system teacher Nature'''
Michael Santiago;87.0;'''Design information major; Record the sure measure glass Toward'''
Dr. Christopher Gates;86.0;'''Note: Ago open firm detail idea; then These threat take'''
Carolyn Nelson;17.0;'''(Risk loss) ; Summer research church perhaps chance and Which fear'''
Anthony Ramsey;89.0;'''Property war: Including lay leg perhaps; Reduce hair character prove throw theory'''
Michelle Burke;6.0;'''Such can; Weight ; Rather arrive enjoy life special'''
