# This is a comment line to skip
username,price,age,score,summary
lindsay_jenkins_2489,39.0,27.1,44.2,'''Show; Group , Head suggest class likely good follow house'''
mr_solis_4453,35.0,96.1,48.2,'''Affect; Range , Church any believe'''
sheila_young_0181,19.0,97.1,34.2,'''Note: Buy figure few, then Glass person film save part'''
alison_ramirez_0256,24.0,,45.2,'''Look water, Say Agent'''
timothy_martinez_6163,44.0,61.1,4.2,'''College reveal; Her land result , Condition sing oil industry'''
carl_henry_1161,47.0,25.1,82.2,'''Shake suggest: Head, Address himself daughter'''
miguel_osborne_0858,89.0,29.1,95.2,'''Product indicate line, Health Report yeah'''
linda_thomas_1541,61.0,87.1,40.2,'''Police hospital responsibility behavior key; Wall argue safe stock , Despite decide front environment'''
ashley_robinson_2500,20.0,38.1,6.2,'''Force task; One collection get good budget , Improve rule'''
renee_sanders_4213,9.0,87.1,27.2,'''Note: Number expect service listen, then Indicate throw since'''
frank_campbell_7827,28.0,93.1,25.2,'''Note: Treatment ever customer agree, then Rule'''
tony_miller_8244,71.0,87.1,16.2,'''Question go; Item country next , Economic lay sing positive measure'''
emily_martinez_1758,70.0,89.1,1.2,'''Mr push onto: Issue water customer attack budget ok, Produce car song both'''
samuel_houston_4884,78.0,56.1,16.2,'''(Brother) , Risk let detail and Those before either'''
tamara_torres_5605,60.0,38.1,6.2,'''Mission dark simply: Field, Business base'''
kimberly_burke_0341,92.0,45.1,11.2,'''(Such forward) , Executive themselves and Door some a'''
angela_scott_0114,22.0,95.1,38.2,'''Note: Check read mean rule, then Structure ready'''
deanna_dds_3550,29.0,35.1,90.2,'''Which: Level, Low dog'''
theresa_barnes_3215,17.0,31.1,89.2,'''(Describe agency few) , Discussion throw analysis and New worry quickly idea'''
tara_crosby_5550,54.0,82.1,80.2,'''Season win, Determine stand meeting Relationship scientist'''
victoria_reed_5531,44.0,43.1,33.2,'''(Left according strategy sure) , Decision fill possible out Congress and Friend couple'''
aaron_brown_9816,89.0,61.1,70.2,'''Common term expert, College Reflect best'''
jill_morris_4740,73.0,93.1,30.2,'''Cell when knowledge; Pick nothing , Realize total by authority side'''
gary_park_2657,60.0,36.1,10.2,'''Note: Born nice heart near, then Strategy newspaper'''
jose_mitchell_3209,22.0,85.1,,'''Paper million before thing; Goal find , Result light develop'''
travis_coffey_6113,79.0,53.1,40.2,'''Note: Chance two hotel he land, then Hard approach'''
karen_smith_2059,,92.1,17.2,'''(Cut toward) , Girl long kitchen and Certain wear'''
jennifer_padilla_2171,97.0,29.1,57.2,'''Note: Cost close stage animal, then Policy gas'''
