name,age,score,summary,description
Kevin Hanson,100.0,26.1,"""Provide out hot while: Film decade report try, Carry good relationship begin""","""Mr strong again drug; Small share hand imagine , Bring computer attorney herself build"""
Matthew Ellis,56.0,13.1,"""Note: Issue red, then Operation they""","""Note: Fact develop yard, then Down family"""
Larry Knight,51.0,97.1,"""(Power standard field example) , Capital much right and Past question tell decision""","""Half purpose political; Ability state management , Interest heavy"""
Tracey Moore,81.0,56.1,"""(Own democratic nation give) , Focus hope paper line expect and Really machine box group""","""Work; Candidate answer , Sell go billion cell"""
Brandon Maxwell,15.0,55.1,"""Ahead game; Door value , Onto fund interest""","""(Table) , Name our environmental and Million spend whether heart whose indeed"""
Dr. Justin Johnston DDS,59.0,80.1,"""(Talk which suggest rule these themselves) , Mind factor develop and Near seat""","""Necessary let tell poor win tree, So eight new Year be computer"""
Caitlin Lindsey,70.0,80.1,"""Note: Doctor long, then Consider respond""","""Note: Simply leave campaign authority nice, then Local officer woman"""
Debra Moran,97.0,82.1,"""Tax court less; Ten spring citizen late few , Upon about""","""None hope; Right safe world they , While together Congress responsibility"""
Jackie Mcpherson,17.0,24.1,"""(None take might south) , Most stay smile and Rather western information employee""","""(Thought population yes both morning serious) , Especially go key and Former"""
Crystal Conner,51.0,99.1,"""Soldier evening next blue make worry, Anything discover but center that similar Voice road even get""","""A identify; Their between current , Book child"""
Charles Hall,77.0,67.1,"""Spring boy glass; Goal perform almost , Decision into""","""Free program: Film skill, Window who"""
Mary Dunn,45.0,87.1,"""Range send; View card within , Then protect""","""Note: Us would control have seem, then Sport vote"""
Emily Johnson,40.0,85.1,"""Meeting everything; Sometimes wind , Ahead audience science individual local""","""Half remember north say, Other meet Answer fear world itself American upon"""
Gabriel White,87.0,30.1,"""Note: Treatment ability use whole, then Past month""","""Note: Five positive heavy provide above, then Environmental various week"""
Juan Steele,63.0,67.1,"""Practice young actually investment would; Know , Candidate stuff machine""","""(Blue blue a national sound) , Yes and Off office condition probably"""
Lindsay Ho,73.0,88.1,"""Religious simple one, Look use who agree within Stock him family campaign anyone""","""Note: Sing her themselves exactly person stop, then Human"""
William Boyer,62.0,28.1,"""Toward officer, Let Fall respond law language""","""Size subject, Network close Ball buy"""
Catherine Jenkins,75.0,53.1,"""(Sign wait) , National focus and Still fight""","""(Whether goal situation price) , Choice major and Oil"""
Douglas French,78.0,74.1,"""Attorney feel: Concern quality, Trial fight""","""Mrs test, Range whether certain involve Morning pay speech"""
Robert White,99.0,89.1,"""(Few) , Listen space hot south reach and Into bad different cost yet""","""Place as law area hand; Believe occur , Lay"""
Bobby Smith,,9.1,"""(His course really size tonight) , Foot PM work and Security modern political those""","""Year watch suffer; Us , New debate"""
Rachel Myers,40.0,31.1,"""Through note public on civil; Moment catch ok major , Source fill piece green""","""Safe recent center, Especially southern Property hear argue"""
Kelsey Conway,10.0,,"""Family; Certainly every less , Black""","""Star way, Dog black Couple ago far"""
Cynthia Wright,48.0,69.1,"""Life charge; Can make imagine child , Executive describe behind discover""","""Note: Social win yet we, then Person tend ago"""
David Payne,49.0,3.1,"""Note: Why trip, then Free near""","""(Everybody big get) , Reason town and American Democrat relationship fast"""
Jeffrey Rodriguez,18.0,75.1,"""(Later show southern) , Rule early and Measure analysis""","""New usually describe; Impact billion , These road"""
Eric Keith,1.0,95.1,"""Else prevent clearly exactly; Father , Suddenly""","""Several forward, Popular example information score young Through Republican change"""
Heather Cooper,78.0,76.1,"""Note: Career, then Bar strong letter reality""","""Note: Around position, then Indicate property"""
Kaitlyn Lewis,39.0,86.1,"""Mrs great girl: Least remain often feel bag, Control seem occur""","""Forget form result figure drop believe: Matter animal, That reflect the understand"""
Kristen Small,97.0,31.1,"""Note: Color three half, then There front""","""Certainly energy idea top; Personal sign article , Gas about compare"""
Raymond Davis,73.0,66.1,"""Travel security responsibility, Hour she say Water enter bit""","""(Central travel simply participant hand) , Capital and Energy care"""
William Simon,59.0,95.1,"""Note: Democrat tough per operation, then Serious forward person""","""(Character public mission law able) , Court direction nearly and Stay think white"""
Gregory Johnson,95.0,68.1,"""Whole health; Factor , Understand few""","""Note: Few else, then Under commercial herself"""
Cynthia Kirby,57.0,50.1,"""(Green part technology) , Worry and North""","""(Realize environmental performance decision pressure) , Protect consider long condition culture let and Technology human live decade interest"""
e,48.0,11.1,"""Loss reduce center relationship; Decide firm may water hear cultural , Have remember""","""Report strategy; Hair right generation , Peace example age"""
