# This is a comment line to skip
username;price;description
barbara_bennett_1613;9.0;"""Ad pariatur sit architecto occaecati; Incidunt ipsa Aspernatur quos numquam"""
ms_bradley_3148;9.0;"""Note: Fugiat consequatur perferendis quo dolorum iste; then Sunt consequuntur quod suscipit"""
olivia_ward_1073;59.0;"""Molestias molestias beatae: Quam vero officia quibusdam; Omnis nulla dicta"""
lorraine_turner_1275;25.0;"""Iusto dolorem et; Magni ; Totam molestias blanditiis error optio"""
miss_singh_4531;86.0;"""Note: Fuga magnam cum ducimus; then Nisi reiciendis quos deserunt"""
philip_sutton_4827;17.0;"""Natus earum: Quisquam assumenda excepturi; Itaque esse accusantium"""
angela_hughes_6925;53.0;"""Note: Ad labore molestias; then Repudiandae consequatur"""
liam_evans_7674;33.0;"""Dolorum aut unde; Porro in porro nostrum fuga consectetur ; Quaerat repellat"""
sharon_lowe_4487;23.0;"""Note: Explicabo illum voluptas accusamus perferendis; then At tempora"""
nicole_wood_9054;51.0;"""In; At dolorem sed ; Aut ea hic tempora occaecati vitae"""
dr_smith_6459;53.0;"""Sequi ab corporis; Eum culpa velit ducimus ; Dolorum eaque deleniti"""
abigail_chambers_4072;75.0;"""Note: Praesentium et; then Facilis similique"""
kelly_wilson_7359;82.0;"""(Voluptas dolorem fugit) ; Recusandae doloribus repellat and Repellat ea"""
joseph_little_5696;15.0;"""Distinctio adipisci dignissimos: Reprehenderit dolore minus assumenda id; Molestias praesentium ullam"""
max_king_3147;53.0;"""Quaerat laborum labore; Ipsam asperiores suscipit amet Reiciendis excepturi eos dignissimos repellat adipisci"""
mr_burgess_1487;43.0;"""(Rerum omnis) ; Numquam sit quo suscipit and Natus eos voluptates assumenda"""
judith_thomas_4652;79.0;"""(Itaque incidunt ipsa) ; Modi dignissimos ducimus eveniet and Ad facere"""
victor_williams_8609;62.0;"""Magnam: Cum quis temporibus; Harum ea sunt repellat eaque"""
kathleen_kerr_2803;21.0;"""Nulla nam ratione rerum; Consequuntur error ; Tempore"""
georgia_baker_6834;81.0;"""Veritatis; Mollitia id sed ; Perferendis quae autem"""
linda_lee_1697;67.0;"""Quisquam quasi eius; Fugit ducimus dolorem consequatur iste consectetur ; At corrupti fugiat"""
jordan_mason_1176;21.0;"""Voluptatum voluptatum; Ad corrupti consectetur ; Ea tempora ab blanditiis"""
laura_kemp_7927;50.0;"""(Minus necessitatibus quidem accusantium tempora) ; Dicta sit molestias quam and Labore aperiam reprehenderit expedita eveniet"""
darren_may_6053;31.0;"""Note: Eligendi nostrum perferendis at odit occaecati; then Facere sit ab est"""
mr_mclean_4666;;"""Note: Ut rerum odit magni autem praesentium; then Corrupti autem iste"""
debra_perry_8545;65.0;"""Nisi ea optio: Cumque nam iste; Alias delectus"""
miss_nelson_9670;98.0;"""(Accusantium) ; Quibusdam veritatis incidunt and Perferendis"""
barry_gould_1263;79.0;"""(Et voluptas earum) ; Voluptatem soluta and Aliquid officiis quas"""
mr_cartwright_2387;89.0;"""Quam nobis mollitia; Cum incidunt dolores Ipsa dolorem ab eum ipsa"""
marian_foster_5236;58.0;"""Aut nulla distinctio sequi: Sequi vitae; Alias pariatur voluptatem ipsam beatae"""
graeme_palmer_2333;55.0;"""Note: Aut quaerat exercitationem distinctio consequatur nihil; then Exercitationem minus"""
eileen_jones_5151;61.0;"""Impedit cumque; Fugiat Distinctio assumenda beatae nobis eum"""
dr_roberts_1158;15.0;"""Et eligendi sint soluta; Suscipit Dolore"""
cheryl_griffiths_3104;57.0;"""Provident ullam assumenda; Eum perferendis autem in Magnam soluta harum unde"""
mr_holland_0416;48.0;"""Ducimus ipsa; At iste repellat ; Velit"""
joel_hall_6169;14.0;"""Ut: Tenetur expedita inventore illo; Quisquam quasi facere facere repellendus"""
miss_elliott_6067;92.0;"""(Eius cum tempora suscipit eligendi) ; Magni magni and Quam doloribus"""
christine_marshall_0928;90.0;"""Ad modi eaque recusandae iure; Nihil recusandae Possimus placeat"""
