name,age,rating,review
Mrs. Emily Hamilton,21.0,37.1,'''Dog end hard: Their season rock later page inside, Local reveal couple'''
Mary Sanchez,20.0,80.1,'''Know fight nation town; Pull pressure activity Democrat , Thus day country thank'''
Joshua Zhang,67.0,39.1,'''Different form same win; Prove what , Buy agree some'''
Juan Brown,42.0,17.1,'''Spend; Sign language ready notice six , Person natural cold director'''
Ashley Alexander,31.0,64.1,'''Gas task open; Congress little off , Million mention share'''
Marissa Murphy,62.0,97.1,'''Note: Threat compare daughter, then Personal particularly'''
Michael Yoder,100.0,47.1,'''(City add during price anything article) , Dinner price say and Group later'''
Warren Turner,2.0,15.1,'''Note: Within outside, then Action particular available'''
Sara Fernandez,10.0,46.1,'''Physical form leave wait anything: Others they not campaign which down, Together myself'''
David Thompson,61.0,23.1,'''Tell; Hundred guess school share , Have top south'''
Keith Carr,81.0,95.1,'''Offer me thing: Not, Interesting'''
Maria Trujillo,19.0,52.1,'''(Authority) , Drive coach realize and Take your worry baby up either'''
Donna Hamilton,56.0,81.1,'''Sit other full, Him push fish enter Power enjoy'''
Alexa Garcia,48.0,95.1,'''(Customer position turn born) , Lawyer choice wrong white evidence and Worry how'''
Cameron Hernandez,64.0,90.1,'''(Plant risk give color) , Break professional age modern Mr and Laugh buy'''
Matthew Pace,68.0,14.1,'''Get type foot answer, Become shoulder Child'''
Mary George,75.0,48.1,'''Support something season, Lot computer That'''
Brittany Stafford,,7.1,'''Often coach season least, Subject thought start challenge himself Medical imagine summer effect commercial'''
Shannon Rogers,6.0,,'''Big agreement while, North Science'''
Dustin Andrews,85.0,43.1,'''To unit machine: Song talk, Large all'''
Heather Sanchez,58.0,1.1,'''Note: Pass sound keep, then Five brother'''
Douglas Martinez,8.0,18.1,'''Number behavior: Population, Accept official phone'''
Gregory Molina,16.0,61.1,'''Note: Student reveal local magazine prove, then You second gun later'''
Mrs. Denise Sanchez DVM,59.0,88.1,'''Much reason cell customer: Science work, Later'''
e,85.0,59.1,'''Represent lay, Sure matter rock Note minute'''
Nancy Chavez,83.0,64.1,'''Note: Particular bar they, then Few'''
