name,username,salary,age,note
Jenny Murray,jenny_murray_1843,65.0,3.1,'''Husband maintain mean, Part grow audience About yet news point worry'''
Joanna Lane,joanna_lane_6211,13.0,39.1,'''Note: State guy, then Candidate process present'''
Herbert Lamb,herbert_lamb_5551,100.0,27.1,'''Enter box join worry: Heart, Teach heart three would last party'''
Sandra Oliver,sandra_oliver_7963,84.0,6.1,'''Develop individual; Hope others step lead would , Work reduce'''
Melissa West,melissa_west_1438,38.0,56.1,'''Method wait, Question Range current'''
Maurice Berry,maurice_berry_8583,66.0,82.1,'''Direction consumer whatever heart its: Chance woman may everybody science, Behind later'''
Misty Ramos,misty_ramos_5624,5.0,87.1,'''From draw pick artist determine system, Court stop site Somebody western'''
Michelle Ingram,michelle_ingram_1937,76.0,31.1,'''Military, On sign Model box'''
Jeremy Wood,jeremy_wood_5896,38.0,49.1,'''(Health anything a) , Somebody and Production where clearly appear'''
Angie Brown,angie_brown_0159,11.0,35.1,'''Body; Clearly theory ability couple race , Truth big understand much daughter'''
e,beverly_sanford_5505,8.0,78.1,'''Everybody within political might so small: Program, Exist home see'''
Michael Kim,michael_kim_6286,92.0,38.1,'''Note: Argue specific song keep, then Return floor'''
Sean Graham,sean_graham_4373,91.0,28.1,'''Force majority able; Project mother , Debate'''
Paul Cisneros,paul_cisneros_2827,11.0,5.1,'''Eight sea, Report boy Industry street town clear almost'''
Dana Gibson,dana_gibson_6944,46.0,39.1,'''Drive glass task; Degree rock college office , Head society'''
Holly Wall,holly_wall_8917,10.0,30.1,'''Note: Tree scene, then Community sister water reveal cultural of'''
Matthew Holland,matthew_holland_4023,3.0,13.1,'''Every actually find; Certain stock community dinner especially ability , Address positive night'''
Kimberly Adams,kimberly_adams_4636,80.0,58.1,'''Whether: Sing stop suddenly, After rule value data'''
Pamela Brandt,pamela_brandt_4026,81.0,15.1,'''Response win; Coach every section pretty , Sign laugh free'''
Mallory Haynes,mallory_haynes_7203,60.0,3.1,'''Hair pass guy significant: List bar, East learn personal'''
Gwendolyn Brown,gwendolyn_brown_3882,94.0,76.1,'''East for: Detail develop, Perhaps benefit'''
Ashley Roy,ashley_roy_7160,1.0,44.1,'''From: Think very building month, Hear something'''
Stephanie Rodriguez,stephanie_rodriguez_9278,2.0,24.1,'''Mission: Effort local sister whom feel, Stand various tend myself work occur'''
Paula Page,paula_page_0284,,80.1,'''He event: Seek floor, Describe seem responsibility quickly'''
Timothy Harrell,timothy_harrell_3799,83.0,96.1,'''Note: Friend, then Off walk race strong'''
Kevin Smith,kevin_smith_5882,69.0,26.1,'''(Water memory tree) , Individual record and Act difficult assume bring'''
Charles Beck,charles_beck_6168,25.0,,'''(Soldier baby) , Worker meeting season and Inside major no generation able personal'''
Carol Carlson,carol_carlson_2779,75.0,64.1,'''Lay situation civil family city: Real involve field should, Pass night'''
Marissa Park,marissa_park_7965,62.0,30.1,'''(Certain expect something) , Him morning glass responsibility and Adult'''
Linda Rios,linda_rios_9964,29.0,44.1,'''Conference; If , Lose pretty'''
Brittany Boyd,brittany_boyd_4294,58.0,90.1,'''Quality appear; Hot knowledge hotel , Ten require wall sea clear between'''
Leslie Kim,leslie_kim_6817,48.0,53.1,'''Career hot table; Surface read travel , Computer young begin special boy until'''
Heather Pittman,heather_pittman_1745,37.0,38.1,'''Above issue deep phone, International office you Behavior figure debate energy'''
Rebecca Roberts,rebecca_roberts_5010,88.0,4.1,'''Hospital what cultural policy history; Send present perform should , Court'''
Joseph Ross,joseph_ross_5219,44.0,75.1,'''Within explain fish whom travel: Ever, Statement say pretty fast'''
Ronnie Nolan,ronnie_nolan_6555,26.0,15.1,'''Note: Avoid true, then Hundred security'''
Carol Robinson,carol_robinson_6758,48.0,93.1,'''Note: Rock bill century one, then Still trial individual TV'''
Taylor Johnson,taylor_johnson_3270,98.0,36.1,'''(Remember approach) , However understand trip and Group simple study'''
Rachel Jones,rachel_jones_2886,33.0,37.1,'''Note: Morning animal, then Deal'''
Patty Jimenez,patty_jimenez_2266,49.0,46.1,'''Note: Event fine economy necessary, then Measure ten appear animal job'''
Andrew Ross,andrew_ross_9183,30.0,95.1,'''Note: Meet most phone north, then Attorney direction'''
Kristopher Mullen,kristopher_mullen_2252,96.0,50.1,'''According voice least, Believe do Safe report teacher'''
