# This is a comment line to skip
username;age;score;note
sophie_bibi_5706;47.0;13.1;'''Quisquam repellat reiciendis iure autem: Corporis; Quidem placeat molestiae aliquid'''
mrs_white_5479;26.0;22.1;'''Odit exercitationem quasi tempore officiis; Et dolorem At quisquam'''
mr_smith_3769;68.0;91.1;'''Necessitatibus excepturi laudantium quaerat; Voluptates id accusamus ; Necessitatibus facere'''
garry_davies_9107;2.0;89.1;'''Non similique beatae; Non ratione at Soluta praesentium minus iste'''
katy_harrison_0578;42.0;37.1;'''Note: Occaecati earum necessitatibus; then Aliquid deleniti provident perspiciatis eos'''
dr_jarvis_2312;57.0;27.1;'''Note: Laboriosam sed tempore neque cumque; then Ea cumque'''
dr_lane_4222;48.0;56.1;'''Vero laborum minima sit nobis harum: Architecto quidem excepturi eaque; Et quo'''
dr_woods_6010;54.0;36.1;'''Mollitia aliquam laudantium: Neque ut maiores sit occaecati; Porro doloribus dolor'''
michelle_riley_7160;77.0;94.1;'''Note: Ratione officiis officia; then Nobis tenetur praesentium'''
callum_allen_7293;26.0;40.1;'''Note: Quae; then Ratione sed'''
victoria_williams_4724;28.0;12.1;'''Note: Nobis eveniet; then Cupiditate odit vel necessitatibus delectus'''
sophie_marshall_6245;72.0;65.1;'''Note: Quibusdam praesentium; then Commodi soluta'''
mr_knight_6566;8.0;45.1;'''Eligendi officiis perspiciatis: Soluta tempora quasi cumque; Corrupti incidunt'''
dr_ball_3162;86.0;48.1;'''Note: Vel cumque; then Libero'''
sally_ward_3533;45.0;14.1;'''Note: Eaque dolorem cupiditate tempora repellat praesentium; then Ut asperiores architecto laborum'''
paige_king_2150;48.0;43.1;'''Ipsam atque consectetur perspiciatis: Eveniet id consequatur; Omnis soluta soluta'''
mr_hutchinson_8161;40.0;65.1;'''Note: Asperiores sequi repellendus explicabo; then Voluptate incidunt dolorum optio fugiat'''
dr_humphries_6350;77.0;96.1;'''Quia ut reprehenderit amet; At architecto vitae Similique quasi assumenda ex'''
damian_stewart_2073;86.0;23.1;'''Hic; Minima ipsa eveniet illum ; Excepturi molestias'''
raymond_storey_4891;66.0;61.1;'''Repudiandae suscipit: Cupiditate facilis; Molestias unde'''
harry_collins_0093;20.0;81.1;'''Similique repellat rerum; Fugit deleniti maxime non expedita ; Earum a'''
benjamin_lynch_6797;10.0;98.1;'''Nostrum nisi laboriosam; Vel dicta Voluptas vitae aut'''
wayne_wright_1690;93.0;90.1;'''Beatae quaerat: Ut quidem; Impedit'''
donald_thompson_6411;1.0;16.1;'''Note: Assumenda officiis doloribus eos; then Quisquam alias nostrum'''
philip_ahmed_2140;37.0;73.1;'''(Impedit fugiat doloremque rerum praesentium) ; Rem tempore vitae voluptas velit fugiat and Aspernatur'''
kyle_rhodes_2132;54.0;93.1;'''Error: Nobis; Magnam tenetur suscipit'''
sam_hill_4144;52.0;33.1;'''Sunt eos itaque at: Voluptates unde; Praesentium facere'''
clifford_wall_9765;;76.1;'''Assumenda odio accusamus: Sunt possimus quos autem nemo excepturi; Provident dolorum sapiente quis nostrum ullam'''
oliver_reeves_3645;33.0;69.1;'''Incidunt voluptatem; Soluta porro Quaerat'''
leonard_wilson_9839;95.0;83.1;'''Consequuntur unde deleniti autem; Iusto ; Accusantium architecto'''
mark_murphy_3693;92.0;76.1;'''(Atque tenetur voluptates praesentium) ; Perferendis and Hic optio'''
amber_baker_5257;68.0;40.1;'''Id similique autem id ex: Repudiandae culpa dolore eos nam praesentium; Quae quia'''
josephine_reed_8636;94.0;21.1;'''Note: Voluptate; then Suscipit'''
ricky_king_7043;17.0;30.1;'''(Eveniet assumenda) ; Quae nemo and Eveniet tempora'''
craig_harris_2050;29.0;;'''(Voluptas dolorem) ; Veniam corporis and Eligendi dignissimos perferendis magni suscipit occaecati omnis'''
ms_ahmed_5610;61.0;22.1;'''Dolorem inventore magni sint: Nihil natus sit; Hic nulla'''
mr_saunders_4585;4.0;28.1;'''Note: Voluptatem molestiae; then Mollitia ipsam dignissimos'''
michelle_lloyd_3572;16.0;78.1;'''(Nam) ; Maiores odio ratione assumenda and Eveniet consequatur qui'''
elizabeth_howard_0810;63.0;63.1;'''Note: Quam; then Voluptatibus fuga'''
joe_bell_4145;53.0;36.1;'''Tempore vero laudantium; Perferendis ullam adipisci natus ; Ipsum facilis pariatur'''
grace_smith_7499;93.0;21.1;'''Odit numquam repellat; Occaecati quibusdam alias velit voluptates ; Omnis assumenda dolores'''
josephine_wright_2845;62.0;79.1;'''(Dignissimos enim consequatur) ; Reprehenderit iste consequuntur accusamus autem labore and Et placeat quasi quod'''
karen_wall_2056;50.0;76.1;'''Quo odio eum; Nisi aut pariatur Ad asperiores maiores ipsa quo'''
pamela_allan_5203;51.0;60.1;'''Suscipit laudantium numquam; Iusto tempora ; Nam commodi'''
josh_marshall_8659;3.0;82.1;'''Sequi eum atque; Autem non possimus voluptates Quod'''
dr_stephens_8215;88.0;80.1;'''Iure fuga; Beatae assumenda assumenda ad ; Dolorum'''
terry_nicholson_5684;53.0;8.1;'''Autem laudantium: Iure quo; Ut corrupti nisi'''
rosie_smith_6902;25.0;98.1;'''Note: Amet quis repellendus suscipit facere ut; then Tempora'''
