name,salary,score,age,description,review
Dr Abdul Harris,50.0,97.1,72.2,'''Facere provident: Eos magnam, Non suscipit perspiciatis id''','''Esse temporibus aspernatur; Quis aliquam nobis , Iusto tempore'''
Tina Richards,46.0,74.1,76.2,'''Ipsa necessitatibus itaque; Doloremque magni aspernatur libero nisi cupiditate , Facere''','''Note: Vel nulla, then Excepturi occaecati'''
Phillip Stanley,20.0,73.1,74.2,'''Note: Enim, then Aut dolores et facilis ex perferendis''','''Mollitia aut: Ab, Minima similique quae'''
Howard Rogers,7.0,58.1,32.2,'''Occaecati aut quaerat eveniet sapiente, Quae minima asperiores Aut minus numquam''','''Minus porro iusto: Repudiandae magni, Ad fugiat facilis'''
Miss Karen Hill,51.0,33.1,70.2,'''Note: Hic animi est eligendi sunt tempore, then Sequi at consectetur vel asperiores''','''Vel fuga tenetur deserunt excepturi minima, Nisi quod officia iure Accusantium'''
Oliver Hutchinson,69.0,21.1,29.2,'''Note: Commodi, then Minus nostrum impedit''','''Adipisci, Recusandae minima Qui animi inventore accusamus officiis unde'''
Kim Wong,78.0,76.1,14.2,'''(Repellendus atque quisquam at nulla) , Sed cumque accusamus aliquam and Asperiores saepe eius fuga quis''','''Non ipsum, Quaerat sunt rerum Veritatis vel dolores possimus molestias'''
Kirsty Rogers,90.0,9.1,1.2,'''Asperiores suscipit sed animi consequuntur explicabo: Error reprehenderit in, Quas natus quis''','''Note: Aspernatur perspiciatis temporibus, then Facilis voluptatibus inventore quia'''
Max Knowles,64.0,61.1,,'''Minus nesciunt; Soluta voluptas nobis , Accusamus repudiandae''','''In quam ea maiores id quibusdam; Saepe itaque minus expedita , Soluta quisquam quis'''
Sean Evans,15.0,9.1,17.2,'''Laborum; Fugiat ullam laborum , Quam accusamus suscipit error''','''Ad, Fugiat omnis ab provident sapiente animi Ipsum amet deserunt architecto fugiat'''
Stephanie Cooper,31.0,80.1,41.2,'''Minus aperiam officiis, Sunt mollitia sint dignissimos Perferendis temporibus corrupti ab magnam''','''Culpa, Quo corrupti vero dolorem Possimus'''
Bruce Gallagher,72.0,100.1,18.2,'''Sequi voluptates; Eius , Quaerat eum culpa dignissimos natus aspernatur''','''(Fugit beatae) , Porro nesciunt neque and Dolorem ad'''
Owen Marsden,10.0,73.1,66.2,'''Ab animi doloremque earum voluptatem: Eum est necessitatibus id sequi odio, Explicabo unde quae''','''Note: Magni aperiam architecto facere, then Cumque possimus'''
Nicola Nicholson,73.0,16.1,37.2,'''Ut minima; Eveniet , Necessitatibus''','''(Nam delectus ex) , Fugit voluptatem quos possimus quasi and Voluptatibus voluptas'''
Frank Lambert,46.0,74.1,74.2,'''Porro laboriosam, Mollitia laborum possimus Nam eveniet expedita temporibus corporis laboriosam''','''Assumenda harum; Corporis eaque et doloribus laudantium , Unde fuga'''
Suzanne Elliott,19.0,42.1,27.2,'''Note: Repellendus non itaque amet fugit, then Dicta distinctio debitis''','''(A veritatis dolorem) , Mollitia pariatur similique and Ipsum adipisci'''
Dr Kim Griffiths,72.0,28.1,54.2,'''Note: Consequuntur mollitia et mollitia quas provident, then Cupiditate veritatis''','''Eius amet fugiat: Natus veritatis, Fuga expedita'''
Jack Perry,27.0,35.1,29.2,'''Note: Praesentium, then Beatae''','''Minus eligendi alias ipsa: Expedita sint minima, Vitae corporis ab'''
Ms Leanne Taylor,65.0,18.1,24.2,'''Note: Perferendis placeat dolores dicta pariatur, then Nulla''','''Veniam esse, Sapiente dignissimos Rerum doloribus ab'''
Ryan Brady,74.0,3.1,43.2,'''Iusto; Labore quae voluptate , Fuga cum''','''Incidunt; Libero nisi , At et modi ab'''
D,41.0,85.1,77.2,'''Quibusdam ut impedit: Adipisci minus, Quo quas culpa odio''','''Similique ad omnis occaecati: Culpa distinctio, Expedita'''
Stewart Jones,55.0,24.1,20.2,'''(Sequi expedita atque) , Doloremque and Sunt molestiae''','''Cumque, Laudantium hic Laborum id quo'''
Annette George,37.0,80.1,49.2,'''Aut fugit mollitia libero quos, Ipsam error earum dolores eum Quisquam impedit quasi''','''(Doloremque earum) , Aperiam hic quasi and Blanditiis voluptas'''
Dr Mark Carter,41.0,74.1,31.2,'''(Debitis) , Officiis nam ducimus ab and Sapiente commodi''','''Quod; Tempora tempore , Quibusdam aliquam alias quia'''
Natalie Hunt,52.0,26.1,61.2,'''Commodi soluta: Repellendus velit, Ea''','''Nam: Repellendus, Neque'''
Dr Rhys Barrett,76.0,,61.2,'''Architecto consequatur earum consequuntur; Vitae dicta eos ad , Quibusdam eos quo cum''','''Error magnam sit sapiente reprehenderit; Odit ex , Aspernatur vel ratione nesciunt modi veniam'''
