username;name;age;rating;price;description;note
dr_parkin_9307;Dr Carl Parkin;98.0;86.1;49.2;"""Nulla nobis iure; Veniam vero ; Ut ut""";"""Voluptatem optio illum ullam; Illum Inventore reprehenderit voluptatem"""
allan_harris_7813;Allan Harris;32.0;4.1;87.2;"""Note: Unde unde dolorem ratione; then Deserunt""";"""(Quam veniam beatae necessitatibus aperiam minima) ; Quam and In sint totam"""
robin_wright_2954;Robin Wright;28.0;44.1;16.2;"""Quibusdam deserunt quidem: Iste; Aliquam unde aliquam""";"""Ex minima quis: Pariatur; Neque ad"""
mr_farmer_2660;Mr Bruce Farmer;58.0;;86.2;"""Expedita animi; Veritatis dolore ; Ratione quas rerum""";"""Debitis; Incidunt minus ; Alias exercitationem harum asperiores libero"""
steven_johnson_4951;Steven Johnson;91.0;10.1;10.2;"""Dolores debitis; Quibusdam eveniet unde facilis quibusdam Placeat in asperiores""";"""Reprehenderit quis autem itaque impedit maiores: Eaque eum; Fuga fuga neque consequuntur illum deserunt"""
tracey_taylor_0024;Tracey Taylor;93.0;17.1;24.2;"""Note: Laboriosam provident odit molestiae modi; then Voluptatibus officia fugiat""";"""Architecto minus illum fugiat doloribus voluptatem: Quos aperiam quam corrupti sit eum; Nemo ullam"""
mr_scott_8853;Mr Christian Scott;16.0;61.1;61.2;"""Accusantium quibusdam iste: Autem; Blanditiis nesciunt""";"""Doloribus distinctio perspiciatis: Soluta; Consectetur"""
kate_whitehouse_1468;Kate Whitehouse;16.0;77.1;11.2;"""Veritatis voluptates quia: Aspernatur; Eos doloribus""";"""Magnam: Repudiandae provident inventore accusantium ea explicabo; Veritatis voluptas sunt"""
mr_smith_8623;Mr Richard Smith;1.0;77.1;29.2;"""Quam earum: Vitae earum voluptatibus; Rem commodi""";"""Illum esse hic ipsam ea: Iusto tenetur; Et quo facilis"""
judith_jones_4250;Judith Jones;28.0;30.1;43.2;"""Note: Ducimus dolor quasi quas corporis; then Ad facilis animi""";"""Note: Deleniti ullam quas quae minus amet; then Alias quo"""
vincent_ahmed_5388;Vincent Ahmed;41.0;58.1;61.2;"""Porro expedita: Nihil est; Maxime sunt commodi iusto""";"""Sed alias id; Quis impedit Dolore reiciendis vitae animi corporis"""
mr_watson_2431;Mr Alan Watson;1.0;90.1;96.2;"""Est delectus officia nesciunt; Iste modi repudiandae ; Voluptatibus consequuntur consequuntur""";"""Soluta repellat: Sed; Cumque fuga deserunt animi"""
gavin_ali_3291;Gavin Ali;79.0;53.1;95.2;"""Note: Omnis ducimus exercitationem; then Molestias repudiandae vero modi""";"""Corrupti exercitationem autem; Accusantium ; Repudiandae dolores repellendus"""
dr_walters_1451;Dr Judith Walters;43.0;57.1;24.2;"""Sunt consequuntur ab optio; Quibusdam cum a ; Vitae""";"""Omnis possimus aliquid nobis; Sit repellat ; Recusandae consectetur eum quo magnam dignissimos"""
mitchell_daly_7273;Mitchell Daly;67.0;89.1;93.2;"""Sequi veritatis; Adipisci porro doloribus ; Quod natus quasi""";"""Harum voluptatibus sapiente vel officiis; Numquam repellat velit deserunt ; Omnis nobis"""
dr_wood_3041;Dr Tina Wood;10.0;62.1;29.2;"""Note: Ipsa repellat assumenda; then Delectus blanditiis provident""";"""Numquam repellat: Accusamus nisi enim quod ad; Consequuntur ipsam voluptatem sunt"""
mrs_porter_6441;Mrs Susan Porter;35.0;4.1;7.2;"""Maiores tempore iure quaerat; Voluptatum molestiae tempore explicabo minus rem Corrupti delectus""";"""Odio deserunt eum iste; Perspiciatis quia voluptate Tempore accusantium"""
francesca_davis_1988;Francesca Davis;100.0;21.1;44.2;"""Deleniti voluptas molestiae; Repellat facilis optio tempore sit ; Ab quam""";"""(Nostrum) ; Tenetur quae praesentium consequuntur and Ex eligendi"""
alexandra_butler_7377;Alexandra Rose-Butler;13.0;17.1;82.2;"""(Numquam laudantium quas laboriosam sequi itaque) ; Nesciunt omnis and Ea est iusto iure ipsum""";"""(Ea) ; Eligendi optio aliquam odio consectetur odio and Facere minima nostrum consectetur"""
nicholas_baxter_8645;Nicholas Baxter;90.0;56.1;91.2;"""Aspernatur minima: Quod omnis esse; Non commodi ullam quam officia""";"""Et molestiae reiciendis perferendis; Voluptas alias aliquid Illo voluptas repellendus"""
trevor_lord_4284;Trevor Gibson-Lord;31.0;57.1;;"""Note: Odio; then In adipisci mollitia pariatur excepturi""";"""Porro quaerat; Vel beatae hic occaecati accusamus ; Aliquam est"""
jeremy_johnson_3607;Jeremy Johnson;70.0;32.1;21.2;"""Beatae in; Dolore veniam incidunt magni ; Similique consequuntur""";"""(Alias voluptatibus beatae) ; Nostrum consequatur and Possimus vel"""
cameron_baker_5130;Cameron Baker;25.0;95.1;40.2;"""Vero cumque voluptas possimus: Optio repellendus placeat ex accusantium; Laboriosam recusandae""";"""Labore culpa alias quidem aliquid; Libero sint laudantium blanditiis repellendus ; Omnis aut"""
duncan_wilson_6154;Duncan Wilson;24.0;19.1;34.2;"""Excepturi magni; Commodi mollitia consequuntur praesentium hic sit Nesciunt praesentium pariatur""";"""Libero nemo velit harum deleniti; Ex libero occaecati illum Quia"""
