# This is a comment line to skip
username	total_count	score	age	description
ruth_hopkins_3456	6.0	5.1	63.2	"""Enjoy major water protect education	 Carry seek With serve figure"""
roberta_alvarez_2744	22.0	32.1	25.2	"""Office capital whether	 Too southern Everyone yard financial standard"""
william_smith_6371	24.0	49.1	17.2	"""Clear room at bar; Social hospital trouble 	 White box region"""
robert_jones_3135	50.0	72.1	46.2	"""Others war writer; Reality 	 Plant radio political resource behavior"""
garrett_bright_2801	57.0		48.2	"""No condition	 Along meeting fall public past thank Two"""
tony_vasquez_9906	10.0	23.1	12.2	"""Arm	 Do of He class pretty firm watch"""
michael_cochran_1370	96.0	41.1	78.2	"""True baby man	 Agreement drug just either Team"""
jennifer_jimenez_7234	29.0	100.1	68.2	"""(Brother understand) 	 Military run for professional and Though successful voice"""
matthew_walsh_4916	88.0	5.1	36.2	"""Nearly box; Need effort 	 Necessary treatment serious medical TV"""
rachel_patrick_3159	12.0	29.1	11.2	"""Anything clearly: Whole ground	 Check until"""
timothy_mann_2825	33.0	21.1	62.2	"""By international	 Interesting heavy happen relate picture Low season bank"""
debbie_smith_9432	17.0	60.1	20.2	"""Note: Education may skin kid	 then Fast song best"""
seth_oconnor_7961		82.1	79.2	"""(Trade player) 	 Very and In per professional"""
kathleen_short_9704	28.0	73.1	72.2	"""Success season; Whole 	 Yourself among summer"""
sheri_alvarado_8010	43.0	50.1	34.2	"""Test movement: Which how mission	 Prevent college fall consider candidate store"""
dr_phd_3132	41.0	95.1	20.2	"""Institution teacher cut yeah; Perform 	 Deep these score reduce might"""
chad_evans_3305	69.0	45.1	10.2	"""Serious; Recently situation capital choice agreement 	 Space room plan bar yet"""
darrell_garza_3221	12.0	2.1		"""Between concern interest method	 Positive before Behavior easy meeting"""
benjamin_v_8063	44.0	63.1	44.2	"""How: Ask detail	 Cell attention"""
deanna_parker_7028	70.0	40.1	65.2	"""Note: Arm	 then Record once receive"""
lori_gallagher_2567	25.0	10.1	85.2	"""(Understand usually senior) 	 Range and Thing less build"""
