username;name;price;total_count;message
cassandra_reyes_5102;Cassandra Reyes;56.0;29.1;"""Voice act; Minute up quickly ; Yeah discussion peace power father"""
pamela_maxwell_6314;x;84.0;7.1;"""Town huge vote difficult else; Either return card ; Cut down"""
evan_baker_7786;Evan Baker;4.0;61.1;"""Note: Ok last behavior matter; then Wish clearly stand event land glass"""
courtney_lopez_0660;Courtney Lopez;44.0;65.1;"""Trip machine left; Look himself structure white Say offer"""
leah_wolf_9209;Leah Wolf;2.0;98.1;"""Worry list baby leader; We ; Possible action firm computer"""
kathy_werner_6931;Kathy Werner;;72.1;"""Go; Anyone never seem Product treatment"""
kristin_daniel_2333;Kristin Daniel;7.0;37.1;"""Green recent citizen discussion chance interest: Bit treat news; Seem off amount truth"""
shannon_griffith_9121;Shannon Griffith;63.0;;"""(Often benefit) ; So partner and Officer free relationship letter"""
john_gonzalez_8003;John Gonzalez;88.0;33.1;"""Campaign: Middle decide way; There page stand create"""
kevin_thomas_7965;Kevin Thomas;95.0;69.1;"""Very government character course; Decade One six seat"""
cheryl_johnson_3001;Cheryl Johnson;25.0;74.1;"""Note: Thus design strategy; then She"""
alicia_fleming_6633;Alicia Fleming;36.0;98.1;"""Who price administration address: Store popular share; Work lay wrong without"""
paul_richard_0805;Paul Richard;40.0;23.1;"""Note: Job; then Goal reality"""
sarah_colon_9149;Sarah Colon;63.0;91.1;"""Purpose ask discussion part to: Child here early; Leg"""
neil_cooper_9407;Neil Cooper;52.0;42.1;"""Note: Visit score discover memory seek Mrs; then Model line forward"""
ralph_gonzalez_2250;Ralph Gonzalez;52.0;40.1;"""(Account member along manager for) ; Owner community and Effect cause throughout determine economy"""
kelsey_ibarra_2738;Kelsey Ibarra;66.0;78.1;"""Face stage; Hand again rule ok ; Point contain those"""
susan_miller_3081;Susan Miller;15.0;36.1;"""Different wind out best similar; Break clear should ; Leave child"""
peggy_kaiser_5579;Peggy Kaiser;85.0;28.1;"""(Education tax international ready) ; Ground fine direction and Break house"""
leslie_scott_8957;Leslie Scott;81.0;22.1;"""(Common learn) ; Really and Beat next open institution some conference"""
emily_russell_7656;Emily Russell;71.0;84.1;"""(Nature wind) ; Knowledge and Relate whole"""
