# This is a comment line to skip
username;total_count;remark;message
allan_smith_6575;70.0;"""Natus vitae; Et molestiae ; Commodi enim placeat totam""";"""(Qui) ; Quasi and Doloribus vero"""
dr_coates_2795;62.0;"""Amet blanditiis ut tempora: Voluptas ad tempora; Quas dolore ea""";"""Aliquid odit totam: Ut; Quibusdam laudantium"""
mathew_hunter_6303;22.0;"""Note: Eius quod nesciunt quam; then Repellat optio doloribus odio""";"""(Illo) ; Velit nulla laborum and Delectus quam porro"""
eleanor_edwards_2399;4.0;"""Expedita: Culpa repellendus occaecati; Exercitationem laboriosam libero quidem architecto""";"""Note: Iusto; then Ad tempore"""
kelly_davis_5574;56.0;"""(Dignissimos) ; Enim placeat vero facere eligendi and Consequatur dolorem reprehenderit provident dolores voluptas""";"""Voluptate qui numquam; Dicta harum Velit magni accusamus modi ea"""
ricky_pearce_6777;80.0;"""Note: Dolore expedita natus; then Accusamus facere delectus maxime""";"""Soluta eum at ducimus est: Asperiores harum; Non exercitationem harum"""
mrs_white_0465;11.0;"""(Id adipisci) ; Amet consequatur temporibus tempore and Delectus""";"""Note: Ad vero; then Provident officiis"""
iain_wilson_2829;46.0;"""Ullam alias in beatae maiores accusamus: Velit illum quas vero magnam; Repudiandae ea""";"""Incidunt aliquid; Consequatur ; Cumque quam"""
cameron_lloyd_7999;57.0;"""Placeat in voluptas similique commodi; Assumenda ; Cumque doloribus fuga dolorem fuga eveniet""";"""Molestiae; Incidunt tempora ; Accusamus dolor dignissimos dolorum blanditiis"""
luke_walker_9126;12.0;"""Corporis asperiores voluptas voluptas: Odit aliquam commodi ullam magni; Atque porro illum""";"""Quos; Totam quod quaerat Eum optio ratione"""
julian_fletcher_5793;81.0;"""Officiis impedit; Magni iure quos expedita recusandae ab Aut iure ducimus facere""";"""Nobis a; Pariatur impedit ; Ad facilis"""
mrs_smith_6946;61.0;"""Temporibus molestias voluptate veritatis earum debitis; Tempora provident Voluptas consectetur""";"""Reiciendis quam; Dolorum eveniet Sequi corporis voluptatem numquam"""
lorraine_spencer_1141;74.0;"""Minus; Animi recusandae dolore Possimus necessitatibus quasi""";"""Note: Vero debitis; then Aliquam asperiores explicabo dolorem"""
ellie_little_2763;59.0;"""Note: Atque; then Laudantium officiis provident dolorum nisi""";"""(Beatae distinctio ab illo voluptatem) ; Excepturi impedit id molestiae quas similique and Voluptatum perferendis"""
joe_allan_5644;70.0;"""Id: Neque culpa; Adipisci et""";"""Hic accusamus expedita similique amet officia; Sequi in non libero Earum dicta saepe"""
stuart_anderson_2533;55.0;"""Ratione nemo; Nulla ; Dolores esse veniam occaecati illum""";"""Eius impedit; Magnam id fuga Quia"""
dr_reed_3834;50.0;"""(Quos pariatur consequatur) ; Asperiores quidem provident and Odio quae odit""";"""Neque labore excepturi; Praesentium Facere voluptatibus"""
sophie_butler_2527;81.0;"""Labore commodi: Magnam; Beatae dignissimos exercitationem""";"""Est exercitationem quibusdam: Illum accusantium vel tempora quasi; Eaque fugit"""
tracey_humphreys_8271;79.0;"""Magni; Repellat facilis asperiores ; Iste""";"""Est cum: Quo; Dicta id"""
debra_elliott_9428;45.0;"""Note: Quidem unde saepe consequuntur quae; then Necessitatibus itaque""";"""Sequi porro; Iusto blanditiis delectus ; Porro culpa alias"""
gareth_owens_1718;55.0;"""Amet molestias exercitationem nisi; Quis molestiae ducimus ; Atque amet earum""";"""(Tenetur recusandae aspernatur) ; Qui and Architecto temporibus nemo maxime aliquam"""
tracy_williams_5903;58.0;"""Maiores eos officiis quam; Unde Saepe perspiciatis""";"""Ratione totam accusantium sapiente ea numquam; Quis nemo ; Laborum nihil nemo"""
mrs_glover_5374;87.0;"""Nostrum pariatur consectetur eaque provident; Tempore Similique explicabo""";"""Temporibus maxime tenetur sit: Necessitatibus; Quod aperiam officia"""
ricky_cook_0928;;"""Deserunt aliquam quas aut blanditiis eligendi; Inventore dolor Libero incidunt""";"""Aperiam odit; Culpa culpa Enim"""
richard_cook_6810;28.0;"""Note: Suscipit asperiores; then Distinctio ducimus totam tempora""";"""(Autem corporis in) ; Odit blanditiis voluptate fugiat ut and Consectetur odit natus mollitia eaque"""
holly_burton_8549;50.0;"""Occaecati nam: Non omnis ex; Occaecati voluptatem nulla""";"""(Corrupti expedita facere) ; Itaque impedit ut nam and Minus quas a"""
