name,username,price,rating,score,remark
Gary Jones,gary_jones_6482,52.0,17.1,26.2,"""(Ratione facilis nostrum) , Alias repellendus and Odio consequatur voluptatum"""
Jay Flynn-Wright,jay_wright_8292,54.0,33.1,57.2,"""Note: Beatae adipisci earum voluptas, then Inventore quod iusto dolor"""
A,bradley_read_0845,,81.1,15.2,"""Illo soluta illum: Quasi enim, Eaque harum sequi voluptas corporis"""
Andrew Ross-Matthews,andrew_matthews_7540,73.0,22.1,5.2,"""(Est deleniti nihil quisquam) , Deserunt amet and Laudantium illo"""
Mr Ashley Hawkins,mr_hawkins_9121,51.0,7.1,72.2,"""Omnis ipsa: Vel sint officia, Deserunt maxime tempora"""
Mr Cameron Sullivan,mr_sullivan_9707,81.0,100.1,,"""(Iste ex ullam praesentium sunt) , Impedit odit and Dolore rem"""
Geraldine Kaur,geraldine_kaur_5868,71.0,92.1,51.2,"""Note: Commodi quasi sapiente, then Neque ab aperiam atque"""
Richard Thornton,richard_thornton_5307,10.0,86.1,62.2,"""Enim, Doloremque quo neque a Nulla"""
Mrs Kelly Riley,mrs_riley_0989,58.0,92.1,16.2,"""(Hic sapiente) , Aperiam ex vero and Ex ex quisquam fugiat harum quo"""
Dr Amy Harris,dr_harris_1843,35.0,27.1,73.2,"""(Alias recusandae quis) , Ipsa mollitia and Porro temporibus eos natus tenetur unde"""
Marc Green,marc_green_0670,36.0,58.1,58.2,"""(Quia vel) , Fugiat dolor voluptate molestiae dolores sit and Quasi deserunt"""
Dr Rachel Humphries,dr_humphries_6195,6.0,86.1,22.2,"""(Commodi id eveniet) , Modi quo and Quibusdam impedit repellendus"""
Dr Hollie Brooks,dr_brooks_2039,8.0,26.1,81.2,"""Quia omnis maxime; Accusantium hic voluptates , Fugit ad maiores"""
Francesca Wilson,francesca_wilson_7637,61.0,32.1,96.2,"""Distinctio a: Qui amet quas, Itaque tempore"""
Bethany Stevens,bethany_stevens_4542,62.0,72.1,25.2,"""Sunt: Illo, Dolores possimus"""
Mr Paul Griffiths,mr_griffiths_0316,98.0,87.1,46.2,"""Mollitia eos; Eos voluptates dolore rerum repellat atque , Accusamus"""
Justin Davidson,justin_davidson_8852,18.0,42.1,73.2,"""Eaque dolorem, Commodi error Aliquam repellat"""
Sam Harris,sam_harris_3762,41.0,42.1,17.2,"""Iusto; Qui aut , Iure impedit rerum suscipit"""
Sheila Hall-Wright,sheila_wright_5272,26.0,8.1,78.2,"""Minima voluptatibus, Necessitatibus fugit maiores quasi Repellendus voluptate fuga consequatur"""
Lynda Dixon,lynda_dixon_5843,78.0,4.1,88.2,"""Quas repudiandae; Doloribus laboriosam quia doloremque , Assumenda placeat nesciunt"""
Mitchell Vaughan,mitchell_vaughan_3870,78.0,56.1,21.2,"""Accusantium ab dicta commodi expedita; Ipsa accusamus , Maxime consequuntur ipsum esse"""
Barry Lawrence,barry_lawrence_8933,42.0,3.1,87.2,"""Cumque facilis; Minima illo quis quas est , Saepe doloremque"""
Adrian Taylor-Thomas,adrian_thomas_8044,32.0,,85.2,"""Perspiciatis: Nulla ab reprehenderit sed debitis deserunt, Delectus porro quasi"""
