# This is a comment line to skip
name;price;score;total_count;description;review
Dr Malcolm Chan;74.0;25.1;62.2;"""Laboriosam; Quas nihil ; Vero ex esse itaque cupiditate""";"""Incidunt; Sunt sequi dolor consequuntur illum ; Quia veniam maiores"""
Owen Lawrence;90.0;9.1;64.2;"""Voluptatum ducimus: Sit amet fugiat; Recusandae sequi similique corrupti""";"""Veritatis aspernatur debitis doloremque; Quaerat iste ; Ullam a quasi nisi"""
Rosemary Hancock;66.0;96.1;28.2;"""Note: Vel neque; then Ullam""";"""Note: Iste occaecati; then Rerum libero laudantium"""
Ms Sian Owen;98.0;;30.2;"""(Ea ullam) ; Recusandae laudantium and Asperiores numquam exercitationem maxime""";"""(Nulla ipsam) ; Atque facere maiores and Libero laudantium nesciunt consectetur autem animi"""
Stephen Lowe;84.0;56.1;2.2;"""Officiis; Laborum non quia repellendus debitis eos Harum soluta explicabo debitis""";"""Enim quae: Vel non iure cupiditate reprehenderit; Sint tempora"""
Charlie Fox;;61.1;63.2;"""Error quas dolore: Totam; Dicta aperiam nisi saepe similique""";"""Ullam laboriosam reprehenderit: Maxime atque perferendis sunt; Est soluta sapiente officiis"""
Abigail Thomas-Williams;88.0;58.1;15.2;"""(Ex earum) ; Illum voluptatum accusamus and Consectetur optio accusantium perferendis""";"""Note: Aspernatur; then Quam nihil sequi sit quos fugiat"""
Mr Howard Simpson;75.0;42.1;82.2;"""Note: Expedita; then Distinctio distinctio expedita""";"""Ducimus autem repellat; Facilis aliquid incidunt id Consectetur mollitia voluptas sed"""
Dorothy Evans;43.0;17.1;39.2;"""Iure: Dolore vitae ex; Quidem officiis""";"""(Nisi error) ; Dignissimos debitis accusantium fugiat reiciendis and Voluptatibus ipsum perspiciatis explicabo totam"""
Zoe Wilson;45.0;91.1;98.2;"""Note: Corrupti asperiores; then Doloremque nobis""";"""Alias molestiae excepturi repellat; Rem eveniet ; Omnis cum"""
Mrs Beverley Roberts;17.0;99.1;5.2;"""Sint magnam: Blanditiis repellendus unde; In consequuntur quo quas cupiditate""";"""Laborum alias est; Molestias fugit quibusdam Debitis quidem"""
Miss Joanne Gregory;88.0;22.1;41.2;"""Vitae quis possimus corporis velit; Dolor quae ; Numquam magnam velit""";"""Similique molestias veniam quisquam: Id omnis; Quas repudiandae illum ad quas"""
Judith Richardson;23.0;64.1;82.2;"""Eos officiis nemo illum architecto aspernatur; Praesentium Nemo reiciendis voluptates facere""";"""Note: Deserunt; then Consequuntur nam ab"""
Mr Daniel Walker;18.0;39.1;54.2;"""Note: Facere; then Officia quo inventore""";"""Note: Perspiciatis; then Ex accusantium"""
Mr Paul Pearson;74.0;12.1;71.2;"""Note: Delectus aut numquam quae dolores; then Eligendi""";"""Note: Id repellendus dignissimos; then Veritatis quasi fugit rerum"""
Annette Barber-Holland;26.0;71.1;60.2;"""(Earum sunt corrupti) ; Expedita ipsa and Modi distinctio""";"""(Error soluta nisi) ; Voluptates vitae magni molestias and Ipsa"""
 ;16.0;59.1;58.2;"""Iste aliquid consectetur cupiditate; Officia doloribus pariatur ; Eius itaque a qui""";"""Note: Consectetur doloremque; then Illo reiciendis"""
Clifford Williams;80.0;57.1;;"""(Ut) ; Asperiores doloribus and Quod optio et""";"""Note: Quidem consectetur alias id eveniet; then Sit numquam"""
Alan Dunn;44.0;27.1;25.2;"""Illum sunt: Similique; Quasi neque voluptatibus dolorem deleniti qui""";"""(Ullam quasi nesciunt) ; Quam odio and Ab"""
Nigel Smith;7.0;60.1;18.2;"""(Sequi iste nostrum reprehenderit) ; Totam ducimus and Officia saepe""";"""Qui officia nesciunt dolores expedita odit; Fugiat enim vero ; Pariatur dolore"""
