name,username,age,salary,rating,note
Emily Warner,emily_warner_9896,38.0,22.1,77.2,"""Industry film nice team: Easy data behavior, Will single society"""
Ashley Rose,ashley_rose_1066,7.0,57.1,29.2,"""Food movie today very, Forget Mrs Race authority add"""
A,michael_vargas_0183,55.0,46.1,21.2,"""Note: Work, then Realize focus"""
Joseph Gonzalez,joseph_gonzalez_0111,61.0,82.1,72.2,"""Development Congress manager simple indicate break: Gun reach participant heart skin all, However beyond"""
James Hull,james_hull_3525,87.0,93.1,7.2,"""Professional, Name foreign worry hold Man top"""
Glenda Turner,glenda_turner_7728,64.0,85.1,44.2,"""Out institution; Television same , My rise employee"""
Joyce Jones,joyce_jones_4721,75.0,55.1,7.2,"""Notice forward leader; Court you , Religious perhaps especially particularly"""
Brad Cochran,brad_cochran_2739,61.0,75.1,76.2,"""Note: Her benefit force daughter subject, then Watch word seek concern"""
Preston Rodriguez,preston_rodriguez_1721,39.0,55.1,29.2,"""Paper trip from boy, Each avoid beautiful catch mission few Agent picture full tree"""
Kevin Perez,kevin_perez_2354,60.0,55.1,10.2,"""Enough think; Early change head type , Likely how"""
Charles Randolph,charles_randolph_9095,25.0,26.1,65.2,"""Reveal herself; Nor include beyond summer , Wait common"""
James Pratt,james_pratt_4688,50.0,85.1,52.2,"""Carry knowledge: May, Hotel debate trip short"""
Jennifer Lyons,jennifer_lyons_6414,14.0,57.1,76.2,"""Note: See, then Me seek school"""
Gregory Ross,gregory_ross_8411,80.0,51.1,18.2,"""Very yeah as; May likely economic , Imagine green"""
Thomas Williams,thomas_williams_6290,65.0,89.1,25.2,"""(Single point) , Third and Key of choice"""
Susan Lewis,susan_lewis_0592,47.0,82.1,17.2,"""Note: Apply role feeling sure, then Knowledge pass range always water"""
Michele Patterson,michele_patterson_9701,96.0,7.1,54.2,"""Note: Become out, then Choice heart will day Congress hour"""
Thomas Fisher MD,thomas_md_9609,56.0,49.1,94.2,"""(Concern number) , Which just half seven goal and Fast everything evening"""
Kathleen Collins,kathleen_collins_3296,45.0,78.1,100.2,"""Piece kitchen plant; Property girl race edge sport , Enjoy usually young security enter"""
Natalie Delacruz,natalie_delacruz_4546,7.0,11.1,73.2,"""Note: Government above radio from feeling green, then Similar sure alone more meeting"""
Jeremy Hall,jeremy_hall_4182,89.0,,18.2,"""Note: Wide can name, then Miss star task follow"""
Robin Kennedy,robin_kennedy_4785,76.0,14.1,58.2,"""Less business stage: Listen, Country before attention long"""
Carly Meza,carly_meza_1143,8.0,46.1,51.2,"""Suggest, Smile dinner treatment air thus citizen Until bring"""
Terri Newman,terri_newman_1824,,31.1,26.2,"""(According any show) , Time prepare upon smile according and Wife source possible choose"""
Christopher Lewis,christopher_lewis_4875,30.0,74.1,4.2,"""Them home: Hospital mean good mean, Base make since stage newspaper"""
Derek Schroeder,derek_schroeder_2518,18.0,45.1,79.2,"""Without carry certainly baby not, Send resource try despite Person food compare when"""
Debra Lewis,debra_lewis_5639,84.0,27.1,,"""Other down record: Picture religious, Bring capital hair"""
Amanda Ramos,amanda_ramos_3449,84.0,40.1,90.2,"""Note: Big turn, then Natural"""
Lauren Mcclure,lauren_mcclure_6505,29.0,67.1,78.2,"""Inside conference issue: And throughout, Either investment top billion often"""
David Reyes,david_reyes_8743,10.0,2.1,30.2,"""Security training card; Price even item chance , Become only trip"""
Thomas Franco,thomas_franco_0767,85.0,78.1,44.2,"""Series: Stuff people, Item friend break"""
Daniel Harmon,daniel_harmon_5278,49.0,79.1,18.2,"""Fact guy: Serious around American beat however, Discussion free make"""
Robert Jones,robert_jones_1508,48.0,88.1,96.2,"""(Build after) , Nice although TV visit family and Back blood"""
Eileen Wagner,eileen_wagner_6019,23.0,77.1,40.2,"""Computer foot; Single camera general opportunity participant , Style pressure religious know main"""
John Ramirez,john_ramirez_8564,76.0,63.1,55.2,"""Put then father; Such conference run off , Investment and compare structure card contain"""
Jennifer Garcia PhD,jennifer_phd_0360,4.0,42.1,59.2,"""Thank trouble smile my clear; Push keep participant stock situation , First president little voice"""
