# This is a comment line to skip
username,name,total_count,remark
melissa_rangel_3221,Melissa Rangel,19.0,"""Leave: Suffer audience officer fact, Decide improve"""
mrs_phillips_4804,Mrs. Catherine Phillips,1.0,"""(End animal without tax question) , See many and Early consider two"""
sharon_carter_7312,Sharon Carter,61.0,"""People southern analysis; Piece window lose hit recognize , Bank north"""
bryan_reeves_3932,Bryan Reeves,36.0,"""Else finish sport prevent back: Glass people give lay, Above check"""
krystal_walker_6864,Krystal Walker,81.0,"""Whether expert be; Defense great , Dog time speech them simple nearly"""
amanda_underwood_5445,Amanda Underwood,30.0,"""Note: Point sport drive, then Push worry"""
mark_morrison_9832,Mark Morrison,85.0,"""Project thing surface: Book foot allow, Analysis no leg eight"""
marcus_oneal_8556,Marcus Oneal,,"""Site, Material various especially authority Painting include save"""
alexander_wood_8600,Alexander Wood,26.0,"""Or write police north morning mention, World dinner Whatever voice"""
michael_md_3867,Michael Reynolds MD,96.0,"""Part service, Mother color bill Billion always"""
justin_colon_6013,Justin Colon,5.0,"""Class mind: Contain, Seem"""
tammy_moody_4658,Tammy Moody,12.0,"""Provide white wide suddenly: Man explain while vote resource teach, Case college that beautiful simply local"""
jessica_torres_9309,Jessica Torres,48.0,"""(Though everybody) , Relationship east scientist determine face ago and Hard seek"""
andrea_peterson_8495,Andrea Peterson,89.0,"""Note: Value subject although brother ok, then Any"""
anita_mahoney_1699,Anita Mahoney,87.0,"""(Education now) , Smile and Friend suffer live"""
jessica_stewart_4960,D,99.0,"""Factor body: Model, Across get rule"""
joseph_bennett_0099,Joseph Bennett,87.0,"""Question doctor: Young, Project in"""
jo_scott_9036,Jo Scott,18.0,"""Whatever why it adult situation, Service record note Suddenly create player against since"""
christine_lee_9711,Christine Lee,40.0,"""Tv safe successful: Half, Popular"""
dawn_bailey_7569,Dawn Bailey,34.0,"""(Trial) , Service cause executive draw remain and Even half that loss key"""
