# This is a comment line to skip
username,salary,score,price,comment,message
shannon_pope_9757,45.0,24.1,4.2,"""Ullam in sunt dolores blanditiis; Alias ab tenetur quam , Omnis sapiente blanditiis""","""(Maxime consequuntur) , Quam amet and Quisquam facere officia facilis quae"""
miss_jackson_9447,81.0,84.1,96.2,"""Assumenda officia laborum magni natus; Provident minima rem , Voluptates eum ullam""","""(Incidunt) , Voluptatibus laboriosam aperiam dolore and Reprehenderit quaerat aperiam"""
mrs_dean_2627,3.0,89.1,40.2,"""Porro reiciendis quod qui; Autem minus , Tenetur commodi quibusdam""","""Repellat similique iusto quis, Sunt voluptates At necessitatibus"""
katy_gray_6637,43.0,74.1,2.2,"""Explicabo nisi eos; Numquam ex , Quaerat in""","""Incidunt; Aperiam enim recusandae blanditiis id temporibus , Neque maiores"""
mr_porter_1156,7.0,67.1,79.2,"""Odio vel aliquid nobis: Voluptas ad, Tempora totam consectetur iusto dolore repellendus""","""Beatae corrupti quia non: Quidem optio, Praesentium fugit saepe"""
dr_newton_8225,22.0,71.1,73.2,"""Quisquam mollitia; Earum , Repudiandae labore omnis""","""Excepturi deleniti, Animi placeat consequuntur Earum deserunt"""
lynn_perkins_9450,43.0,57.1,85.2,"""Nemo esse ipsam, Magnam odit sunt saepe consequuntur dignissimos Eius expedita""","""Fugiat veniam quis molestias; Libero possimus quia delectus , Sunt non ea"""
lydia_taylor_8050,2.0,36.1,16.2,"""(Voluptatibus ipsum veniam) , Iste et explicabo and Nobis nesciunt""","""Note: Mollitia eveniet ab, then Voluptate debitis"""
georgia_white_1440,65.0,73.1,64.2,"""Commodi enim, Laborum voluptatem sint Amet excepturi assumenda""","""Quasi ab aperiam, Adipisci exercitationem eius Et perspiciatis laudantium nulla alias"""
dr_berry_1273,87.0,83.1,54.2,"""(Ad suscipit possimus eveniet id) , Deleniti dignissimos and Autem ullam quia dolor""","""Culpa in; Neque ad , Quos nisi quis"""
christine_simmons_8563,3.0,75.1,73.2,"""Note: Ipsa aperiam incidunt ut reiciendis ad, then Laborum dolore accusamus quod""","""Similique molestiae unde necessitatibus illum blanditiis; Libero eius unde , Facilis provident"""
abbie_murphy_3740,23.0,39.1,35.2,"""Minima consequatur assumenda facere nesciunt; Pariatur necessitatibus est atque , Doloremque""","""(Repellendus minus) , Esse officiis eum quos ea and Expedita sed eaque nostrum cumque voluptate"""
dr_banks_0492,90.0,68.1,71.2,"""(Illo molestias totam expedita similique) , Consectetur and Est iste veritatis reiciendis""","""Doloribus beatae neque exercitationem: Soluta quibusdam debitis sunt facilis tenetur, A et rerum"""
mrs_taylor_4023,93.0,50.1,41.2,"""Ratione nostrum magni quo: Voluptates, Doloribus eius voluptas eveniet cupiditate""","""Minus exercitationem optio dolore, Quidem autem Officiis reiciendis non eius"""
jamie_francis_6181,51.0,,,"""(Veniam) , Exercitationem eaque sapiente officia voluptatem and A nesciunt""","""Note: Exercitationem omnis sed quas libero, then Asperiores odit quam quae in"""
mr_williams_4865,88.0,35.1,79.2,"""(Nostrum eligendi unde) , Voluptatum and Quo voluptas""","""Note: Aliquam quo temporibus totam voluptates, then Nihil expedita harum totam"""
marcus_jones_6709,,10.1,26.2,"""Note: Odit possimus, then Consequuntur""","""Explicabo optio; Quaerat consequuntur , Quo maiores"""
emily_johnson_6801,19.0,66.1,20.2,"""Ad quasi nemo: Illum, Laborum rerum iste culpa iusto""","""Note: Cumque iure facilis eaque, then Libero perferendis quibusdam ab"""
ms_roberts_1068,5.0,88.1,7.2,"""(Sint minima) , Modi necessitatibus odio and Perspiciatis necessitatibus iure""","""(Nam) , Dignissimos natus suscipit and Pariatur cupiditate delectus consequatur illum itaque"""
dr_evans_0335,44.0,30.1,6.2,"""Labore optio, Ipsa pariatur Dignissimos inventore""","""Nobis perspiciatis libero; Dignissimos totam molestias rerum esse , Ducimus"""
beverley_johnson_0451,93.0,54.1,66.2,"""Note: Fugiat, then Expedita perferendis veniam""","""Note: Culpa deserunt porro, then Voluptatem corporis"""
malcolm_winter_8685,49.0,19.1,7.2,"""Consectetur quae reiciendis; Quis animi iste amet , Similique nulla non""","""Quisquam natus facere eos: Quo voluptates harum, Impedit voluptate id"""
christine_carroll_3857,73.0,93.1,26.2,"""Quos veritatis eaque sit molestiae, Id sunt earum quos neque Repudiandae ex""","""Voluptate voluptas, Accusantium veniam velit doloremque laborum Provident"""
howard_faulkner_1123,1.0,31.1,94.2,"""Fugit adipisci alias, Sit debitis Saepe hic voluptate porro vero et""","""(Harum reiciendis incidunt recusandae) , Exercitationem officiis reprehenderit dignissimos perspiciatis and Amet cumque architecto"""
tracey_singh_4653,23.0,70.1,57.2,"""Temporibus officiis dolore; Eaque repudiandae laudantium ipsa , Assumenda""","""Repellat repudiandae aut: Est molestiae, Sequi quasi"""
ronald_archer_5876,5.0,44.1,82.2,"""Suscipit libero porro quibusdam: Tenetur soluta minima voluptate aliquid, Consequatur nobis""","""Deserunt eaque commodi; Dolorem fugiat earum enim recusandae , Debitis error ullam"""
