name	username	rating	summary
Ashley Robinson	ashley_robinson_8197	61.0	"""At human: Involve Mr actually single	 Mrs drug focus"""
o	craig_harris_3165	63.0	"""(Fire today imagine) 	 Age economy realize certainly stuff another and Single agent"""
Geoffrey Mccullough	geoffrey_mccullough_1491	43.0	"""Situation bag	 Body certainly apply note general Will society picture continue suggest house high"""
Joanna Clark	joanna_clark_8008	90.0	"""(Memory general special teacher) 	 Picture majority allow and Bar paper argue"""
Lisa Carpenter	lisa_carpenter_3592	90.0	"""Note: Church just	 then Federal side"""
Julie Thompson	julie_thompson_3753	31.0	"""Recently mission; Performance ten 	 Ten throughout art"""
James Hill	james_hill_6051	91.0	"""Understand; Spend Mrs 	 Human"""
Julia Walker	julia_walker_8510	70.0	"""Note: Black	 then Gas sister of key"""
Alexis Thompson	alexis_thompson_8478	40.0	"""Appear call able especially nothing executive difference; Spend 	 Stop ever claim"""
Ricardo Coleman	ricardo_coleman_2543	75.0	"""Note: Hotel lawyer	 then I however"""
Amanda Greene	amanda_greene_9967	61.0	"""(Blood on run military) 	 Word ten spring and Until serious little town"""
Vincent Brown	vincent_brown_2466	56.0	"""Team	 Commercial sit Recent paper enter"""
Taylor Floyd	taylor_floyd_3221		"""Low article	 Building thus ago Effort art travel standard thank"""
Jennifer Webb	jennifer_webb_2509	75.0	"""Note: Sound finally	 then Rather it kid eat bit bed"""
Sonya Miles	sonya_miles_4581	80.0	"""Deep Congress never song report: Business other describe no	 White example my"""
Amanda Hendricks	amanda_hendricks_7976	44.0	"""Scene window paper; Carry politics network which 	 Here"""
Carl Lutz	carl_lutz_8841	39.0	"""Purpose everything cup; Important every 	 Receive growth keep"""
Justin Powell	justin_powell_8045	95.0	"""Thus now young; Once recognize eye 	 Interest buy organization"""
Kerri Duran	kerri_duran_1215	84.0	"""Strategy every sing: Thousand close	 Maintain whatever"""
Tina Hawkins	tina_hawkins_5703	29.0	"""(Everyone eight) 	 Maybe parent itself south happen and Technology never question"""
Michael Wright	michael_wright_0446	14.0	"""(Toward themselves seat seat) 	 Process while their get and Ball history unit quickly although"""
Lisa Long	lisa_long_3686	27.0	"""Way option paper; Resource huge 	 That stand"""
Joseph Little	joseph_little_4559	16.0	"""Know nothing	 Hear with Image religious big evening"""
Courtney Richards	courtney_richards_6657	9.0	"""Note: Key	 then Soldier onto"""
Bobby Lowery	bobby_lowery_3771	92.0	"""(Tv even) 	 Right without and Fish feel"""
Lisa Farrell	lisa_farrell_5663	32.0	"""Note: Election race floor	 then Production speech community wonder million"""
Sean Bush	sean_bush_1663	88.0	"""Note: Term if upon run	 then Own them which"""
