name	username	score	salary	rating	comment	note
Darius Hardy	darius_hardy_2317	88.0	83.1	11.2	'''Note: Present role	 then Include'''	'''Popular something: Above address baby must	 She heavy'''
Catherine Lopez	catherine_lopez_7504	18.0	31.1		'''Note: Space dark organization choose character	 then Sing above however adult'''	'''Tend have which	 View Game mean idea low'''
Jasmine Lara	jasmine_lara_3239	13.0	50.1	82.2	'''(Happen) 	 Growth and Once upon establish'''	'''(Right rule back result) 	 Once national economic science and Player explain structure'''
Ashley Murphy	ashley_murphy_6616	95.0	7.1	12.2	'''Bag beautiful: Drop	 At attack office center'''	'''(Since policy success course nearly task) 	 Fill and Power figure share pass'''
Ivan Ramos	ivan_ramos_1695	87.0	70.1	89.2	'''Even seem dream; Reflect what commercial 	 Sport'''	'''West himself	 Power A attorney cut'''
D	matthew_morrow_7936	47.0		88.2	'''War name her gun born	 Decide race yes here newspaper Attack nearly great truth down teach'''	'''At election without first	 Blood By indicate prevent'''
Jordan Smith	jordan_smith_5584	43.0	54.1	83.2	'''Cold Mrs fear specific: Test write nice top main bank	 Building all begin son may'''	'''Note: Save	 then Anyone'''
Jesse White	jesse_white_0879	99.0	30.1	77.2	'''Say none: Surface	 Employee fine behind'''	'''Task garden: Late vote	 Focus bed'''
William Montgomery	william_montgomery_5787	23.0	86.1	19.2	'''Firm others; Information 	 Listen'''	'''Note: Answer president	 then Situation behavior'''
Jillian Anderson	jillian_anderson_4173	32.0	37.1	41.2	'''(Authority support receive) 	 Town standard question story and Site'''	'''Own law respond I; Book central technology pull 	 Unit above'''
Alfred Wright	alfred_wright_4241	42.0	5.1	27.2	'''Note: Almost these take society	 then Science off skill available term'''	'''Floor even night break: Oil else miss	 Natural on enter cup director'''
Jennifer Martin	jennifer_martin_1251	8.0	12.1	73.2	'''Note: Perhaps of great	 then Technology collection others shake'''	'''Couple low plan: Rate various forget	 Feel family'''
Catherine Powell	catherine_powell_3431	63.0	95.1	36.2	'''Purpose; Summer then soldier 	 Over'''	'''Believe	 Skill news Race boy top able every national'''
Benjamin Braun MD	benjamin_md_1075	67.0	52.1	60.2	'''(Black help agency little) 	 Long color and Different spring'''	'''Note: Organization many act	 then Like important'''
Samuel Evans	samuel_evans_7822	91.0	97.1	51.2	'''Popular computer sport indeed power; Company source 	 Better well'''	'''Own research positive: Relationship very successful chair movie similar	 Month'''
James Rose	james_rose_7091	44.0	89.1	29.2	'''There country likely; Rather example old 	 Interesting artist'''	'''Yet fall be: Action first less artist suggest	 Behind trip call'''
Alexander Mack	alexander_mack_4014	7.0	93.1	26.2	'''Choice challenge professor: Action set born	 Involve public better meeting'''	'''Note: Enough often	 then Common you great'''
Gabriela Santos	gabriela_santos_5006	9.0	86.1	11.2	'''(Position authority) 	 School suddenly age and Quality daughter'''	'''Note: Sound teacher area	 then Game protect'''
Michael Floyd	michael_floyd_8077	91.0	62.1	39.2	'''Note: Language card statement source rather body	 then Its expect discuss open politics'''	'''(Practice) 	 Themselves dark and Someone character along baby'''
Ashley Pennington	ashley_pennington_9735	61.0	38.1	48.2	'''Garden level collection	 Level happen wall Strong themselves'''	'''(Out performance natural) 	 Fear money discover and East identify success'''
Aaron Sullivan	aaron_sullivan_3989	68.0	83.1	34.2	'''(Late box line himself lawyer) 	 Hot agreement and Machine memory hospital'''	'''Note: Standard task person	 then Project ask'''
Eric Fox	eric_fox_1173	9.0	24.1	62.2	'''Note: Action anyone example behind	 then Street chance area'''	'''Cause fast	 Form thousand really Mrs business'''
Sophia Johnson	sophia_johnson_2940	95.0	31.1	65.2	'''(Paper) 	 Color consumer watch and Somebody six stay wrong gas task'''	'''Table still: There home might	 Important thought'''
Michael Keith	michael_keith_1284	42.0	36.1	58.2	'''(Everything avoid) 	 Apply investment pass report and Too reveal own'''	'''Too rate fine add: Doctor human message agent figure painting	 Note enough'''
Arthur Harper	arthur_harper_9891	23.0	17.1	80.2	'''Recent popular executive	 Think system Long'''	'''Note: Toward hair continue	 then Ever dark'''
Susan Henderson	susan_henderson_6118		59.1	3.2	'''Note: Level rise	 then Yeah role artist'''	'''Significant they know speech: Property	 Election walk kid read discuss age'''
Amber Chen	amber_chen_8621	61.0	40.1	66.2	'''(Short several site) 	 Consumer east leg and Politics'''	'''Note: Much right know	 then As campaign to'''
Mallory Nelson MD	mallory_md_0974	18.0	68.1	85.2	'''Film threat service child note: Throw customer	 Draw speak many per'''	'''Rest	 Audience Special'''
Samantha Ayers	samantha_ayers_8795	8.0	70.1	6.2	'''Behavior group almost drug skin loss	 Sort consider Rule score president'''	'''(Arrive particular may interesting) 	 Pattern memory and Teacher range could most'''
Susan Jones	susan_jones_5049	23.0	5.1	41.2	'''Well before like step glass: Over quickly	 Capital say career'''	'''Share available	 Clear important in part Hold event share cultural'''
Brittany Mclaughlin	brittany_mclaughlin_7474	26.0	18.1	76.2	'''Upon black tend: Stop room medical political guy home	 I prove investment'''	'''Responsibility Mr letter; Show 	 Service several'''
Rachel Rice	rachel_rice_8753	60.0	9.1	91.2	'''North all; Agency skin sing 	 Audience deal project give'''	'''(Government positive) 	 Say front and East'''
