name,username,salary,description
Daniel Jones,daniel_jones_5845,37.0,"""Young white system partner figure company: Soon the, Attention institution growth listen"""
Timothy Edwards,timothy_edwards_9990,46.0,"""Director people like Democrat until; Why color hand likely , Message side"""
Nicole Stevenson,nicole_stevenson_7263,21.0,"""Note: Name, then Face than between edge"""
Christina Paul,christina_paul_6667,91.0,"""Answer thought; By month , Mother city lead own"""
Christina Gomez,christina_gomez_6536,29.0,"""Note: Down key later between, then Sound Republican"""
Lucas Graham,lucas_graham_2072,71.0,"""Suggest avoid together: Gas current population notice low state, Price company"""
Jacob Powell,jacob_powell_6058,50.0,"""(Number school chair) , From information character and Lay could"""
Scott Perkins,scott_perkins_8084,53.0,"""Carry painting knowledge artist, Act bed indeed effort Discover"""
Gary Ramirez,gary_ramirez_0417,7.0,"""Site class; Major book , Long"""
Travis Mcdaniel,travis_mcdaniel_8670,94.0,"""Free pick question left career second; Single community , Positive position try loss else"""
Vanessa Nichols,vanessa_nichols_8631,60.0,"""Note: Along house, then Good"""
James Green,james_green_3486,22.0,"""Rest administration; Nice go into stock then dog , Improve section center"""
Kimberly Braun,kimberly_braun_5214,31.0,"""North PM: Serious drug along grow, Someone"""
Carla Graham,carla_graham_5401,91.0,"""Realize admit list suggest leave lot; Democrat whom although can , Four scene"""
Lee May,lee_may_9824,71.0,"""Note: Staff with describe stock, then Morning list outside"""
Steven Smith,steven_smith_6132,44.0,"""(Star father billion southern news) , Form parent bad and Service reveal"""
Ronald Coleman,ronald_coleman_4401,33.0,"""Heart never evening; Keep fall side realize , Nation professional station say"""
James Brown,james_brown_4650,52.0,"""Recognize each range writer worker: Professional everyone expert professional local, Majority share"""
Erin Morrow,erin_morrow_2296,54.0,"""Long heavy tell; Bring herself , One service recognize increase"""
Kari Rodriguez,kari_rodriguez_9431,28.0,"""(In eye join) , Clear choose pass media and Well"""
Amy Marshall,amy_marshall_0392,44.0,"""Season leader; Camera role its series night , Knowledge"""
Daniel Gutierrez,daniel_gutierrez_8954,54.0,"""Off, Own health to Republican Wall word"""
Christine Davila,christine_davila_8123,92.0,"""Tax animal; Laugh maybe , Ok good respond"""
Debra Blair,debra_blair_3209,34.0,"""Note: Human gun, then Never list product expert major"""
x,charles_cisneros_3886,83.0,"""Deal first: Prevent eat list, Area generation member business air continue"""
Mark Chavez,mark_chavez_2709,64.0,"""Arm task: Keep free me, Front return deep field factor"""
Megan Preston,megan_preston_8366,,"""Note: They sure, then Number fall"""
Matthew Johnson,matthew_johnson_8506,22.0,"""Find security huge bit: Six different, Item doctor return"""
Samuel Thompson,samuel_thompson_3906,31.0,"""(Environmental) , Allow sound and Crime present"""
Phyllis Dudley,phyllis_dudley_2695,85.0,"""Such production; Level issue , Girl administration"""
Daniel Gates,daniel_gates_8013,8.0,"""Tv range: Night, Scientist deep religious"""
Sara Rodgers,sara_rodgers_4287,9.0,"""Word leg at: Before, Read way pretty fact building"""
Allen Mann,allen_mann_6193,64.0,"""Early: Space establish huge store, Focus"""
Jill Waller,jill_waller_8949,75.0,"""Discussion get, National travel other raise example Trouble white whom kid join with"""
Curtis Thomas,curtis_thomas_9017,4.0,"""Control investment matter foot throw: Well nature, Occur many his"""
Samantha Bryant,samantha_bryant_2418,2.0,"""Note: Appear movie, then Modern reduce send save"""
Andrea Walker,andrea_walker_8577,73.0,"""(Star stuff condition recent) , Well cultural pretty century control to and Up source wait thousand will"""
Renee Smith,renee_smith_2311,53.0,"""(Inside deep way) , Whom same effort century and Yourself small television effect hospital modern bank"""
Jasmine Love,jasmine_love_5437,56.0,"""(Art) , Security Republican play and Drug practice yard again movie"""
Valerie Hinton,valerie_hinton_2697,77.0,"""Stuff save walk production radio, Area memory community term one Serious so"""
Thomas Moore,thomas_moore_7549,42.0,"""Performance impact food: Artist they, Final"""
Samantha Turner,samantha_turner_5073,63.0,"""(Still read) , Never strong role me into party and Type drop eat"""
Laurie Sanchez,laurie_sanchez_8119,34.0,"""Note, Various number power Network attack"""
Patricia Yates,patricia_yates_6863,2.0,"""(Once) , Share sign and Others that couple president of idea"""
