# This is a comment line to skip
username;name;rating;salary;remark
kevin_torres_7522;Kevin Torres;77.0;36.1;'''Career standard hundred condition: Democratic surface; Television subject to father'''
michael_richards_5207;Michael Richards;44.0;91.1;'''Play son series teacher film Republican; Parent expert certain Church service actually'''
kelly_stewart_9103;Kelly Stewart;87.0;72.1;'''(Bring stuff) ; Half write and War recognize director among level'''
mario_sawyer_2753;Mario Sawyer;70.0;64.1;'''Allow section summer; Either major Suddenly'''
lisa_gonzales_0870;Lisa Gonzales;40.0;6.1;'''(Rise ground adult) ; State prove and Upon size'''
taylor_kim_8118;Taylor Kim;29.0;21.1;'''Require: Rest place themselves; Page there doctor personal'''
amanda_pena_9005;Amanda Pena;46.0;37.1;'''Plant other half; Ahead customer ; Air member certain'''
rebecca_jones_2072;Rebecca Jones;54.0;27.1;'''(Audience) ; Wall over subject vote and Forget age response hear'''
michael_byrd_0306;Michael Byrd;51.0;44.1;'''(Raise lose entire public financial war) ; Civil past already discover and Research sort'''
cynthia_mcdonald_3865;Cynthia Mcdonald;98.0;10.1;'''Head better power; Together Worry relationship parent the'''
benjamin_peck_6312;Benjamin Peck;79.0;51.1;'''(Fire game) ; Under life five and Quite different much'''
william_rodriguez_7931;William Rodriguez;26.0;31.1;'''(Practice film once small) ; Too wide and Difficult everything'''
joshua_benson_1982;Joshua Benson;71.0;90.1;'''Boy family; Tonight now Item election foot with'''
tiffany_wright_7619;Tiffany Wright;100.0;;'''Must day; Away apply central ; Laugh fear compare drug'''
jill_nguyen_5590;Jill Nguyen;70.0;80.1;'''American; Bill ; Entire may game'''
barbara_powell_5925;Barbara Powell;;38.1;'''Note: Give wrong; then Market role research traditional become require'''
erik_reynolds_6564;Erik Reynolds;50.0;99.1;'''Budget man; Person Whatever eat character way'''
richard_wilkerson_7881;Richard Wilkerson;5.0;97.1;'''(Bank week ten now around) ; Believe none fall and His national like'''
cameron_spears_9054;Cameron Spears;99.0;78.1;'''His list cell put; Now others Realize live similar weight'''
susan_quinn_8044;Susan Quinn;82.0;74.1;'''Account common fall unit consider character; Face play skill Plant describe'''
tyler_green_5253;Tyler Green;65.0;29.1;'''(Risk call into) ; View and Try no'''
linda_mcpherson_1839;Linda Mcpherson;38.0;80.1;'''Less leg increase who often; Take beyond increase Scientist boy'''
kimberly_fernandez_2379;Kimberly Fernandez;94.0;91.1;'''Note: Morning all blue former; then Unit weight free end night back exist'''
chase_brewer_0373;Chase Brewer;10.0;13.1;'''Reality coach item; Including my receive Whose bring recent million building feeling'''
jessica_hoffman_8328;Jessica Hoffman;59.0;11.1;'''Hear own trip sound; Star may ; Manage'''
jordan_pierce_3120;Jordan Pierce;98.0;46.1;'''Mrs source seven: Month seek; Common your involve several'''
frank_sanders_6080;Frank Sanders;89.0;66.1;'''Low: Blood threat board bill; Level level we'''
james_ortiz_1824;James Ortiz;98.0;62.1;'''Note: Move woman; then Before anything'''
thomas_crawford_6608;Thomas Crawford;63.0;98.1;'''Note: Meet popular third; then Pm part'''
brandon_md_8476;Brandon James MD;85.0;83.1;'''Note: First religious; then Foot decide or certainly heavy'''
michael_chan_6955;Michael Chan;95.0;5.1;'''Hospital before; Push now marriage hour Film reduce'''
melissa_thompson_8110;Melissa Thompson;60.0;89.1;'''Note: Born; then Her international forget test'''
cindy_franco_9178;Cindy Franco;1.0;71.1;'''Eight assume; Building together heavy action loss Though final check'''
zachary_johnson_6410;Zachary Johnson;42.0;69.1;'''Note: Leader although because area; then Something walk under about account bit'''
brandon_lowe_2453;Brandon Lowe;17.0;90.1;'''(Camera miss born commercial) ; Minute along these why audience and Smile simply writer'''
sharon_barrett_3842;Sharon Barrett;4.0;71.1;'''Large: Race; Appear'''
tonya_kelly_8021;Tonya Kelly;55.0;95.1;'''(Live society involve) ; More miss and Interesting better music character'''
kelly_gonzales_3060;Kelly Gonzales;38.0;98.1;'''Occur agency name their; Under too Employee economic bar baby tell evidence'''
michaela_vazquez_0884;Michaela Vazquez;8.0;82.1;'''(Be) ; Understand they and Around capital'''
donald_curry_7965;Donald Curry;30.0;36.1;'''Better wife bank: Least five treatment during early without; Sing friend challenge seat'''
mark_stout_3523;D;93.0;90.1;'''Soldier born also president; Music ; Affect forget middle key before'''
jeffrey_kemp_7383;Jeffrey Kemp;26.0;79.1;'''Close star east; Professional medical employee Skin her exist appear before'''
thomas_davidson_3361;Thomas Davidson;82.0;93.1;'''Note: High national likely; then Push through event range'''
