name,username,salary,rating,score,note
Kyle Harris,kyle_harris_6861,62.0,4.1,,"""(Side part easy go) , Dark leg and Instead doctor"""
Angela Mcneil,angela_mcneil_6713,11.0,10.1,99.2,"""Born: Meeting sometimes agreement serious federal from, Marriage light agent nature"""
Kristin Scott,kristin_scott_7436,60.0,86.1,67.2,"""Yeah billion material evidence: Data determine, New question human"""
Peter Mccarthy,peter_mccarthy_1487,5.0,46.1,65.2,"""Note: Scientist stage, then Bar career part collection marriage"""
William Welch,william_welch_4460,29.0,92.1,20.2,"""Factor: Power there thank, The somebody federal security"""
Lisa Collins,lisa_collins_2454,74.0,83.1,59.2,"""Note: Win maintain, then Their surface treatment create"""
Lindsey Cohen,lindsey_cohen_6653,31.0,44.1,20.2,"""Me question such; Wind lead wait plant , Everything ask"""
Nicole Moore,nicole_moore_6240,35.0,,94.2,"""Note: Letter, then Politics bar over"""
Mark Miller,mark_miller_4430,60.0,49.1,23.2,"""Material positive begin dream: Animal professional along keep, May purpose"""
Michael Herrera,michael_herrera_4257,66.0,96.1,24.2,"""Bar perhaps home: Near possible might, Painting authority opportunity interesting"""
Lynn Patterson,lynn_patterson_1690,8.0,85.1,23.2,"""Add five station common none; People decade , Several art"""
Yvonne Gregory,yvonne_gregory_2576,99.0,47.1,12.2,"""Note: Determine, then Response still cause"""
o,regina_erickson_2363,30.0,69.1,22.2,"""Note: Thing teacher, then Movie point at miss pattern"""
Patricia Welch,patricia_welch_8256,73.0,86.1,94.2,"""(Start once full) , Party market and Not"""
Kathy Spencer,kathy_spencer_8447,,96.1,63.2,"""(Above central) , Stage knowledge onto and Physical since"""
Craig Bradley,craig_bradley_3784,39.0,54.1,56.2,"""(Sit reality interview) , Democratic once analysis involve and Forward"""
Antonio Ferguson,antonio_ferguson_8270,41.0,12.1,97.2,"""(Hospital anyone animal) , Reason thank security civil and Democrat director"""
Janet Townsend MD,janet_md_9875,48.0,45.1,56.2,"""(Everybody reality executive peace) , Around enough compare remain and Front play very"""
Stephanie Powell,stephanie_powell_0544,94.0,22.1,76.2,"""(Great region ground public hold doctor) , Reflect once and Force amount return east"""
Herbert Cooper,herbert_cooper_5947,90.0,56.1,7.2,"""Benefit behind candidate, Seven strategy think hard Democrat probably power determine interest"""
Claire Marquez,claire_marquez_7935,12.0,31.1,87.2,"""Wall spend, Notice Reflect authority"""
Christina Powell,christina_powell_6388,82.0,69.1,84.2,"""Only wind kind section evidence, Management environmental fact necessary Challenge"""
