# This is a comment line to skip
username;total_count;price;review;comment
callum_newman_4716;25.0;26.1;"""Distinctio molestiae; Deserunt quod sed culpa Nostrum quos""";"""Sed ullam: Id iure debitis non similique; Illum ratione expedita consequuntur"""
rosie_jackson_4089;97.0;30.1;"""Vero iure exercitationem; Consequuntur incidunt Nihil provident beatae aspernatur""";"""Note: Sapiente rem consectetur; then Commodi inventore"""
mrs_taylor_7842;25.0;86.1;"""Voluptates dolorem eligendi minus: Molestiae optio rerum pariatur architecto facilis; Odit inventore fuga""";"""Velit excepturi; Explicabo reiciendis ; Distinctio vero quaerat doloremque quisquam amet"""
mrs_richards_5048;42.0;19.1;"""Quod harum vero: Neque atque; Quod earum""";"""Dicta magni soluta ea; Non asperiores consequuntur error id possimus Nesciunt accusamus blanditiis repellat nostrum accusamus"""
sheila_walters_0458;96.0;57.1;"""(Harum molestiae) ; Consequuntur quod accusamus eligendi and Laboriosam quo""";"""Ipsum delectus: Similique consequatur voluptatem nobis eum iste; Quibusdam optio vero"""
mr_gardiner_9518;92.0;91.1;"""Consequatur unde at; Debitis Dolorem aperiam""";"""Modi rem eius: Tempora pariatur ipsa; Vel ipsum amet"""
mrs_taylor_3584;98.0;1.1;"""Odio: Unde eum repellendus possimus necessitatibus; Asperiores nihil mollitia""";"""(Voluptatem) ; Voluptates omnis libero and Magnam cupiditate"""
dr_lloyd_7089;85.0;64.1;"""(Non doloremque quod) ; Ducimus aut harum et and Sunt""";"""Note: Exercitationem dicta; then Quasi odio"""
kirsty_king_5463;39.0;85.1;"""Impedit minus ipsum; Impedit ; Deserunt illum""";"""Quas odio nesciunt debitis dolorum; Ut optio velit suscipit Hic rerum"""
kimberley_bailey_9819;71.0;18.1;"""Quas fuga repellendus: Est fugiat impedit placeat a; In""";"""Eveniet provident enim; Dignissimos odio Libero quis"""
jean_thomas_4041;54.0;47.1;"""Ipsa sit placeat; Quia assumenda illum Vero officiis""";"""Architecto neque voluptates: Laboriosam vitae provident molestiae; Cumque consequuntur laboriosam"""
kevin_jones_2091;74.0;27.1;"""Incidunt officiis non distinctio: Quam voluptate; Error dolor""";"""Note: Ea soluta ratione cupiditate alias at; then Consequuntur omnis dignissimos"""
jayne_graham_5903;;;"""(Error) ; Dolorem quas and Recusandae architecto""";"""Vitae quas nemo corrupti; Modi incidunt ; Recusandae doloremque exercitationem"""
sally_reid_5345;3.0;39.1;"""Aut modi; Placeat reiciendis ; Expedita consectetur ad minima""";"""(Quo quas laudantium) ; Eveniet and Dolore libero ipsum"""
declan_conway_7726;55.0;10.1;"""Vero rerum qui cupiditate; Accusantium earum enim ; Deleniti consequuntur velit totam saepe""";"""(Molestias quis) ; Nisi ipsam enim ipsam vel and Explicabo repudiandae recusandae occaecati"""
stuart_richards_3543;36.0;29.1;"""Beatae quaerat aliquam: Quis; Officia""";"""Note: Porro; then Ullam fugit iste veniam"""
kerry_ford_0070;72.0;79.1;"""Repellat quasi rerum exercitationem; Culpa atque temporibus natus expedita Quam facere hic aut""";"""Ullam pariatur veritatis: Deleniti ad; Dolores aut perspiciatis"""
