# This is a comment line to skip
name;score;remark
Austin Wood DVM;79.0;"""Risk whatever; Statement majority spring ; Knowledge in"""
Justin Holder;1.0;"""Explain: Particularly against sell; Professional"""
Jose Mcfarland;95.0;"""Fact recognize past serve: List; To national certain speech and"""
Brian Thomas;57.0;"""Soldier grow sea especially; Nearly sure each expect Still safe help despite"""
Erica Johnson;26.0;"""Past certain left; Forget thousand or newspaper wear Break every face"""
Karen Gonzales;22.0;"""Note: Building; then Walk road eight"""
Jennifer White;61.0;"""Note: Notice whether address bring; then Including behind tough wide"""
Bianca Weaver;45.0;"""Site begin I current; During network ; Traditional Congress at"""
James Maldonado;62.0;"""Spring catch our day; Knowledge information agreement physical Good vote example care compare not"""
Bryan Conway;25.0;"""Note: Each agreement; then System truth and"""
Seth Cross;41.0;"""Theory lot floor tonight; Debate mean this step trouble ; Live purpose arm"""
Sandra Robinson;;"""Reflect Republican; How Walk difference attention"""
 ;95.0;"""Industry each house; Property establish bill manage Ten continue many"""
Eric Wilkerson;96.0;"""Challenge pull; Present Fast voice class plant cold work"""
Daniel Miller;73.0;"""Note: Customer safe along buy foot so; then Then other upon"""
James Cox;76.0;"""Resource very: Car girl relate; Including artist true"""
Kimberly Richardson;83.0;"""Note: Us nice; then That create"""
Tracy Sampson DVM;77.0;"""Late source; Fear Media around somebody"""
Barbara Brown;32.0;"""(Green) ; Score and Citizen simply ask know"""
Philip Brown;10.0;"""Economic; Resource sound ; Seven"""
Lauren Anderson;90.0;"""(Three realize customer) ; Seven hospital and Themselves"""
Jordan Howell;73.0;"""Consider; Community ; Family hour region"""
Rachel Meyers;72.0;"""Game ever; Follow participant product challenge inside feeling Lose eye change trouble site series"""
Michele Collins;14.0;"""(Property never course relate) ; Letter movement community push and International"""
Crystal Bailey;74.0;"""Tonight instead recent; How government say ; Use form life happen address let"""
