username;name;total_count;age;score;note
dr_winter_9541;Dr Nigel Winter;58.0;10.1;31.2;'''Voluptate enim: Incidunt animi placeat fugit; Aliquid quo adipisci voluptatum'''
dr_vincent_7178;Dr Keith Vincent;90.0;98.1;97.2;'''Dolore; Ad harum delectus necessitatibus Provident ducimus placeat'''
jacob_powell_8531;Jacob Powell;34.0;81.1;86.2;'''Ad: Hic impedit ipsam; Atque architecto dolore vitae'''
miss_welch_4432;Miss Tracey Welch;43.0;77.1;34.2;'''(Minus delectus) ; Ea and Laudantium repellendus ipsa tempora'''
emily_nicholson_0900;Emily Nicholson;76.0;84.1;;'''Atque excepturi; Iste Porro atque'''
julie_moran_9327;Julie Moran;69.0;50.1;55.2;'''Molestias mollitia ex inventore: Aut error labore; Doloremque'''
dorothy_schofield_8991;Dorothy Schofield;3.0;94.1;35.2;'''Praesentium provident facilis: Quidem aspernatur minus quod vero; Quam possimus'''
miss_brown_0815;Miss Mary Brown;46.0;14.1;16.2;'''(Sit adipisci aut) ; Vitae mollitia iste sit iure consequuntur and Expedita ipsam'''
mr_gibson_1290;Mr Andrew Gibson;15.0;3.1;84.2;'''(Quaerat esse necessitatibus quas pariatur) ; Ad voluptas quibusdam and Id quidem'''
michael_wood_1207;Michael Wood;4.0;89.1;91.2;'''Eos voluptatum: Dolorum inventore; Numquam'''
darren_wilson_0877;Darren Wilson;45.0;15.1;1.2;'''Facere: Fuga necessitatibus; Animi laboriosam quisquam illo voluptas'''
mr_robinson_4032;Mr Colin Robinson;98.0;75.1;79.2;'''Modi accusantium: Debitis blanditiis vero; Sapiente impedit'''
dr_harding_5681;Dr Adrian Harding;93.0;50.1;56.2;'''Ipsum: Incidunt dolore; Qui odit sapiente doloribus'''
vincent_wright_2795;Vincent Wright;31.0;53.1;36.2;'''Illo; Voluptate quis quasi quas ; Iusto error quibusdam quos illo et'''
dr_begum_0172;Dr Cheryl Begum;;56.1;38.2;'''(Deleniti libero occaecati quae) ; Sunt illum quis laboriosam and Sed reiciendis'''
miss_hill_2557;Miss Diana Hill;97.0;16.1;69.2;'''(Dolor at) ; Vel quaerat expedita and Impedit similique'''
hayley_hughes_5888;D;27.0;23.1;98.2;'''Inventore nesciunt tempore; Corrupti fugiat harum vero earum ; Veniam'''
dr_edwards_1679;Dr Nicole Edwards;19.0;;45.2;'''Impedit vero inventore aut: Commodi rem deserunt magnam at; At numquam'''
sara_harvey_0414;Sara Harvey;20.0;18.1;15.2;'''Note: Assumenda; then Omnis dolorem cumque'''
mr_mason_7506;Mr Timothy Mason;99.0;81.1;24.2;'''(Voluptate nam quas) ; Fugiat and Unde quos ab'''
harry_young_1077;Harry Young;20.0;94.1;32.2;'''Voluptatem illo maxime; Iste unde maxime Voluptates porro'''
dr_todd_0254;Dr Dennis Todd;7.0;31.1;60.2;'''Note: Est odio; then Ullam natus'''
kelly_james_9732;Kelly James;93.0;18.1;30.2;'''Nobis recusandae: Officiis neque mollitia; Pariatur tempora'''
samuel_fox_6772;Samuel Fox;82.0;90.1;53.2;'''Note: Ipsam; then Officiis reprehenderit'''
mr_cox_6244;Mr Connor Cox;22.0;91.1;5.2;'''At ex quam quibusdam; Ad facere ; Ut magni quod nemo illum'''
georgina_butler_4233;Georgina Butler;84.0;88.1;47.2;'''Note: Similique animi dolore distinctio; then Aperiam dignissimos'''
mandy_smith_3147;Mandy Smith;40.0;29.1;86.2;'''(Ut corrupti rem) ; Vero illum nostrum excepturi blanditiis and Animi'''
