username	salary	summary
theresa_york_9845	23.0	'''Common	 Test his Security between'''
michael_freeman_5736	31.0	'''(Ground unit whom apply according) 	 Each affect one never and Full above'''
stacy_powell_5851	44.0	'''Opportunity relate soldier bill along speech: Push security game social	 Power'''
susan_phd_8064	23.0	'''(Month) 	 First major report and Drive public southern'''
paul_holmes_3994	31.0	'''Note: Land sure	 then Consumer clearly ground why'''
jon_carpenter_9070	1.0	'''Appear court game decide: Middle environmental	 Manage view picture'''
randy_santiago_8087	57.0	'''(Couple onto) 	 Movement most beautiful sometimes and Forward debate'''
benjamin_bentley_1507	27.0	'''Friend nature again	 Pay Option Mr country police'''
emma_kelly_3772	4.0	'''Item lay; Watch true 	 Wind property its free'''
robin_beasley_6999	44.0	'''Himself admit which; Office war upon past 	 Force'''
robert_barnett_8985		'''(Six reality) 	 Choose example help everybody and Site hundred that way'''
barbara_mathews_1115	21.0	'''Animal	 Cut pressure Line result mind'''
brett_ramos_6093	55.0	'''(Evening offer prove beyond market such) 	 Admit commercial fire and Far consider challenge shoulder'''
nicholas_garcia_5489	24.0	'''Time	 You Almost class'''
michael_fisher_0500	10.0	'''Floor because step mention necessary	 Discuss report yeah Speech prove part piece everyone'''
linda_brown_7585	1.0	'''Note: Other	 then Pattern quickly'''
william_taylor_3198	55.0	'''Tree western value certainly: Relate always factor	 Order term teacher'''
terry_franco_0669	90.0	'''(Five nor yeah role develop) 	 Ten parent listen and Cut'''
jared_thompson_1139	39.0	'''Race heavy most American exactly: Yard president	 Argue'''
madison_haas_3737	37.0	'''After week: Stop learn recently shake mouth	 Father involve'''
elizabeth_marquez_1991	22.0	'''Painting charge interesting course	 Enjoy many Low board'''
mr_lloyd_3246	76.0	'''Production now fall adult: Option south	 Dog field'''
amy_campbell_6625	79.0	'''Leave ability charge entire: Certain leg exist	 East'''
jeffery_ray_9398	18.0	'''(Point) 	 Stop suddenly population minute and Though law case special'''
cynthia_cooper_1265	39.0	'''Window kid us low; School front 	 Song add law'''
mrs_cochran_3746	98.0	'''Exactly face allow ability; Hope good over lot 	 Wind final see'''
alexis_jackson_2576	43.0	'''Drop	 Police Ask writer assume mean especially its'''
thomas_kim_8272	89.0	'''Note: Speak large reflect	 then Since employee'''
kristen_sandoval_9292	98.0	'''Well south; Shake son 	 Money too need another girl'''
jeffrey_robinson_6143	67.0	'''Agency stand	 Available future amount Order carry'''
sara_sanchez_7486	74.0	'''Fill	 Reach bill enter measure some southern Care'''
michael_ward_3871	53.0	'''Piece provide owner three various; Community space right base 	 Read market they'''
april_miranda_1078	96.0	'''Note: Memory	 then See fine piece those section evidence'''
michael_sanchez_3127	87.0	'''Life condition determine conference cause; Bar kid light large 	 Begin'''
kimberly_evans_9195	57.0	'''Magazine role; Job generation type day audience store 	 Anything stop'''
