# This is a comment line to skip
username	name	score	review
jonathan_nelson_0996	Jonathan Nelson	50.0	"""Ahead reveal; Seven 	 Area possible suddenly individual"""
hannah_hall_0589	Hannah Hall	49.0	"""Second place spend; Evening visit consider 	 Citizen talk trip sell"""
shawn_chen_9753	Shawn Chen	65.0	"""Candidate; Door performance chair next 	 International outside"""
angela_hopkins_0611	Angela Hopkins	98.0	"""Note: Use tell who	 then Once its quickly test"""
peter_hays_8004	Peter Hays	63.0	"""Note: More candidate	 then Continue"""
daniel_andrade_6233	Daniel Andrade	71.0	"""(Never) 	 Responsibility and Likely writer collection"""
travis_hughes_7768	Travis Hughes	43.0	"""Structure describe player call; Others necessary poor 	 Back three"""
carly_young_3918	Carly Young	36.0	"""Brother apply radio practice professional food	 Reality pretty hundred different fast standard Various conference"""
patrick_jimenez_3715	Patrick Jimenez	44.0	"""Note: Purpose game	 then Floor first"""
brian_hughes_8862	A	52.0	"""(Tv day east) 	 View and Thousand exactly later may account"""
barbara_scott_9804	Barbara Scott	88.0	"""Note: Own after difficult letter role along	 then Wonder town light significant"""
nancy_guerrero_7755	Nancy Guerrero		"""Note: Article else	 then Score outside"""
kaitlyn_stevenson_6042	Kaitlyn Stevenson	69.0	"""Note: The	 then Set choose religious general really"""
adam_smith_7267	Adam Smith	48.0	"""Note: Seem plant beyond change attorney	 then Trouble final property"""
karen_warren_1308	Karen Warren	44.0	"""(Visit usually) 	 Left travel establish rate and Drug dinner stuff amount"""
chad_scott_6831	Chad Scott	62.0	"""(Cause else half provide degree since) 	 Gas and Ok by"""
jessica_jones_0992	Jessica Jones	18.0	"""Police sell: Our manager	 Operation girl will while work break"""
reginald_valdez_8102	Reginald Valdez	44.0	"""(Drug) 	 Agree senior race true and Culture play reason"""
henry_johnston_1690	Henry Johnston	11.0	"""Growth; Understand manager issue 	 Unit western impact"""
melissa_sutton_2217	Melissa Sutton	90.0	"""Note: Forward wife whole	 then Whose"""
samantha_jackson_2172	Samantha Jackson	5.0	"""Back improve back artist; Nothing moment once relate next dream 	 Music action"""
chad_perry_6778	Chad Perry	82.0	"""Base; Community push television tonight 	 Heavy deep conference"""
colin_valentine_0572	Colin Valentine	11.0	"""Note: Often actually risk recent student yeah	 then Serious event cup structure"""
john_foster_2811	John Foster	35.0	"""Note: Nation fire price	 then West"""
bradley_moore_6493	Bradley Moore	81.0	"""Onto despite	 Magazine to far tree Without"""
christopher_cook_2537	Christopher Cook	59.0	"""(Fill option) 	 Worry fish and Guess join"""
susan_clements_4955	Susan Clements	81.0	"""Religious: Better human	 Form tend several"""
thomas_daniels_3598	Thomas Daniels	67.0	"""Officer office rich major on; According speak 	 Gas form friend"""
gary_johnson_1903	Gary Johnson	9.0	"""Note: About your activity	 then Speak item"""
james_pope_5698	James Pope	67.0	"""Art easy; Before Mr school either dog 	 Possible guess"""
david_barnett_0632	David Barnett	70.0	"""Wonder recognize matter beautiful policy maybe	 Individual defense Development treatment entire to"""
