name	score	age	salary	comment	remark
Sarah Johnston	29.0	43.1	83.2	"""Material; Reason nearly 	 Pm"""	"""Either the foreign choose grow	 Remain response Science feel hard"""
Heather Ibarra	91.0		35.2	"""Art religious cultural take	 Future production language item possible Reason account cup"""	"""Wonder today husband	 Beyond Himself once success"""
o		88.1	13.2	"""Us site; Condition fight 	 On recent candidate issue already"""	"""(I former) 	 A without difficult onto and Tax small beat trip space give"""
Christopher Bautista	17.0	80.1	46.2	"""Assume simply class; Party 	 Per bed his"""	"""Week or understand decade	 Reflect huge throw hundred Development matter career"""
Carol Hurley	36.0	36.1	70.2	"""Try buy although group natural: House question	 Build"""	"""Note: Recognize machine	 then Teacher large offer"""
Kyle Robbins	2.0	86.1	70.2	"""Ground sing; Provide deep sort start through 	 Agency director bar school"""	"""(Hit future huge lose type) 	 Soon stop keep in street store and Save community player point"""
Jessica Collins	17.0	59.1	39.2	"""Appear along whatever various: Seem entire	 Property"""	"""Activity TV available; Parent city reach bar 	 Blue as none"""
Angel Weeks	87.0	81.1	27.2	"""Effort: Stay better agency with wonder	 Cell try pay"""	"""Eye use inside	 Too detail over Knowledge"""
Curtis Thompson	70.0	80.1	78.2	"""Western travel try; Unit case serve 	 Read prove at"""	"""I arrive cup: Name hour	 Section now will hundred"""
Danielle Velazquez	6.0	54.1	57.2	"""Ever character each few budget sometimes	 Any one front by discussion movement Give door"""	"""Arm ground	 Up face Resource different any"""
Sara Williams	71.0	7.1	31.2	"""Note: Rich join medical level	 then Whatever cut two"""	"""Cost maintain	 Question simple action Morning network require"""
Rose Stafford	52.0	47.1	6.2	"""Where so bad; Available increase reach 	 Again myself if"""	"""(Population though) 	 This and Tough"""
Brittany Tran	29.0	76.1	26.2	"""Note: Good civil theory new road upon	 then Matter fall practice leave modern Mr"""	"""Note: Mrs personal cut	 then Executive to result"""
Kayla Gray	11.0	30.1	72.2	"""Woman drop	 Rock could Mrs Medical civil individual speak"""	"""(Figure too agent) 	 Unit participant machine each become and Side"""
Jennifer Alvarez	36.0	87.1	94.2	"""(Without you impact instead) 	 Early development and Bank involve"""	"""Suggest phone: Wrong	 Subject also hospital poor"""
Spencer Cox	7.0	17.1	9.2	"""Garden parent always window natural: Seem rock	 Character prepare response"""	"""Benefit role keep race box country; Stuff 	 Open news degree"""
Kayla Newman	1.0	48.1	48.2	"""(Very explain) 	 Number lay hospital truth and Only card resource sign"""	"""Sound whole: Watch although history up	 Everyone only"""
Michael Pearson	12.0	79.1	16.2	"""(Military quality but finally) 	 Store and Majority the"""	"""Few ground too away: Fall	 Time health"""
