username,name,salary,total_count,rating,description
josh_evans_0355,Josh Evans,38.0,19.1,34.2,"""Note: Odio debitis, then Maxime"""
kayleigh_moss_3634,Kayleigh Moss,97.0,37.1,28.2,"""Note: Suscipit molestiae eveniet, then Veniam sint odit"""
jonathan_blake_1601,Jonathan Taylor-Blake,61.0,86.1,47.2,"""Quod minima iste reiciendis: Alias reiciendis excepturi occaecati assumenda error, Officiis culpa"""
jason_webb_8668,Jason Webb,36.0,8.1,82.2,"""Blanditiis quasi placeat aliquid consequatur; Officiis , Autem deserunt atque"""
jamie_oliver_6863,Jamie Oliver,70.0,96.1,29.2,"""(Perspiciatis voluptatum) , Facere and In quo vel"""
mr_hughes_2751,Mr Nathan Hughes,28.0,46.1,37.2,"""Fugiat accusantium, Nisi ut laborum natus Iure illo mollitia"""
shirley_davies_8022,Shirley Davies,66.0,86.1,91.2,"""Unde incidunt sunt; Provident sunt enim , Consectetur asperiores ullam"""
dr_williams_3783,Dr Samantha Williams,44.0,6.1,29.2,"""Adipisci reiciendis architecto numquam laborum: Deserunt possimus exercitationem, Aliquam"""
nigel_chamberlain_1656,Nigel Chamberlain,82.0,46.1,8.2,"""Eum ut: Praesentium voluptatibus exercitationem, Animi doloribus blanditiis similique dolores"""
denis_baker_4269,Denis Baker,59.0,71.1,30.2,"""Eum aliquam: Rem quod, Numquam"""
owen_james_2496,Owen Wallis-James,8.0,41.1,27.2,"""Maxime molestias quia nulla: Aliquam, Facilis eos qui"""
jeffrey_little_5328,Jeffrey Little,89.0,14.1,4.2,"""Distinctio qui: Tempore ipsa, Quae quasi"""
dr_cooper_9072,Dr Garry Cooper,69.0,81.1,25.2,"""Esse minus cum incidunt est; Fuga fuga id fugit tenetur , Quia quod temporibus pariatur"""
marc_abbott_2091,Marc Abbott,32.0,76.1,55.2,"""Aliquam consequuntur maxime iste architecto quasi; Quia accusamus consequuntur , Nihil"""
hayley_khan_7941,Hayley Thomas-Khan,89.0,70.1,57.2,"""Ducimus atque quibusdam, Voluptatem natus cumque Quidem deserunt consectetur"""
garry_hargreaves_8144,Garry Hargreaves,82.0,58.1,72.2,"""Note: Explicabo magnam nobis, then Vitae iusto tenetur consectetur"""
mr_patel_7189,Mr Sean Patel,27.0,93.1,12.2,"""In sint; Eos tempora , Exercitationem totam"""
gerald_williams_4386,Gerald Williams,33.0,16.1,3.2,"""Note: Dignissimos ad, then Ratione"""
ms_nash_4154,Ms Anne Nash,86.0,30.1,5.2,"""Omnis ullam: Reiciendis ullam, Provident quidem"""
susan_turner_2020,Susan Stevenson-Turner,95.0,34.1,94.2,"""Vero eum a, Optio Velit et harum"""
gerald_macdonald_1008,Gerald Tomlinson-Macdonald,91.0,12.1,100.2,"""Vero ipsum; Ea earum , Animi officia in iste tempora"""
joyce_griffiths_2794,Joyce Griffiths,55.0,52.1,21.2,"""Note: Occaecati libero, then Recusandae iste doloremque"""
sarah_little_3206,Sarah Little,76.0,22.1,100.2,"""Voluptatum repellendus; Nihil odit , Dicta"""
tracy_marsh_5289,Tracy Marsh,69.0,27.1,34.2,"""Expedita corporis atque rerum modi; Impedit , Quibusdam ipsa"""
mr_robertson_8117,Mr Sean Robertson,52.0,5.1,32.2,"""Note: Quisquam optio saepe placeat quas iusto, then Fugiat amet dignissimos dolore hic"""
emma_page_1019,Emma Page,65.0,29.1,24.2,"""Note: Commodi numquam fugit, then Aut"""
rachel_roberts_9269,Rachel Roberts,11.0,88.1,46.2,"""Minus ut libero nobis tempora: Beatae, Quam totam placeat doloremque"""
aaron_reed_5748,Aaron Reed,6.0,45.1,44.2,"""Provident magnam voluptas, Eaque occaecati quam perspiciatis dolorem Vero labore"""
justin_taylor_6973,Justin Taylor,7.0,33.1,50.2,"""Omnis porro maiores, Aspernatur fugit Cum consequuntur voluptate"""
mrs_pearce_9427,Mrs Nicola Pearce,41.0,66.1,82.2,"""Nisi; Iste repellat hic ipsa , Accusamus repellendus dolore minima vero"""
graham_fisher_6635,Graham Fisher,29.0,88.1,22.2,"""Est eum suscipit; Praesentium deserunt , Autem doloremque"""
heather_murray_4456,Heather Murray,47.0,,53.2,"""Quam voluptatum: Repellat sequi, Recusandae vitae ratione"""
ms_green_4307,Ms Kim Green,7.0,28.1,9.2,"""Reiciendis quisquam doloremque ullam dolores: Pariatur accusamus, Eos minima"""
edward_barnett_4508,Edward Barnett,1.0,72.1,15.2,"""(Placeat dolorem quisquam ipsum) , Earum optio vitae and Amet dolorum beatae perferendis hic"""
dr_harrison_2363,Dr Mandy Harrison,34.0,30.1,1.2,"""Voluptatum quam debitis nemo debitis; Quisquam quaerat totam , Ullam officia"""
rosie_sinclair_9307,Rosie Sinclair,27.0,74.1,66.2,"""(Maiores ipsa saepe) , Rem ab molestias labore voluptates and Suscipit unde illum praesentium id itaque"""
beverley_adams_2832,Beverley Adams,75.0,95.1,47.2,"""Sequi nisi: Modi odio ea atque, Mollitia"""
helen_davies_6025,Helen Davies,9.0,96.1,,"""Note: Quaerat deleniti ex, then Beatae"""
mr_collins_5574,Mr Rhys Collins,71.0,15.1,57.2,"""Harum optio sed fuga; Doloribus itaque , Vitae"""
alice_charlton_4039,Alice Charlton,30.0,94.1,98.2,"""Atque aliquid; Vel , Dolorem aut dolorem"""
mrs_wood_5399,Mrs Joan Wood,66.0,93.1,16.2,"""Nobis, Non minus minus Hic tempore et quia veritatis"""
adrian_farrell_7350,Adrian Farrell,85.0,46.1,79.2,"""(Libero possimus) , Voluptas et magnam at and Accusamus esse nobis"""
lorraine_turner_7938,Lorraine Turner,95.0,10.1,48.2,"""Note: Illo accusantium cumque deleniti, then Nam"""
dr_hargreaves_7619,Dr Steven Hargreaves,6.0,10.1,44.2,"""(Itaque unde) , Beatae mollitia and Modi"""
