name;username;price;salary;score;description
Miss Patricia Jones;miss_jones_3334;87.0;99.1;5.2;"""Illo libero; Iste tempore error Dolore"""
Dr Valerie Hunt;dr_hunt_6799;47.0;86.1;27.2;"""Note: Repellat qui; then Est"""
Gregory White;gregory_white_7532;68.0;82.1;69.2;"""Eius aut; Nulla quasi ad dolore Ipsam"""
Kieran Walker;kieran_walker_7870;52.0;26.1;36.2;"""(Adipisci vel debitis) ; Odit aliquam qui perspiciatis and Libero accusamus"""
Miss Valerie Ashton;miss_ashton_8704;13.0;33.1;14.2;"""Note: Rerum pariatur soluta laudantium dicta; then Dolores possimus aspernatur"""
Mandy Bailey;mandy_bailey_5669;52.0;34.1;47.2;"""Velit incidunt; Vel totam nulla Labore maiores"""
Gemma Jones;gemma_jones_1175;51.0;31.1;47.2;"""Note: Possimus error; then Non alias natus exercitationem vero"""
Hazel Daly-Smith;hazel_smith_1379;80.0;74.1;51.2;"""Omnis aliquid; Dolor amet a sunt ; Molestias debitis"""
Iain Robinson;iain_robinson_4619;50.0;52.1;41.2;"""Aspernatur eum: Reiciendis neque reiciendis provident; Dicta assumenda dignissimos"""
Ms Emily Matthews;ms_matthews_7565;51.0;66.1;57.2;"""Note: Quod libero est expedita odio; then Sequi quam ullam"""
Mitchell Ball;mitchell_ball_4695;71.0;;55.2;"""Assumenda itaque fuga; Voluptatem reiciendis blanditiis eius Placeat"""
Judith Johnson;judith_johnson_9895;19.0;61.1;44.2;"""Amet commodi omnis: Perspiciatis itaque; Consectetur"""
Denise Mason;denise_mason_7109;57.0;69.1;59.2;"""Note: Aut recusandae quaerat; then Porro laborum porro expedita recusandae neque"""
Ms Olivia Brown;ms_brown_0577;16.0;98.1;36.2;"""Atque assumenda sint; Cum molestiae quis magni Excepturi saepe beatae"""
Dr Raymond Saunders;dr_saunders_6114;58.0;34.1;29.2;"""Note: Consequatur sint labore sapiente distinctio; then Labore officiis nostrum"""
Jonathan Lawrence;jonathan_lawrence_4440;38.0;6.1;93.2;"""Iure atque quo corrupti: Provident debitis; Quod saepe aliquid porro ad"""
Mrs Victoria Wilson;mrs_wilson_7526;63.0;24.1;51.2;"""Distinctio itaque: Hic; Id expedita adipisci deleniti similique quaerat"""
Dr Terry George;dr_george_7722;74.0;89.1;21.2;"""Dolore; Blanditiis necessitatibus nisi ; Cumque repudiandae natus dolorum"""
Tina Fuller;tina_fuller_8629;72.0;43.1;72.2;"""(Officia atque) ; Ex dignissimos and Est"""
Naomi Kaur-Power;naomi_power_7995;54.0;71.1;51.2;"""Note: Expedita dolorem; then Perspiciatis amet"""
Cheryl Miller;cheryl_miller_1501;54.0;42.1;17.2;"""Nihil perspiciatis: Ipsum; Sequi assumenda delectus"""
Brian Khan;brian_khan_8939;;79.1;59.2;"""Modi maiores ratione; Recusandae porro non molestias numquam Aliquam eveniet pariatur maxime"""
Dr Cheryl Rees;dr_rees_7116;86.0;54.1;83.2;"""Tenetur; Praesentium vel Earum molestiae"""
Bethany Carroll;bethany_carroll_3332;39.0;82.1;68.2;"""Totam: Voluptatem tempore; Sunt cumque quas"""
Jonathan Graham;jonathan_graham_7124;27.0;44.1;24.2;"""(Cum dolores) ; Ipsam officia excepturi and Nobis quas suscipit dolorem odit"""
Declan Nicholls;declan_nicholls_2330;40.0;23.1;46.2;"""(Doloremque sequi mollitia beatae similique veniam) ; Ratione sunt and Distinctio hic in qui"""
Gemma Payne;gemma_payne_9333;33.0;40.1;27.2;"""Est voluptatum vel quos officia vitae; Consequatur neque fuga ; Occaecati porro mollitia aperiam"""
Diane Howells-Parkin;diane_parkin_0219;95.0;11.1;81.2;"""Laborum; Deserunt quae unde At porro deleniti esse"""
Emily Davies;emily_davies_5961;45.0;78.1;65.2;"""Note: Nesciunt deleniti explicabo repellat; then Est error quae ut"""
Dr Leon Atkinson;dr_atkinson_7733;52.0;77.1;48.2;"""Note: Perspiciatis eum totam nesciunt; then Expedita deserunt"""
Leigh Clarke;leigh_clarke_4389;49.0;89.1;9.2;"""Note: Commodi architecto voluptatum; then Sapiente recusandae rem illum"""
Sheila Davies;sheila_davies_2357;75.0;40.1;20.2;"""Assumenda facilis; Repudiandae soluta aliquam ; Beatae quaerat cumque doloribus"""
x;james_brown_6118;61.0;91.1;;"""Tempore: Sed amet vel reprehenderit fugiat; Magnam dolore cumque earum"""
Nicholas Lawrence;nicholas_lawrence_0804;87.0;93.1;63.2;"""Earum facilis ut minima non autem; Ab incidunt id consequatur ; Explicabo"""
Leigh Cartwright;leigh_cartwright_1980;47.0;41.1;7.2;"""(Odio beatae quae quibusdam ex praesentium) ; Exercitationem animi dignissimos eligendi officiis and Nihil aspernatur accusamus ad"""
Carolyn Barker;carolyn_barker_5635;91.0;93.1;89.2;"""Delectus iusto nam similique deleniti; Exercitationem aperiam doloribus ; Eius sed harum provident"""
Carly Murphy-Davidson;carly_davidson_2061;56.0;3.1;39.2;"""Nulla omnis; Magnam Hic velit"""
Antony O'Donnell;antony_donnell_3303;22.0;17.1;61.2;"""Vitae quia eum: Sunt illo; Fugiat quam facilis exercitationem"""
