name	username	salary	score	price	summary
Karen Smith	karen_smith_6706	37.0	22.1	2.2	"""Note: Who must	 then Provide let send above ground election million"""
Cassandra Walsh	cassandra_walsh_3165	82.0	72.1	2.2	"""Note: Goal team carry left	 then Avoid its"""
Leslie Long	leslie_long_0703	38.0	30.1	83.2	"""Human five: Industry these some candidate surface	 Last share likely ready"""
Christy Hardy	christy_hardy_3671	99.0	48.1	66.2	"""Brother customer break issue; Both few keep Mr main smile 	 Once go our politics far reflect"""
Margaret Berg	margaret_berg_0757	41.0	24.1	53.2	"""Always kid treatment then computer	 Purpose imagine discover section style Media soldier"""
Courtney White	courtney_white_4862	12.0	73.1	18.2	"""Establish store prepare: Writer oil truth certainly	 Talk himself finish"""
Gregory Rosales MD	gregory_md_8689	40.0	6.1	21.2	"""Reveal professional middle	 Everybody certainly Although already lawyer fire minute"""
Erin Thomas	erin_thomas_7347	15.0	74.1	18.2	"""Assume maintain agent	 High meeting Among control east"""
Andrea Wood	andrea_wood_2796	13.0	59.1	25.2	"""Explain military simple although; Child ground others 	 Republican suffer"""
James West	james_west_6254	22.0	95.1	98.2	"""Face; Claim including 	 Lead doctor reflect"""
Cory Price	cory_price_7287	70.0	6.1	21.2	"""Economy today nature wear; Should usually kid 	 Power describe"""
Samantha Huang	samantha_huang_1208	3.0	14.1	85.2	"""Politics allow research standard	 End difference over hair Authority image"""
e	yvonne_mitchell_7357	8.0	66.1	42.2	"""Institution: End	 Push property break bank project"""
Matthew Miller	matthew_miller_5634	51.0	32.1	21.2	"""(Character agree) 	 Enjoy little and Network knowledge stuff"""
Adam Sanchez	adam_sanchez_1151	57.0	36.1	40.2	"""Boy science: Father state maintain	 Investment beat occur"""
Courtney Flores	courtney_flores_0263	57.0	31.1	27.2	"""Note: Continue difficult	 then Family"""
Javier Cox	javier_cox_7632	17.0	63.1	48.2	"""Citizen growth interview voice: Under structure line	 Watch set town who read than"""
Joseph Myers	joseph_myers_7149	100.0	33.1	95.2	"""Help wind box learn together bed: House film	 Address rock"""
Theresa Lynch	theresa_lynch_7044	13.0		38.2	"""Note: Quite dark	 then Arrive"""
Steven Alvarez	steven_alvarez_0809	2.0	37.1	39.2	"""(Strong entire their) 	 Carry loss and Them certainly song result"""
Angela Torres	angela_torres_4599	13.0	96.1	71.2	"""A happy great make; Off worker teacher 	 Subject"""
Patrick Cook	patrick_cook_8199	14.0	50.1	53.2	"""Note: Figure so	 then Once kind matter"""
Guy Maddox	guy_maddox_8373		29.1		"""Note: Statement red own fall heavy network	 then Later hotel"""
Kayla Sanders	kayla_sanders_8756	35.0	87.1	68.2	"""Lawyer lose; Real eye likely 	 Art"""
Kimberly Williams	kimberly_williams_3260	82.0	77.1	43.2	"""Practice where whom; Feeling prevent probably husband 	 Maintain kind a action chair that"""
Christopher Harris	christopher_harris_1990	22.0	98.1	90.2	"""(System herself) 	 Candidate resource fine catch and Upon simply answer"""
Evan Brown	evan_brown_6540	8.0	27.1	60.2	"""Continue join	 Start Structure down four history fight everyone watch"""
Jessica White	jessica_white_5452	91.0	92.1	7.2	"""(Surface) 	 Lay and Appear collection every cause education"""
Tina Williams	tina_williams_1849	57.0	33.1	45.2	"""Note: Suggest police other shake finally	 then Maintain bad"""
Paula Hicks	paula_hicks_7183	66.0	20.1	94.2	"""Note: Heavy interest recently	 then While with baby talk bank heavy own"""
Sarah Williams	sarah_williams_4156	15.0	74.1	27.2	"""Note: She note	 then Which local great couple democratic"""
