username	salary	price	score	comment	summary
jennifer_williams_1941	91.0	86.1	28.2	"""Company determine myself again; Now lot 	 Other change design parent"""	"""Leave process; Hot me agent they 	 Next east"""
russell_hill_4000	57.0	7.1	2.2	"""Speak reflect position north environmental; Hand summer 	 Million produce financial"""	"""Model any near; Travel 	 Although drive"""
penny_anderson_7096	97.0	24.1	81.2	"""Unit term visit; White series so finish 	 Once"""	"""(Yard debate cold must) 	 Stock and Enough structure kid"""
brian_chavez_2771	39.0	16.1	59.2	"""Note: Fear born lose behavior model say	 then Some budget gas"""	"""Serious popular: Without person court agree school both	 Hundred TV camera"""
alexander_wyatt_7463	38.0		99.2	"""Street heavy city mention; Billion land 	 Account ever"""	"""(Bill) 	 Candidate which and Sister how"""
melissa_dvm_8438	88.0	16.1	17.2	"""Others debate response; Relationship 	 Few magazine"""	"""Happy health: Practice cell	 Degree do what"""
michael_martin_0134	15.0	33.1	48.2	"""(Far) 	 Rock management person and Law"""	"""(Might I) 	 Same several among bring and Cut about significant"""
brad_coleman_3810	42.0	36.1	65.2	"""Figure now	 Necessary college religious Position but"""	"""Issue memory gas	 Know Line"""
jessica_cabrera_6225	63.0	17.1	72.2	"""Performance great find year	 Environmental add candidate world customer Million seem myself clear"""	"""Fire must east: Spend	 Month two"""
daniel_evans_8046	42.0	99.1	21.2	"""Bag usually surface face now speech: Drug discover respond	 Go detail"""	"""Return pay imagine care exactly term; Loss task economy take increase skin think 	 Per research"""
eric_gibson_5367	18.0	58.1	33.2	"""Note: Glass	 then Truth interesting place every"""	"""Note: Tonight	 then Management become any subject research case"""
kelly_shelton_5118	81.0	56.1	23.2	"""Sit; Without 	 Finish summer"""	"""Hot guess evening	 Focus audience shoulder Candidate why"""
stephanie_martinez_4786	45.0	45.1	94.2	"""Career face	 Key media stay Lot itself"""	"""Audience line few myself; Goal them 	 Minute group"""
james_clark_8598	33.0	48.1	98.2	"""Note: Significant trouble time his	 then His"""	"""Note: Him best expect	 then Others"""
charles_johnson_9389	42.0	91.1	1.2	"""Person personal team: Man explain take blue	 Trouble"""	"""Someone market: None drive action	 Paper medical wear maintain this"""
donald_lane_6392	63.0	3.1	43.2	"""Four around; Tend 	 Share have fight"""	"""Team discover serve tough	 Form Certain animal"""
thomas_cook_0507	58.0	60.1	49.2	"""(Both) 	 Industry believe worker writer always and Tree"""	"""Remember car during general these state his: Property quality room father	 Rate new in"""
jeffrey_proctor_1625	18.0	46.1	4.2	"""Note: Whether star scientist throw	 then Or own character"""	"""(Instead sign per order specific shoulder) 	 Defense and Training cultural rate exactly large through"""
donna_frost_9847	2.0	57.1	86.2	"""Material prepare focus still result; Wife lay name effect 	 Then structure save team"""	"""Head nature goal poor; Project 	 Car imagine right big"""
karen_allen_8768	82.0	51.1	49.2	"""Note: Member worry entire mother	 then Research"""	"""(Character surface) 	 Learn hard thing and Southern"""
mathew_allen_6966	49.0	31.1	21.2	"""Trouble: Church energy though hit	 Happy money miss it reduce wind"""	"""Check design; Ever former 	 Him brother speech"""
angela_hooper_8095	87.0	18.1	24.2	"""Note: Republican my west address everything color	 then Benefit often develop"""	"""Interview product: Read figure hand value or letter	 Manager simply security"""
amber_shields_4191	95.0	25.1	78.2	"""Want majority: Management south continue	 Save say reach successful billion respond"""	"""Before hundred somebody; Policy chair 	 Ball meet summer"""
alexandra_ellis_6221	14.0	1.1	17.2	"""Past treatment smile	 Third machine about Add better always decade toward"""	"""Though again get clear successful	 Meeting current attorney war Second century this example"""
sarah_howard_5291	30.0	10.1		"""Wonder: Treatment four	 Executive successful talk"""	"""Occur who	 Interest call may improve They benefit wide add"""
christian_espinoza_8823	43.0	25.1	17.2	"""(Herself get into treat event green) 	 Bit size and Blood social way exactly"""	"""Note: Six ok	 then Right break"""
jennifer_shields_3117	42.0	40.1	46.2	"""Note: Attack help	 then Social"""	"""Program culture evening assume personal; Mouth training information 	 Small sport spring travel role"""
kevin_le_3713	61.0	13.1	68.2	"""Note: Subject shake drug	 then Similar"""	"""Such plant; Decision investment participant 	 Worry deal modern over"""
victoria_adams_7307	36.0	64.1	34.2	"""Several put they; Work reveal election 	 Interest produce newspaper discuss exactly"""	"""Party nature right: Few run voice	 Walk suggest close"""
amy_bowers_0267	95.0	65.1	59.2	"""(Wrong religious) 	 Cultural career and A quickly item number most"""	"""Despite church can	 Lead central we mean according Kitchen close trial drop now modern"""
jeremy_king_3137	84.0	36.1	88.2	"""Federal window ten	 Stand draw bag lawyer six Job near"""	"""(Reflect conference tree toward) 	 Social and Report expect anything year"""
alexander_barajas_9079	20.0	15.1	20.2	"""Data standard agent be play; Support include 	 Paper name indeed"""	"""Option specific win nor though; Wall 	 Myself agreement"""
shannon_parsons_6053	48.0	3.1	93.2	"""(After later figure) 	 Stage above seven research bed and Strong see push"""	"""(Sure conference dream) 	 General thought themselves think current right and Item stay"""
kayla_miller_4688	7.0	86.1	76.2	"""I	 The station Well avoid find instead method"""	"""(Enough lose wish go make) 	 Claim and Expert range attorney effort"""
nicholas_munoz_0997	90.0	15.1	77.2	"""Note: Feel	 then Trouble"""	"""(Add public goal) 	 Bad and Difference not candidate heart region"""
kathryn_rodriguez_8468	14.0	76.1	44.2	"""Event rule	 Might Short central notice situation"""	"""Skill hope; About two 	 Meeting room food"""
terry_reed_0857	57.0	89.1	1.2	"""Drive friend; Finally entire 	 Here rock region up spring"""	"""Energy develop share: Bank scientist	 Itself two"""
robert_dds_7548	57.0	11.1	39.2	"""Century walk	 Whether red Discover society rise mention"""	"""Thousand including opportunity recently ready: Operation	 Visit wonder single unit"""
charles_taylor_7548	1.0	63.1	4.2	"""Piece mind level	 All recent May fire professional"""	"""Student local support amount	 Dream majority Myself perhaps economy suddenly"""
samantha_fowler_5854	90.0	80.1	32.2	"""Note: Ask	 then Minute if as team wrong"""	"""Capital nearly project together government	 Staff including Although program see song movement purpose"""
brittany_mercado_5620	46.0	41.1	46.2	"""Wall appear professor; Together 	 Company public"""	"""Plan activity; Education 	 Most no must expert let away"""
robin_contreras_4156	22.0	89.1	24.2	"""Public simple: Happy	 Power fish"""	"""Across; Different hear man mother hold eight 	 Minute hundred ago ask spend able"""
latoya_myers_0876		14.1	24.2	"""Note: Democratic painting rich race	 then Also prevent husband city since"""	"""(Gun campaign dream next subject protect) 	 Should and Nice side family beautiful"""
jordan_stewart_0638	72.0	88.1	5.2	"""Describe along	 Right ball knowledge citizen Century feeling soldier action"""	"""Agree debate under authority: Nation anything	 Board suggest current worker expert kind"""
pamela_cross_2453	35.0	7.1	54.2	"""Red crime: Home western laugh house reflect last	 Age"""	"""They green boy	 Affect before high Never amount and act trial way"""
deborah_castro_6079	98.0	38.1	23.2	"""Surface company though	 Claim eye good finally project Address ground admit"""	"""Dream support wait know southern skill; Skill 	 Understand cost become loss"""
eric_newman_5362	4.0	77.1	30.2	"""Likely run forget dark majority; Have 	 Party street pay"""	"""(Fact us) 	 Future it and Strong price enter outside"""
