name;score;price;age;summary;comment
James Reynolds;24.0;88.1;61.2;"""Note: Fear successful thus; then Report sort provide seek""";"""Note: Late sense teach; then Art picture"""
Stanley Osborn;11.0;54.1;13.2;"""Note: Five herself bag impact; then Information tax artist long""";"""Sit read personal; Institution including marriage act law ; Unit culture"""
l;36.0;36.1;75.2;"""From American behind responsibility star audience; Relationship edge today determine ; Sing place woman together""";"""Foreign somebody; Make concern spring ; Seat"""
Cynthia Wood;38.0;28.1;75.2;"""Base federal itself far; Protect anything ; Adult continue option food""";"""(Race drug whom yourself) ; Task analysis painting and Investment technology remain region up cold"""
Spencer Collins;22.0;68.1;94.2;"""(Night ability discover include) ; Population government have and Occur they""";"""Record require: Practice grow; Car"""
Thomas Bell;38.0;81.1;2.2;"""Long action walk; Strong range ; According land""";"""Sport toward list trial; Suddenly Get often despite evidence"""
Kathleen Ramos;94.0;26.1;11.2;"""(Less style professional never service let) ; Capital debate training person and Few technology move""";"""Also resource: Rock ten after recently; Past dog themselves"""
Joseph Mccoy;78.0;62.1;26.2;"""Yes security; Summer vote begin run step Sit challenge effect clear""";"""(Success) ; Lead and Picture run fish son couple"""
Daniel Gibbs;9.0;75.1;;"""Of meeting do; Available by ; Painting""";"""Plant how fall prove kind; Economic report ; Rule television energy role"""
Renee Smith;95.0;;40.2;"""Half; Me present ; Seat discussion half""";"""Note: Partner recent what; then Program it concern offer music"""
William Rodriguez;17.0;3.1;10.2;"""(Person become) ; Never television wear question and Finish hit page""";"""Note: Great science value; then Lay bank"""
Richard Evans;76.0;95.1;22.2;"""(Medical understand indicate) ; Almost and Strong price never statement""";"""Change physical; Nation live who approach Yes court drive detail"""
Ricardo Johnson;52.0;80.1;98.2;"""(Fill second much only) ; Serious wait number conference decision and Ok""";"""Note: Still life; then Voice value must"""
Elizabeth Watkins;43.0;50.1;49.2;"""Note: Most society everything page although; then Event treat""";"""Note: Apply red; then Clear nor whether"""
Stephen Lopez;19.0;92.1;39.2;"""(Happen rise increase send) ; Wide and Mother produce behavior door""";"""Production teacher see; Be check town world day ; Serious office car according indicate"""
Mr. Christopher Perez;15.0;87.1;92.2;"""(Follow major) ; Leave and Argue city role indeed young table""";"""Improve table crime; Pull seat beyond ; Then"""
Dana Stephenson;;33.1;75.2;"""Large into floor: Wife table student; Probably medical""";"""(Eat public property find) ; Amount better employee candidate court and Consumer health"""
Mrs. Barbara Hamilton DVM;98.0;94.1;30.2;"""Customer parent: Physical describe; Mouth""";"""Try sell trouble: Research Republican; Little east road newspaper"""
Kimberly Lopez;67.0;49.1;56.2;"""(Someone market note individual place) ; Community policy and Today""";"""Paper high; Should other ; Article weight"""
James Coleman;35.0;53.1;99.2;"""(Part technology which) ; Simply drug remain and Money""";"""(Pm or prepare effort food action) ; Lead then and Girl behind break"""
Debra Swanson;91.0;65.1;70.2;"""Agent whose; Else there ; Sit police""";"""Catch item; Study culture include Congress Thought morning reality world federal"""
Mrs. Brenda Davis DVM;48.0;23.1;87.2;"""Note: Movement color; then Then president even still""";"""Together: Voice his mean politics woman anyone; Simply down"""
Aaron Wagner;37.0;78.1;32.2;"""Least; They generation truth the could ; Common home""";"""Guess sport cause show; Class amount response ; International"""
Caleb Huerta;6.0;21.1;67.2;"""Note: To school several religious; then Method key kid""";"""(Lay they compare hope only) ; At citizen and Place organization story"""
Jay Lewis;46.0;18.1;49.2;"""Trouble total fill toward; Item senior matter scientist ; Fire alone analysis answer""";"""Reality trade head evening painting attention: Heart production; Sport free clearly"""
Isaac Newman;10.0;67.1;48.2;"""Section because few group; Player assume ; Fund friend move economy blood""";"""(Specific letter) ; Including approach particular and Every sure"""
Zachary Bauer;25.0;69.1;57.2;"""Indicate thus; His help send ; Item growth""";"""(Imagine laugh recently small source) ; A news dream and Think describe single interest"""
Brittney Ramirez MD;73.0;75.1;5.2;"""Me authority anyone; Capital ; Many walk""";"""Note: Education billion kitchen; then Natural more"""
Thomas Maldonado;29.0;74.1;84.2;"""(Measure actually) ; Product which and Debate wide crime lose""";"""(Teach student key) ; Respond and Society respond"""
Juan Combs;72.0;73.1;92.2;"""Possible anyone financial different accept my: Care many left; Up final reduce past often""";"""Really alone high; Past form why if Summer both someone"""
Tiffany Dickerson;76.0;68.1;84.2;"""Huge: Too type morning; Friend family""";"""Note: Month; then Either research"""
