name;score;salary;review
Annette Richardson;6.0;25.1;"""Asperiores commodi eum soluta; Quibusdam sed iure Ipsa vitae laboriosam amet"""
Mrs Teresa Cooper;68.0;32.1;"""Quisquam explicabo: Repellat culpa corporis odit deleniti; Voluptatibus harum maxime"""
Max Bibi;21.0;44.1;"""Amet illum: Pariatur; Illo atque"""
Ms Lydia Powell;;40.1;"""(Optio eum) ; Eligendi quae recusandae nostrum ipsum and Nobis at"""
Kayleigh Young;41.0;31.1;"""Repudiandae aliquid expedita; Aliquid quod hic sunt ; Rem consectetur quae error molestiae vitae"""
Mr Abdul Spencer;68.0;;"""(Error voluptatum asperiores excepturi) ; Itaque and Odit enim eius"""
Gillian Steele;82.0;53.1;"""(Animi nemo itaque) ; Itaque adipisci magni reprehenderit debitis and Deserunt facilis dolorem"""
Dr Dorothy Roberts;13.0;69.1;"""(Voluptatum in) ; Nostrum repellat and Saepe provident nihil atque totam"""
Naomi Hall-Elliott;82.0;21.1;"""Commodi deserunt; Ad et placeat veniam Pariatur pariatur occaecati"""
Cheryl Jones;33.0;79.1;"""(Eaque molestiae culpa laborum) ; Error and Facere dolorem et"""
Tracy Flynn;52.0;86.1;"""Iste libero: Ducimus nobis deleniti minus cumque; Iste"""
Sara Whittaker;63.0;83.1;"""Sequi placeat velit: Quia sit error; Exercitationem tempore et"""
Jemma Cook;52.0;72.1;"""Molestias: Dolor error; Accusantium impedit id sint nulla"""
Miss Pamela Thomson;13.0;44.1;"""Nihil esse sit vero; Soluta fugit inventore consectetur illum ; Magni quo neque rem"""
Luke Hyde-Quinn;85.0;44.1;"""(Odio voluptatibus commodi) ; Tenetur deserunt nam and Repudiandae voluptatibus"""
Zoe Buckley;43.0;30.1;"""(Nihil maxime quasi facere) ; Dolore blanditiis and Provident distinctio expedita"""
Mr Dominic Jones;42.0;35.1;"""Adipisci quam accusantium facere; Magnam nobis nobis molestiae odio Excepturi blanditiis maiores architecto reiciendis"""
Ann Porter;85.0;18.1;"""(Harum doloremque optio) ; Magnam deleniti and Modi sint eligendi minus perspiciatis et"""
Dr Stanley Rose;95.0;64.1;"""Note: Fuga error velit omnis; then Numquam reiciendis quae ut"""
Howard Freeman;35.0;87.1;"""(Ipsam nostrum enim autem molestiae) ; Odio similique eos and Libero asperiores"""
Ms Debra Jones;92.0;22.1;"""Tempora officiis; Aspernatur hic vero nisi porro sunt ; Vel odio"""
Arthur Leach;100.0;60.1;"""Ab voluptates cumque tempora: Ipsam nemo fugiat est illo; Error provident incidunt illum"""
Joshua Goodwin;33.0;7.1;"""Note: Temporibus atque repellendus dignissimos assumenda magni; then Inventore ullam facere earum aut inventore"""
Carly Perkins;53.0;94.1;"""Harum at: Quam molestias eius; Minus vel iure"""
e;57.0;48.1;"""Note: Sed ducimus ipsam; then Unde earum"""
Robert Morgan;50.0;10.1;"""Reiciendis sit ducimus temporibus magnam: Sed tempore debitis; Quae voluptas sint ipsum"""
Mr Charlie Taylor;97.0;56.1;"""Cumque quo; Corporis praesentium ; Deserunt ab"""
Kelly Baker-Mason;34.0;89.1;"""Delectus fugiat possimus; Quam perspiciatis reprehenderit vero provident ; Sapiente quae corporis libero ab"""
