# This is a comment line to skip
name	rating	price	review	remark
Denise Freeman	66.0	43.1	"""(Agree) 	 Truth hot and Front guy player population treat lawyer"""	"""(Use) 	 Yourself include and Nice why wind why"""
Sheryl Shaw	36.0	52.1	"""(Along newspaper top thank fire black) 	 Mean sister resource whose and Eat feeling speak"""	"""Hundred cost: Read character remember	 Hard customer affect bar"""
Joseph Williams	11.0	57.1	"""Must top: Scientist mission type building must line	 Receive realize court ever population"""	"""Note: Simple anything	 then Certain according like best"""
Jennifer Norman	20.0	11.1	"""(Pressure person trouble) 	 Church sure understand nothing and Herself hit"""	"""Yeah peace item: Assume present	 Animal instead"""
Bradley Fernandez	57.0	20.1	"""Sit including full around	 Out indicate red Trip"""	"""Note: Place week gas kid up	 then Blue on policy history"""
Kathryn Rodriguez	45.0	94.1	"""(Staff deal you guy several) 	 Sister ability and Idea opportunity both who sense heart"""	"""Its particular evidence: Whole rate staff	 Door least arrive rule"""
Andrew Gutierrez	54.0	30.1	"""Image inside hospital; Animal hair religious side usually wait 	 Work series wide item five"""	"""House against next	 Turn enjoy Such"""
Hannah Foster	23.0	50.1	"""West tonight anyone: There fear and	 Democrat cell blue"""	"""Note: Hold tell general	 then Go example opportunity"""
Donna Ramirez	57.0	30.1	"""Note: Blood truth charge partner program light	 then Threat upon front will himself rate"""	"""Note: Article	 then Focus month phone"""
Tina Larsen	8.0	31.1	"""Begin people mouth; Do 	 Policy size record hair environmental"""	"""Note: Identify threat	 then Exactly water long"""
David Mcbride	50.0	47.1	"""Hot; Tend serious 	 Defense able choice air"""	"""(Brother) 	 Financial and Financial body factor institution"""
Christian Garrett	25.0	42.1	"""Note: Organization similar drop feel story him	 then Floor set toward"""	"""(Boy shake) 	 However score top half matter and Activity down"""
Russell Carson		38.1	"""Note: Thing	 then Involve if improve"""	"""(News) 	 Standard and Wear charge consumer"""
Derek Patterson	12.0	84.1	"""(Smile nearly store well themselves over) 	 Heart into smile up and Choice nearly join discussion property it"""	"""(Science general) 	 Executive word north college inside and Study performance how"""
Juan Garcia	33.0	11.1	"""Oil let mind glass	 Sing interest news number wrong Past sister significant seek"""	"""Wear environment	 Goal civil leg Bar hit"""
Emily Dorsey	62.0	35.1	"""Receive this sort himself if expect; Campaign arrive world table reflect 	 Heavy more"""	"""Note: Pay truth hospital person	 then Single coach"""
Michael Villanueva	62.0	24.1	"""Note: Pretty phone	 then Surface miss"""	"""(Forget) 	 Such onto heavy and Clear religious loss"""
Stephanie Cameron	55.0	50.1	"""Own model shoulder large; Opportunity if seek 	 Positive difficult result"""	"""(Serious mind drop another their) 	 Add experience nearly skill know and Word young kind live their me"""
Amy Carroll	52.0	14.1	"""Little behavior just carry open debate	 Situation Environment where"""	"""Oil family	 Huge actually worry Better street knowledge produce"""
Erika Ferguson	3.0	65.1	"""Note: Trouble area report	 then Behind boy much camera"""	"""(Position exactly available) 	 Possible college standard and Professional place future dog war see"""
Daniel Reyes	27.0	68.1	"""Full run guess yes: Send area author claim	 Develop"""	"""(Common own garden) 	 Happy because final and Let open middle section expert support"""
e	70.0	49.1	"""Possible there heavy; Large 	 He easy imagine"""	"""Black game; Five find account body cold 	 Well wall perhaps industry direction figure"""
Alexander Johnson	78.0	32.1	"""Democratic blood; Some ever until board 	 Of mention worker find"""	"""Race	 Accept serve business Return thank"""
Kevin Munoz	74.0	1.1	"""Former sit apply; Deal 	 Occur low purpose stock half"""	"""Yet water wait chance; Reality drive establish 	 Song somebody sort within after"""
Roy Giles	63.0	44.1	"""(To break son) 	 Bring although scene cost compare and Or position"""	"""(Protect ten) 	 Difficult follow sister and Account"""
Michael Smith	60.0	85.1	"""(Course black prevent party face) 	 News tax and Above station recent"""	"""People face; Central like black important teach 	 Ok final reduce entire project"""
Thomas Porter	25.0	93.1	"""Issue hotel choice; Attention 	 Partner dinner such listen"""	"""Note: Your	 then Live can"""
Bradley Smith	22.0	13.1	"""Ever modern oil: Building control	 Serve house southern among paper"""	"""Offer: Physical	 Short audience economic"""
Kathleen Clark	64.0	5.1	"""Time decision	 Marriage direction Such"""	"""Goal develop once stuff cold; Walk smile 	 Imagine decade"""
Kiara Schneider	5.0	68.1	"""Note: Sign whether	 then Push different possible choose natural item"""	"""Shoulder goal: Forget forget yes system this	 Through"""
Steven Arnold	59.0	11.1	"""Democratic theory	 Career follow Box question wind"""	"""Day catch billion ability: Simple	 Under account"""
Ronald Walker	35.0	69.1	"""Become: Voice	 Four dinner"""	"""(Before stop sort grow provide) 	 Cost and Do"""
Crystal Merritt	93.0	77.1	"""(Home indicate at power) 	 Environmental everything modern effect and Star"""	"""Appear: Policy project financial agent	 Together effort agency in ahead Mrs"""
Tyler York	95.0	26.1	"""(Nice test forget service) 	 Language and Hand turn main charge new next"""	"""Note: Evidence customer minute	 then Democrat Congress"""
Charlotte Hill	74.0	20.1	"""One today	 Management position fear subject Admit"""	"""Special lead Republican	 Conference Whom explain cell"""
Mathew Williams	78.0	30.1	"""Key line usually since; Eat story 	 Marriage its give discuss pattern"""	"""Bed	 Wife else tend Walk"""
Marie Roach	11.0	6.1	"""Media bring	 High under quite reveal every Would easy politics"""	"""(Play always) 	 Result drive and Give practice"""
Nicole Harris	56.0	85.1	"""(Physical help under) 	 Place thing and Important us field"""	"""(Rich professional middle class) 	 Rate art baby say and Side stand"""
Daniel Stanley	29.0	28.1	"""Without air possible; The end ready 	 Exactly take"""	"""Clearly good; Imagine American 	 Meet trouble step effort"""
Timothy Gilbert	82.0	83.1	"""(Wife so) 	 Large him charge and American war interest small"""	"""Develop street: Window wait other leader wear	 Join room"""
Emily Joseph	47.0	49.1	"""Myself without worker them: Six recent budget father	 High clear kid ball region different"""	"""Note: Voice suffer quite phone support help	 then Mother ok personal three back full"""
Benjamin Gray	15.0		"""Note: Through material Democrat	 then Show ask once discover"""	"""(Fall day dark stand poor) 	 Town easy outside and Indeed individual"""
