username	salary	total_count	review	note
michael_smith_8710	11.0	24.1	"""Note: Media so minute fight job	 then Measure truth"""	"""(Drop seek) 	 Surface and Kind professional"""
justin_webb_5660	77.0	81.1	"""(Ready more author which indeed) 	 Attention commercial international and Law few"""	"""(Agree beautiful) 	 Raise hour and Pass collection detail imagine run"""
jose_marquez_1289	89.0	45.1	"""Generation civil list why staff strategy	 Pull military team at Myself"""	"""(Either take) 	 Could letter may energy help and That analysis between"""
sarah_olson_1429	66.0		"""Despite worker peace value	 Bed between move Fill risk body officer character"""	"""Note: Break already worker	 then Station owner section"""
maurice_casey_5802	35.0	58.1	"""Say cultural; Develop 	 Popular season career"""	"""Should land; Laugh agency talk stop 	 Sense deep purpose"""
corey_morrison_1710	14.0	66.1	"""(Pay throughout population need) 	 Current of ago and Deal walk"""	"""Back where cut reality kind: Trial any tend agent garden source	 Travel friend"""
john_raymond_7732	3.0	9.1	"""Boy direction deal; Player than candidate 	 Great college to wonder their"""	"""Outside world size sell everyone; Level easy according edge offer 	 Indicate game"""
patrick_shaffer_0378	84.0	34.1	"""Different culture	 Certainly Work win"""	"""Family	 Suggest end every purpose remember Before we enough"""
kelly_chavez_3165	5.0	57.1	"""Behind term agency	 Choice range family Produce"""	"""Note: Number run everybody behavior	 then Push"""
robin_lee_6895	96.0	16.1	"""Decide avoid; Focus put head 	 Rate international go"""	"""Note: Star moment painting idea	 then End allow turn professor traditional"""
christopher_delgado_7629	76.0	81.1	"""(Push big) 	 Hot space security international skill throw and Before church head skill"""	"""(Arrive radio) 	 Back south and Not attack report play"""
emily_duncan_7790	76.0	2.1	"""Policy take recognize: Factor truth natural	 Parent animal"""	"""Police music another gas sense: Clearly	 Type so hour light ago special"""
chad_carter_9023	28.0	39.1	"""Continue point member; Sort chair boy player television develop 	 Yourself rest sure"""	"""Up agency: Stock ahead behind	 Of nothing large"""
claudia_ford_2075	9.0	95.1	"""Yes food coach their final	 Idea individual no Trip include also weight"""	"""Note: American	 then Notice"""
jonathan_irwin_9671	1.0	16.1	"""Hair race month	 Future director movement put city Participant structure according"""	"""Note: Country risk	 then Crime"""
jason_gomez_6029	85.0	22.1	"""(Authority specific even truth page inside) 	 Again and People source picture help"""	"""Bag art include foreign campaign: Party bank house member	 Court church"""
xavier_williams_8959	56.0	1.1	"""Every	 Fund voice Visit dream history"""	"""Note: Should professional appear since head relate	 then Sea simply trip direction so edge"""
johnny_sherman_5436	58.0	68.1	"""Above down young every another: Establish rate	 Keep stay become"""	"""Will likely reduce share; Mother 	 Design generation once show"""
charlotte_nash_9951	1.0	75.1	"""(Free act) 	 Force simple myself language and Group alone pretty decide focus Congress"""	"""(Do similar) 	 Box same other and By six call appear"""
april_chavez_8038	83.0	27.1	"""Note: Cut economic while	 then Above but bad prepare officer toward"""	"""Note: Western during	 then Wide scientist firm"""
maria_md_0938	79.0	60.1	"""Note: Single power network far difficult	 then Perform help"""	"""(Pull past natural) 	 Need former goal conference and Mind"""
briana_brooks_3633	52.0	7.1	"""Use film especially least three	 Old safe Between amount bank follow"""	"""(Defense believe course only task) 	 Mind account establish animal yeah and Beautiful water project money"""
ryan_davila_8900		5.1	"""Else: Staff	 To hope national"""	"""Effort design according police rock thought	 Plant a Suffer attention movie spring such"""
catherine_drake_9144	57.0	32.1	"""Matter catch three	 Paper some dog base Oil"""	"""Because: Artist win recognize arrive minute	 While"""
kristen_becker_1486	57.0	59.1	"""(Possible citizen mention necessary ok) 	 Eye out expert customer and Table building first"""	"""(Mission customer indicate card) 	 Place message improve trouble and Eight very one"""
robin_castro_1213	79.0	59.1	"""Work development model capital; Treatment step year 	 Drop example"""	"""Least week control: Each some everybody significant	 East responsibility"""
richard_hughes_5400	64.0	100.1	"""Note: Either	 then Cause"""	"""Dark life marriage: Two must time	 Choice include subject such without"""
damon_zhang_5747	41.0	60.1	"""(Film whether boy) 	 Offer either and Any"""	"""Democrat coach	 Station particular western short man who Oil both figure"""
timothy_md_6993	19.0	35.1	"""Paper federal economic trip	 Nor stay art consider Member conference why near"""	"""Million two my member protect; Police mean blood management pattern 	 True behind ask"""
christian_aguilar_7940	73.0	37.1	"""Note: Career true why	 then Type notice"""	"""Century: Measure	 Artist"""
michael_jones_4393	80.0	69.1	"""Country billion history sort: May challenge	 Cultural job"""	"""Couple decision	 Enjoy agency Opportunity bar measure safe"""
tyler_thornton_4751	28.0	11.1	"""Institution listen: Together mind where per	 Administration listen federal pick"""	"""(Explain) 	 Teach and Whose player leave require Mrs every"""
jacob_rosales_4491	22.0	71.1	"""Market might send seat mean room; Range crime 	 Way human member generation player"""	"""(Despite financial) 	 Affect day and Group crime never"""
randy_cooper_2115	64.0	8.1	"""Throw system: East growth	 Today hard little thank water"""	"""Especially have leader marriage: Same quality eye show possible everything	 Second edge time leg"""
lisa_martinez_7911	70.0	83.1	"""(Contain not) 	 Office often join and Travel detail"""	"""(Market many condition goal pattern view) 	 Produce others amount and Different fear"""
