name,age,price,score,comment
Jennifer Frost,85.0,59.1,50.2,"""Challenge ready, Everybody near wonder page Reflect make"""
Rebecca Burns,,23.1,34.2,"""Accept blood agreement make: Together race force, Choose every magazine"""
Maria Diaz,49.0,10.1,29.2,"""Prove idea computer chair son, Responsibility Partner ok stage beyond arrive"""
Robert Hayden,41.0,14.1,,"""Way worker rise, Language page sort sport Position"""
Kari Lewis,14.0,48.1,27.2,"""Strategy service national throughout, Truth End skin"""
Dorothy Hurley,81.0,90.1,20.2,"""They; Strategy its sister seven everyone , Human threat positive better season without"""
Jacob Duncan,73.0,55.1,74.2,"""Free should, Guy technology Likely place"""
Emily Mcneil,62.0,26.1,81.2,"""Professional another beautiful; Remember paper she pull herself , Effect authority"""
Sherri Thompson,71.0,1.1,3.2,"""Blood rule: Field take quality fund pass, Necessary region no"""
Jackie Solomon,64.0,80.1,3.2,"""Avoid rule when religious, Democratic indeed good Then cut far reduce"""
Michael Harris,12.0,,10.2,"""Despite break pay, Win arrive more western clear guy Lay kind"""
Kevin Dorsey MD,5.0,62.1,87.2,"""Your official instead nation affect, Government east today recent Probably face determine"""
Stephanie Baker,90.0,1.1,60.2,"""Stay say military: Build factor, Wide feeling"""
Erica Hernandez,20.0,26.1,72.2,"""Improve five, So federal help write Congress Dinner"""
e,56.0,14.1,27.2,"""Hot among; Make , Mrs answer effect enter"""
Daniel Osborne,84.0,63.1,86.2,"""Note: Outside class office, then Short idea"""
John Mccoy,77.0,47.1,33.2,"""Number stuff process: Himself, Night list"""
Susan Bennett,23.0,28.1,99.2,"""(Blue close us table ten available) , Blood reach and As between say"""
Danielle Atkinson,81.0,56.1,89.2,"""Your science if share build, Seem officer Key response"""
Dana Nelson,98.0,4.1,76.2,"""(Certain seem on evening save) , Car purpose and Art recently nearly debate here"""
Jessica Avila,29.0,34.1,13.2,"""Song pay expect cup campaign somebody, Crime home social wall Rich north fall"""
Calvin Stanley,33.0,88.1,82.2,"""Body good: Collection, Clear huge instead quickly"""
Sean Nelson,45.0,4.1,25.2,"""Practice, About which drug Mr Couple staff"""
Daniel Clark,98.0,36.1,1.2,"""Different our item: Rate, Standard manager around type"""
