# This is a comment line to skip
username,name,score,salary,total_count,review
susan_rose_7190,Susan Rose,42.0,60.1,10.2,'''Live part teach paper; Brother condition person , Network interesting professional piece audience'''
robin_reynolds_7190,Robin Reynolds,57.0,44.1,,'''Stay central suggest seat: Oil able, Produce some option popular'''
stephanie_donovan_9467,x,27.0,88.1,11.2,'''Capital line, Material My couple attack difficult positive'''
rose_perry_9829,Rose Perry,52.0,51.1,99.2,'''Article land claim form, Issue Thought mother'''
christine_gross_5033,Christine Gross,,28.1,61.2,'''Note: Season product possible, then Serious public stop party'''
dr_decker_3017,Dr. Martin Decker,3.0,65.1,33.2,'''Strategy wrong dark argue along program let; Trouble technology stand born true , Matter'''
tami_burke_1218,Tami Burke,7.0,46.1,38.2,'''(Trouble all actually oil) , Machine beyond to and Hard interesting fly benefit'''
thomas_smith_7248,Thomas Smith,14.0,59.1,18.2,'''Note: Democratic late suffer, then Prepare feel shoulder'''
mark_williams_0248,Mark Williams,61.0,12.1,44.2,'''Seek someone movement, Maybe idea Late race'''
colleen_sosa_3563,Colleen Sosa,19.0,63.1,60.2,'''South, Everybody structure production yourself Bit from among without'''
donna_hughes_1273,Donna Hughes,94.0,10.1,5.2,'''Note: Task create doctor seem its security, then Bag'''
veronica_young_1069,Veronica Young,80.0,63.1,65.2,'''Note: Fill available, then Age for'''
fred_johnson_4527,Fred Johnson,50.0,17.1,10.2,'''Future imagine hair teacher, Education support collection Reflect second'''
julie_solis_8420,Julie Solis,16.0,75.1,58.2,'''House cold three work color, Politics hour understand information poor Remain'''
keith_scott_5904,Keith Scott,13.0,98.1,62.2,'''Pay join church: Along activity author, Hand'''
william_tyler_1860,William Tyler,46.0,72.1,16.2,'''(Mouth go nice value administration) , Stand and Data old author month city'''
natasha_vaughan_5551,Natasha Vaughan,30.0,100.1,14.2,'''Note: Risk Republican, then Have know method'''
jordan_goodman_2175,Jordan Goodman,23.0,45.1,5.2,'''Start image they discussion; Field religious , Where class them'''
steven_mejia_4311,Steven Mejia,2.0,69.1,3.2,'''Up notice: New increase we, Energy'''
christina_sanchez_2342,Christina Sanchez,91.0,88.1,69.2,'''(History level thought new) , Response and Store party'''
daniel_briggs_5265,Daniel Briggs,28.0,80.1,49.2,'''State free; Team leg drive single accept , Throughout couple wait'''
kayla_martin_2964,Kayla Martin,49.0,26.1,54.2,'''However; Player read sure , Energy next'''
jenna_palmer_7032,Jenna Palmer,36.0,62.1,62.2,'''(Too nor) , Fall fire enough star improve politics and Physical improve natural player'''
sherry_hensley_2058,Sherry Hensley,73.0,34.1,3.2,'''Box listen: Who only, Month Congress growth person thank travel'''
holly_mckinney_0093,Holly Mckinney,1.0,13.1,99.2,'''(Space admit) , Two miss and Lawyer rest'''
terry_perez_3167,Terry Perez,2.0,94.1,66.2,'''Tell wind reality: Throw boy, Stop management choice'''
andrea_beltran_3759,Andrea Beltran,42.0,98.1,28.2,'''Note: Station service woman, then Almost believe detail'''
nathan_gonzales_5997,Nathan Gonzales,14.0,24.1,14.2,'''(Back study) , Finally later stand get offer about and Send major whole growth'''
megan_vargas_4516,Megan Vargas,1.0,19.1,26.2,'''(Feel health) , Less although travel education and Health even head'''
robert_dickerson_5735,Robert Dickerson,35.0,,70.2,'''Operation school, Evening resource onto present act remain Pick factor'''
