username;name;score;rating;total_count;message;summary
jennifer_diaz_7705;Jennifer Diaz;84.0;91.1;42.2;"""Mission above: Program difficult continue; Cost check practice""";"""Note: Produce; then Set out resource"""
wyatt_sanchez_3476;Wyatt Sanchez;67.0;89.1;23.2;"""Note: Will keep fear tend; then Magazine national lot""";"""Authority: Speech; Partner study"""
veronica_ward_5948;Veronica Ward;55.0;19.1;40.2;"""Form like; Produce one hard account compare Bed police experience outside""";"""Push gas heavy there; Treatment only ; Owner computer window"""
maria_bruce_4525;Maria Bruce;81.0;18.1;11.2;"""Should guy; Let city want often ; Professional reason wonder""";"""Note: Government fear; then Which wish other"""
tina_glenn_7801;Tina Glenn;66.0;37.1;68.2;"""(Push possible history create) ; Standard this easy deep and Item bed""";"""Note: Consumer write; then Baby citizen better onto check"""
ryan_smith_4237;Ryan Smith;12.0;87.1;42.2;"""(Personal treatment) ; Always per and Game appear reach Democrat hope seem""";"""Note: Check court respond they hear name; then Already everyone glass"""
james_dunn_0068;James Dunn;100.0;92.1;7.2;"""Among course city successful draw; However four strong Employee court clearly general""";"""Cell present prove: Picture artist wonder citizen; Number white"""
wendy_jimenez_5373;Wendy Jimenez;40.0;22.1;44.2;"""Serve issue direction soon: Southern million; You""";"""(Get report similar) ; Soldier third west money heart and Official join from among"""
julie_reid_1237;Julie Reid;78.0;66.1;97.2;"""Note: Property perhaps; then Few ask inside best""";"""(Whole event) ; Where north and Affect professional final"""
rachel_rivera_9483;Rachel Rivera;92.0;26.1;84.2;"""Note: Section machine administration theory; then Rule question across PM accept""";"""Note: Factor high grow dream decide; then Serious medical wide"""
joshua_clark_5273;Joshua Clark;26.0;35.1;52.2;"""His; So sister several ; Account wear class we citizen""";"""Friend; Hundred foreign beat charge tell Value event never"""
angela_graves_2108;Angela Graves;96.0;51.1;83.2;"""Ball everything again south; Factor challenge brother ; Among owner sort""";"""Condition: Pm bit; Or"""
louis_robinson_0534;Louis Robinson;86.0;32.1;24.2;"""Power walk thus understand: National particularly; Myself loss""";"""Note: Congress realize some million expect; then Per sign"""
kevin_perez_6844;Kevin Perez;;95.1;23.2;"""Future range: Technology realize television; Human""";"""(Put whether health everybody show) ; Spring situation international local office and Common three family"""
steven_malone_8994;Steven Malone;24.0;33.1;78.2;"""Above TV weight; Despite nation east true ; Group service measure""";"""Catch author; Line protect mention ; Reason wait entire"""
kelli_james_9768;Kelli James;48.0;34.1;30.2;"""Chair arm federal; Various yeah Computer knowledge attorney already""";"""Listen; Good he let ; Never admit another positive"""
ricky_jones_9352;Ricky Jones;89.0;;82.2;"""Note: Cause story; then Language energy water""";"""Talk; Prove down more Message evidence"""
barbara_shaffer_1563;Barbara Shaffer;86.0;54.1;43.2;"""Coach as often; Figure night value three culture perform Upon six easy""";"""Success often then seem; Trial ; Away soon respond"""
