username	name	rating	total_count	note
scott_cochran_9779	Scott Cochran	35.0	54.1	"""Phone any art painting meeting: Develop agent probably ten	 Require player"""
haley_short_7692	Haley Short	70.0	89.1	"""Loss through; Group find activity 	 Week class rule"""
rebekah_carter_6608	A	50.0	50.1	"""Summer the politics ever word bad: Series poor	 Scientist"""
renee_barnett_2582	Renee Barnett	100.0	58.1	"""Operation network inside ball raise thus: Democratic	 Behind election billion"""
kevin_hughes_8817	Kevin Hughes	8.0	5.1	"""(Exist including dog) 	 Role TV increase scene and Tend doctor become"""
tracy_jackson_5913	Tracy Jackson	33.0	89.1	"""Note: Change agent ball court as	 then Tell girl myself staff"""
rebecca_fox_8130	Rebecca Fox	14.0		"""Note: School series score	 then Actually high we"""
kelly_chase_2433	Kelly Chase	45.0	52.1	"""(Form door of) 	 Rest subject these strong and City TV agreement agency"""
martin_valenzuela_3108	Martin Valenzuela	97.0	11.1	"""(Pretty though) 	 Risk and Decide though"""
daniel_king_1416	Daniel King	20.0	69.1	"""Note: Run such natural garden or	 then Three simply season challenge"""
thomas_alexander_5994	Thomas Alexander	87.0	35.1	"""Guy	 Sure less short Voice law fear"""
richard_nelson_1954	Richard Nelson	97.0	4.1	"""Chair direction; Government land money wear animal among 	 Bill however"""
sarah_richardson_6136	Sarah Richardson	36.0	79.1	"""Show business; Under size 	 Huge make"""
dominic_nielsen_0115	Dominic Nielsen	88.0	29.1	"""(Ball figure mouth sure) 	 Popular which and Quality with"""
julie_johnson_2080	Julie Johnson	84.0	75.1	"""Whatever live	 Position Go me impact"""
sheena_ingram_7621	Sheena Ingram	95.0	77.1	"""Lose him: Themselves seven collection test reach	 I result weight"""
leslie_hanna_1716	Leslie Hanna	31.0	47.1	"""Science training: Physical sit expect	 Page establish"""
william_weber_0119	William Weber	29.0	32.1	"""(Blood the with go) 	 Collection develop and Owner around your fill course"""
devin_frazier_9958	Devin Frazier	69.0	77.1	"""(Serve professional grow college star) 	 Woman ten hundred similar before and Look way new"""
bruce_ward_0487	Bruce Ward	12.0	47.1	"""Career save rock: Wind	 Know east involve"""
ryan_parker_3519	Ryan Parker	37.0	95.1	"""Visit owner system fly	 Stand dream Decision"""
angel_galloway_2407	Angel Galloway		90.1	"""Chance travel involve	 Direction subject heart if represent Institution sound"""
william_williams_7908	William Williams	44.0	84.1	"""Democratic protect bit grow whether majority: Station own rock reach	 Table"""
phillip_benjamin_8030	Phillip Benjamin	4.0	46.1	"""Employee group spend they score how	 Score painting Particularly top technology cover"""
