name,age,salary,rating,description
Holly Smith,90.0,40.1,34.2,"""(Party) , Grow may official nature religious every and Shoulder machine material"""
Joshua Moreno,55.0,94.1,51.2,"""Note: Floor court, then Ahead establish"""
Jacqueline Gonzales,54.0,,73.2,"""You focus; Cause very perhaps administration development talk , Surface discussion change"""
Jeremy Berger,91.0,90.1,19.2,"""Above develop; Congress your soon , Account"""
Troy Fuller,66.0,49.1,53.2,"""(Push really save truth better) , Short and Concern remember"""
Cathy Ross,88.0,46.1,7.2,"""Note: On lawyer, then Lose themselves name"""
Dave Lee,18.0,67.1,12.2,"""(Inside) , Suddenly and Live production"""
Michael Roberts,82.0,47.1,32.2,"""Wait; Actually anything , Firm away"""
Larry Scott,7.0,67.1,81.2,"""Congress situation find impact, Able forget table Strategy southern"""
Chad Hayes,98.0,76.1,5.2,"""Low that recognize: Since chair already, Become bar enjoy while"""
Miss Sharon Frank,66.0,30.1,49.2,"""Leave sure: Country choice address say, Tonight material"""
Jason Miller,5.0,5.1,77.2,"""Tv where, Line improve base five Defense environmental and hundred"""
Eddie Macias,6.0,39.1,23.2,"""Figure expert oil: Painting tree, Price marriage simply avoid"""
D,42.0,6.1,48.2,"""Box, Before avoid Show well"""
Brent Price,22.0,16.1,47.2,"""Hold west quickly industry job: Concern guess, Relationship decade tend"""
Tammy Harris,16.0,47.1,58.2,"""Note: Such just fear, then Computer traditional"""
Danielle Morris,13.0,26.1,65.2,"""Alone newspaper second appear hear focus: Bank pull, Us old"""
Kelly Parker,33.0,41.1,8.2,"""But organization government, East reflect all Body"""
Danielle Campbell,28.0,82.1,48.2,"""(Imagine) , Main and A add security material collection"""
Wayne Stevenson,78.0,10.1,32.2,"""(Enjoy movie building trip attention how) , East read and Her mention wear another"""
Zachary Dixon,16.0,20.1,19.2,"""Note: Everything then fish class even, then Someone candidate gun"""
Cynthia Holmes,74.0,10.1,25.2,"""Forget, General visit Agent positive manage size"""
Jasmine Fletcher,46.0,37.1,25.2,"""Training sit simple spring majority street, Discussion subject State everything likely military eat"""
Karen Jenkins,98.0,58.1,71.2,"""Participant bed task; Last authority focus , Happen memory fight"""
Lindsey Kim,36.0,82.1,,"""Security security through: Prevent, Sign forward"""
Lisa Harper,59.0,43.1,28.2,"""Paper white red; To , Fine already professor"""
Amanda Case,64.0,85.1,73.2,"""Hundred relationship, Read industry debate long Shoulder sea arrive able forget"""
Matthew Rosales,16.0,94.1,1.2,"""Almost; Easy agree , Hospital analysis allow up if discussion"""
Donna Williams,80.0,74.1,5.2,"""Note: Area, then New college"""
April Mullen,78.0,26.1,85.2,"""White thus; Contain might professor everybody dark half participant , Candidate impact notice"""
Cheryl Castro,81.0,94.1,88.2,"""Amount, Worker involve Attention then media"""
Bryan Copeland MD,95.0,98.1,24.2,"""Note: Order establish, then Someone add most human"""
Jacob Schwartz,49.0,13.1,52.2,"""(Window try) , Exist per it business and Report matter kid"""
Joe Anderson,,23.1,98.2,"""Example PM; Stop how , Next get act maintain quality"""
Lauren Rodriguez,88.0,4.1,78.2,"""Note: Professional once, then Billion audience risk simple conference too"""
Derrick Gray,52.0,16.1,54.2,"""Free hour, Smile across Sometimes keep prove"""
