name,username,score,note
Ben Holt,ben_holt_9801,67.0,'''Note: Repellendus illum quibusdam, then Temporibus impedit eius tenetur veritatis blanditiis'''
Tony Taylor,tony_taylor_5303,31.0,'''(Unde) , Dolor aspernatur and Placeat illum exercitationem'''
Leanne Morgan,leanne_morgan_9283,90.0,'''Note: Incidunt nisi eveniet dolore, then Ipsa ut ad iure'''
Justin Morley,justin_morley_6359,60.0,'''Repellat veritatis: Cupiditate eveniet adipisci excepturi, Pariatur iure doloremque'''
Dr Terry Ward,dr_ward_1855,14.0,'''Note: Eum tempore, then Magni numquam quod'''
Francesca Long,francesca_long_8882,7.0,'''Dignissimos exercitationem illum quam fugit; Ad ipsam , Aliquid officiis'''
Zoe Hunt,zoe_hunt_1076,45.0,'''Note: Accusamus aut, then Ut quibusdam'''
Ross Clark,ross_clark_5710,34.0,'''Note: Voluptatibus doloremque aliquam, then Quam aperiam'''
Steven Williams,steven_williams_3951,,'''(Commodi commodi) , Nobis and Laudantium vitae'''
Ms Yvonne Robinson,ms_robinson_5045,1.0,'''Voluptatum id aperiam: Sit corrupti, Ea excepturi eligendi'''
x,miss_banks_9421,82.0,'''(Accusamus repellat nam sit fuga reiciendis) , Ex laboriosam and Tempore culpa nam dolor'''
Nicholas Gill,nicholas_gill_6440,85.0,'''Optio veniam ducimus: Culpa voluptatum, Eius occaecati tempora similique recusandae ab'''
Miss Valerie Williams,miss_williams_7097,72.0,'''Eveniet unde, Nam impedit Voluptate excepturi'''
Dorothy Webb,dorothy_webb_3136,9.0,'''Note: Delectus esse exercitationem, then Dolore'''
Marc Giles,marc_giles_5083,32.0,'''Pariatur vel assumenda error, Molestias Non atque autem cupiditate'''
Craig Brown,craig_brown_9032,9.0,'''Cumque nulla quisquam ab nesciunt; Eum provident fuga eos suscipit , Magni quia sunt'''
Jason Thomas-Gilbert,jason_gilbert_1687,92.0,'''Note: Molestiae, then Fugit ab sequi magnam'''
Terence Myers,terence_myers_2632,70.0,'''Quos, Deserunt Praesentium autem eveniet in eligendi odio'''
Mrs Shirley Webb,mrs_webb_6405,91.0,'''(Esse facere) , Itaque aspernatur quaerat and Praesentium nulla'''
Marion Thomas,marion_thomas_3551,45.0,'''(Quidem aspernatur) , Illo tempora esse and Omnis quam sapiente optio'''
Glen Evans,glen_evans_9618,17.0,'''Note: Nisi maxime tempora placeat quisquam, then Adipisci laboriosam voluptates cum'''
Rosie Thomas,rosie_thomas_7049,94.0,'''(Quisquam esse placeat) , Non and Ea voluptate'''
Chloe Thomas-Morgan,chloe_morgan_5249,45.0,'''Magnam saepe alias; Deleniti dicta reiciendis tempora , Eaque excepturi'''
Jonathan Simmons,jonathan_simmons_0054,19.0,'''A totam eveniet; Consequuntur corporis molestias ducimus , Fugiat ea'''
Dr Abbie Chan,dr_chan_4152,99.0,'''Note: Unde autem magnam, then Suscipit aperiam amet'''
Shannon Abbott-Jones,shannon_jones_9758,10.0,'''Note: Nobis reiciendis voluptatibus tenetur, then Veritatis dolorum ab'''
Chelsea Harrison,chelsea_harrison_1654,39.0,'''(Praesentium expedita fuga explicabo) , Quibusdam quisquam and Ducimus repellat'''
Tony Doherty,tony_doherty_6676,90.0,'''Natus aliquam dolores, Ipsum dignissimos inventore Ad'''
Janice Dobson,janice_dobson_3209,3.0,'''Soluta ad pariatur dignissimos odit; Fuga est sequi maiores molestiae , Quos soluta soluta'''
Kathryn Mitchell,kathryn_mitchell_9450,13.0,'''Temporibus eos non, Deserunt temporibus molestiae quibusdam Beatae ratione qui'''
Maria Short,maria_short_8197,65.0,'''Modi inventore sed ut, Assumenda nesciunt commodi fugiat distinctio Ipsa eveniet tenetur dolore quibusdam'''
Holly Brown,holly_brown_5588,51.0,'''Note: Sapiente, then Quas eius'''
Mohammed Richardson,mohammed_richardson_8741,12.0,'''(Eum sequi) , Eos accusamus and Quod nihil aspernatur deserunt tenetur'''
Mr Kevin Robertson,mr_robertson_2600,68.0,'''Note: Ratione blanditiis, then Cumque totam'''
Paige Jones,paige_jones_4379,10.0,'''Quaerat corporis iusto corrupti, Dignissimos Nihil laudantium quidem rerum corporis'''
Jack Thompson,jack_thompson_3404,17.0,'''Libero: Asperiores voluptate corrupti, Ducimus est'''
Lucy Parkes,lucy_parkes_4667,82.0,'''Iusto eveniet nemo, Reprehenderit nesciunt fuga Corrupti iure reiciendis'''
Mitchell Brown,mitchell_brown_2085,36.0,'''Note: Officiis natus, then Recusandae aut facilis ipsam repellat illum'''
Shannon Smith,shannon_smith_1546,82.0,'''Note: Aliquid ipsam ab, then Sapiente dignissimos laboriosam fuga consectetur'''
