name	username	rating	score	total_count	note	remark
Shawn Glenn	shawn_glenn_2919	12.0	42.1	5.2	"""Present soon fear between gas	 Issue American protect"""	"""Note: Similar college challenge trip finally	 then Hour relate"""
Teresa Bowen	teresa_bowen_6613	41.0	46.1	89.2	"""Medical move go majority five whether; Short include success food 	 Wide"""	"""Behind second; Second bag leg avoid figure 	 Three scene"""
e	brittany_williams_7591	2.0	17.1	4.2	"""Natural your	 Cup race Local human animal maybe president any"""	"""(Through care professional fly) 	 But out and Continue hospital"""
Joseph Callahan	joseph_callahan_0301	8.0	27.1	21.2	"""(Capital) 	 Push and Themselves laugh head"""	"""Product discuss cultural generation; How under teacher if win 	 About tonight thank minute"""
Alexandria Huffman	alexandria_huffman_7441		62.1	13.2	"""After building live song night	 Audience Building suffer position magazine view"""	"""Note: After	 then We can hard specific follow network"""
Megan Harris	megan_harris_5274	45.0	35.1	100.2	"""Note: His word clearly large answer character	 then Discuss old build just"""	"""Million cup	 Meet deep risk Culture spend seat"""
Thomas Rivera	thomas_rivera_5910	13.0	42.1	58.2	"""Note: Will test anything possible	 then Skill for health"""	"""Manage reach: Husband	 Position focus"""
Andrew Holder Jr.	andrew_jr_0186	90.0	36.1	86.2	"""(Security interest product fire national) 	 Garden card college his TV and Several series evidence safe"""	"""Feel usually; Bed thousand letter one 	 Rich suggest this time reality"""
Ryan Sanford	ryan_sanford_4805	69.0	69.1	71.2	"""Almost under; Government sell main degree 	 Later nothing nature"""	"""(Executive more throw one) 	 Personal establish glass born charge and Perhaps medical"""
Manuel Morrison	manuel_morrison_9075	36.0	21.1	66.2	"""Gas forget	 Say themselves doctor Until experience family expert"""	"""Note: Create catch war subject	 then Lawyer"""
Joshua Wells	joshua_wells_7430	10.0	98.1	4.2	"""Perform easy at page	 Father expect huge give Paper gun"""	"""Government wonder provide: Every business area where	 Perform"""
Madeline Fitzgerald	madeline_fitzgerald_4000	91.0	98.1	52.2	"""Note: Capital gas citizen	 then Support exist"""	"""House election various; She consumer popular how 	 Admit health"""
John Harper	john_harper_4659	3.0	3.1	61.2	"""Nothing lawyer cut which list past	 Prepare piece Cell none finally"""	"""Decide full building environment fall	 Level bed entire stage forget Season inside better"""
Jennifer James	jennifer_james_4875	86.0	2.1	91.2	"""(Democrat season account) 	 Nation degree and Medical determine increase challenge"""	"""Value officer rest: Job	 After per trouble"""
Judy Boyd	judy_boyd_1952	27.0	2.1	70.2	"""Note: Think capital	 then A million at"""	"""Tonight study; Compare make never 	 Candidate collection think"""
Grant Sanchez	grant_sanchez_0159	63.0	27.1	80.2	"""Country also	 Quality ground her discuss take Thousand the"""	"""Those other; Whatever amount 	 Account theory"""
Shawn Reyes	shawn_reyes_1785	58.0	1.1	8.2	"""(Movie trade) 	 Represent opportunity your treatment near and Key factor nation"""	"""(Professor test) 	 Off somebody and Mother together success anything"""
Joe Davis	joe_davis_6576	42.0	60.1	77.2	"""(Such attack where) 	 Somebody imagine and Garden before study"""	"""Note: Have over involve himself	 then Environment standard"""
Robin Lee	robin_lee_1832	94.0	7.1	91.2	"""Note: Discover	 then Way responsibility"""	"""Some return middle; Cup defense 	 Western hold quality"""
Sean Ramsey	sean_ramsey_0452	29.0	19.1	1.2	"""(Sit these remain) 	 History enjoy leader and Lead religious next food"""	"""Note: Great international	 then Chair everything"""
Danielle Mcdowell	danielle_mcdowell_6395	83.0	11.1	90.2	"""(Coach in) 	 Director and Protect first successful foreign in"""	"""Together each	 Dark development lawyer him Able tough"""
Madison Harris	madison_harris_9071	80.0	54.1	25.2	"""Own to: Else fish always	 Building about recognize"""	"""Magazine send; Personal 	 His into black"""
Danielle Morales	danielle_morales_5145	23.0	75.1	60.2	"""This phone; Oil relate 	 Short professor"""	"""Wrong rock south service both dark	 Side wall anything ten Walk in deal oil most sit"""
Wayne Rhodes	wayne_rhodes_5181	34.0	33.1		"""Note: Carry listen get newspaper go	 then Situation"""	"""Fall; Ok benefit 	 Move speak approach"""
Blake Conley	blake_conley_5786	1.0	71.1	18.2	"""North play pick	 Meet half Support wife play base picture analysis"""	"""Note: Growth occur role	 then Choice forward"""
Phillip Rivera	phillip_rivera_8694	27.0	18.1	63.2	"""(Clearly spend different remember) 	 Family trouble arm down popular and Kitchen real"""	"""(Simply clear simply hundred) 	 Water camera job institution these community and Send set"""
Timothy Mason	timothy_mason_3103	35.0	78.1	9.2	"""As size; Training central medical attorney 	 Speak natural suddenly office movie"""	"""Bed final population hand bed; Every opportunity receive 	 Safe"""
Sarah Mcgee	sarah_mcgee_9379	6.0	98.1	88.2	"""Behavior high suggest Mrs; Late today past course seven color 	 Ready bar"""	"""Go since daughter partner; Fish year 	 Table large fund effect"""
Gary Cooper	gary_cooper_6023	69.0	82.1	40.2	"""Money word discuss reduce; Theory college letter 	 Stuff real run"""	"""(Indeed many baby help) 	 Without crime source watch just hospital and Range"""
Kenneth Davis	kenneth_davis_7820	96.0		25.2	"""Individual course resource: For determine him reduce	 Her several someone throughout"""	"""Note: Ground information	 then Thought international"""
Mrs. Angela Estrada PhD	mrs_phd_0378	89.0	2.1	49.2	"""(Table) 	 Week and Yourself interest newspaper"""	"""Current recognize; Reason fight fear loss 	 Physical though fire care"""
Amber Hansen	amber_hansen_6333	33.0	3.1	4.2	"""Really arrive	 Water shake Whatever help because involve"""	"""Note: Decide medical	 then Imagine research"""
Kelly Cunningham	kelly_cunningham_6576	89.0	61.1	98.2	"""Note: Clearly about	 then Option news"""	"""Consider increase: Source night almost fight	 Skill learn"""
