name;username;score;message
Melissa Jackson;melissa_jackson_3185;73.0;'''(Someone unit) ; Explain peace and Feeling crime act cultural analysis successful'''
Brooke Hernandez;brooke_hernandez_2370;33.0;'''Or record; Street key Society toward short determine'''
Dennis Shaffer;dennis_shaffer_5180;75.0;'''Billion message use pick: Western that; Until family recently charge'''
Priscilla Butler;priscilla_butler_0452;11.0;'''(List meet say boy identify) ; Shake often see dark and Less ahead his bit'''
Patricia Rivas;patricia_rivas_9872;25.0;'''Note: Deep event; then Especially serve well early'''
Zachary Coleman;zachary_coleman_9079;72.0;'''Note: Because anything attack; then Nature'''
Daniel Castillo;daniel_castillo_2700;61.0;'''Which worker billion whole: Model most large; Against sing'''
James Green;james_green_1991;93.0;'''(Once follow take) ; Family student and Him natural center'''
Keith Anderson;keith_anderson_1200;36.0;'''Note: City another; then Positive either argue size put'''
Rachel Dyer;rachel_dyer_4364;63.0;'''Note: Member week; then Him leg painting'''
Phyllis Richardson;phyllis_richardson_3510;49.0;'''Attorney answer: Available east couple; Without child'''
Cory Walton;cory_walton_5790;9.0;'''Expert fly maybe; Position memory before key star Structure scene paper'''
James Mills;james_mills_7103;63.0;'''(Nice point) ; Natural debate benefit physical clearly and Return'''
Joel Stephenson;joel_stephenson_6084;63.0;'''Not drop positive; Close school cut ; Woman'''
Andrew Olson;andrew_olson_9187;74.0;'''True: Term big program watch; Authority particular'''
Desiree Jones;desiree_jones_2865;53.0;'''Option state task; Accept hold nation Option'''
e;henry_munoz_7503;99.0;'''(Rather somebody) ; Market and Method effort'''
Jacob Ayers;jacob_ayers_6393;60.0;'''Through: Mrs month; Positive herself billion'''
Robert Lara;robert_lara_6065;;'''Note: Politics forward network to anyone; then Determine live'''
Kenneth Wood;kenneth_wood_8534;9.0;'''(Detail small occur wall) ; Ready whose and Team'''
Maria English;maria_english_1875;34.0;'''Once game; Feel offer fire ; Picture key'''
Matthew Haynes;matthew_haynes_7084;29.0;'''(Recent at no) ; State in thought and Player process respond'''
Shannon Mahoney;shannon_mahoney_8701;94.0;'''Resource: Require three campaign be late; Political reflect'''
Ronald Roberts;ronald_roberts_5315;50.0;'''Note: Appear why cover; then Significant after'''
Tyler Holt;tyler_holt_1217;24.0;'''Particular same; Member past ; Discuss defense stop fast'''
Kelly Anderson;kelly_anderson_7431;9.0;'''(Congress coach into probably) ; Best and Form less'''
Daniel Wolfe;daniel_wolfe_8568;70.0;'''(Recently success newspaper) ; Somebody and Page miss'''
Daniel Williams;daniel_williams_1717;59.0;'''Side leader area board million; Sign life ; One group shake his trial'''
Luis Mueller;luis_mueller_2007;6.0;'''Land white term; Would thing Always black'''
