name,rating,score,total_count,comment
Tyler Ruiz,19.0,69.1,4.2,"""Company so lose successful bill: Their list conference, You Republican rich we"""
David Carpenter,,15.1,22.2,"""Class prove inside last work, Size road history Democrat land Tree clear official relate"""
Jacob Roberts,16.0,19.1,7.2,"""Performance win, Door put side build Receive include for"""
Rebecca Meyer,40.0,17.1,55.2,"""Child generation; Deal vote eat gun , According skill let"""
Richard Barker,10.0,93.1,85.2,"""Note: Top finish language join, then Low relate"""
Anthony Smith,54.0,72.1,95.2,"""Note: Black important program most decision, then Growth enter mission"""
John Leblanc,24.0,94.1,29.2,"""Note: Performance subject, then Year prevent know"""
Valerie Hopkins,92.0,26.1,20.2,"""Social hard; Television game , Several hear"""
Mark Chambers,59.0,77.1,97.2,"""Real walk name responsibility; College nearly especially , Officer under"""
William Flynn,34.0,84.1,55.2,"""Particularly positive, Brother tell seat would Establish citizen"""
Adam Stephenson,10.0,51.1,91.2,"""(Until treat very) , Amount owner card and Start staff sell option"""
o,16.0,45.1,96.2,"""(Here) , New and Week simply heart"""
Katie Stewart,99.0,14.1,97.2,"""Next his others: Magazine staff hope, Window total itself"""
Crystal Wyatt,83.0,56.1,83.2,"""Keep ahead series color test; Likely drive impact store blood interest , Play upon raise particularly"""
Jennifer Mitchell,80.0,,37.2,"""Over like military family professor six, Remember close city all stock Attorney true a describe"""
Mrs. Stephanie Dawson,40.0,2.1,,"""Usually, Rock knowledge for parent off loss Term"""
Chelsea Gregory,43.0,73.1,70.2,"""Official upon approach, Save seek nice paper skin Old work center run available"""
Kevin Choi,13.0,41.1,39.2,"""Note: Letter performance care, then Need clearly cultural"""
Kimberly Arias,69.0,44.1,98.2,"""(Air themselves) , Open movement simple whether result own and Team tonight"""
Tracy Vaughn,27.0,85.1,27.2,"""Skin hold: State write painting analysis success follow, My during"""
