username	name	score	salary	remark
angela_garcia_7182	Angela Garcia	5.0	84.1	"""Note: Happen manage ever care often role	 then Foreign"""
michelle_maldonado_8533	Michelle Maldonado	16.0	100.1	"""Born quality	 Actually Fish police help yeah"""
sally_davis_2558	Sally Davis	60.0	75.1	"""Soldier turn	 World few industry able Avoid moment wonder"""
albert_tanner_0210	Albert Tanner	99.0	10.1	"""Note: Stay first red with	 then Month skill"""
kelsey_austin_0561	Kelsey Austin	55.0	67.1	"""Structure pressure mouth	 Billion teach security Foot gas"""
elizabeth_smith_9989	Elizabeth Smith	88.0	50.1	"""Cost	 Subject level painting whatever morning Seat by"""
lisa_thompson_4916	e	44.0	89.1	"""(Student reflect) 	 Thing decision and Me"""
david_frost_4804	David Frost	4.0	89.1	"""Tell already college cultural available	 Cost theory Contain question"""
erik_johnson_0140	Erik Johnson	94.0		"""Note: Various	 then Congress contain"""
jeffery_dennis_5299	Jeffery Dennis	93.0	94.1	"""Note: Voice analysis build	 then City friend but"""
cory_mcconnell_0278	Cory Mcconnell	85.0	22.1	"""Note: Character home truth behavior	 then Involve job audience"""
larry_navarro_9373	Larry Navarro	31.0	74.1	"""As particular answer	 Kid technology some their In fire"""
katie_martinez_4072	Katie Martinez	48.0	14.1	"""Baby herself third fight argue: Mouth process somebody	 Relationship help"""
bruce_md_0325	Bruce Keller MD	54.0	93.1	"""Note: Rest force major far	 then Edge five feel form edge light"""
felicia_walter_8661	Felicia Walter	71.0	97.1	"""Than; Nor audience condition 	 Democratic rate Republican while"""
dana_allen_1173	Dana Allen		48.1	"""(Machine) 	 Call smile and Cold store nature hit"""
nicole_vega_1025	Nicole Vega	81.0	18.1	"""(Can much small last social) 	 Billion notice safe and Bar yet"""
james_odonnell_9788	James Odonnell	29.0	16.1	"""(Debate serious act) 	 Understand decade lay page and Just but father south"""
jennifer_rios_1613	Jennifer Rios	31.0	62.1	"""Laugh economic cup push many trade; How describe traditional 	 Mouth worker"""
jamie_freeman_9752	Jamie Freeman	1.0	90.1	"""Note: Easy white staff	 then Friend machine"""
