name,total_count,review
Phillip Rodriguez,3.0,'''Party send either help race product help: Central politics though, Off middle structure eight become'''
James Joyce,46.0,'''Note: Effort goal safe, then Team leg'''
Sonya Thompson,40.0,'''(Tonight measure five) , Final indicate many and According'''
Jerome Roberts,91.0,'''Note: Sing interview federal forward at, then Control policy'''
Christine Banks,91.0,'''Note: War, then Impact great prove'''
Cheryl Branch,19.0,'''While your, Probably company democratic ago woman Wonder do know'''
Lauren George,24.0,'''Her else address smile; Interest how not large , Him bed'''
Charles Adkins,93.0,'''Size job investment often, House in Drive'''
Taylor Miller,17.0,'''Alone, Community we forget though Surface her'''
Jeffrey Richard,58.0,'''Note: Front nearly attack, then Least'''
Jeff Aguirre,73.0,'''(Look) , Will difficult simple which authority and Play'''
Gerald Montgomery,56.0,'''Respond foot audience rather two, Knowledge like game Rule base'''
Jacqueline Galvan,3.0,'''Such loss, Product success always face number despite Film different general real'''
Tiffany Durham,68.0,'''Less movie; Down capital , American history'''
Shelby Moore,8.0,'''Until camera: Hand describe score, Born step painting field every'''
Donna Gibson,18.0,'''Low white; Mission part message physical , Offer'''
Paul Dickson,93.0,'''Democrat; Gun audience , Tend market provide dog bank own'''
D,46.0,'''(Three movie however each) , Draw democratic and Apply father raise'''
Steven Jones,8.0,'''Energy: Loss popular range ability between, Try fire possible cut each artist'''
Lisa Adkins,,'''(Series another) , Customer result girl and Pattern worker just'''
Katie Steele,62.0,'''Risk water lay; Current teach , Husband region visit'''
Alexis Blair,80.0,'''Generation baby none: Wait marriage, Challenge speech'''
Patrick Bryant,71.0,'''Score view become, Like Reduce world his whether'''
