name;username;price;review;note
Mark Hebert;mark_hebert_6055;14.0;"""Study; Rise doctor upon popular example Fly yet""";"""Seem pick; Represent Personal position"""
Destiny Terry;destiny_terry_1222;60.0;"""Sing see stay peace movie: Such what; Machine success whether benefit car""";"""Worry stay father; Figure Seem record body thank"""
Samuel Smith;samuel_smith_6466;1.0;"""Better before another popular surface; Rate product significant may beautiful baby ; View save kid common admit""";"""Finally federal; Wait shoulder hotel ; Eye world"""
Thomas Cervantes;thomas_cervantes_5786;74.0;"""Language; Win year answer experience ; Bed many deep view his wait""";"""Guess might ability; Find ; Write prepare bag government"""
Kristi Perez;kristi_perez_3237;7.0;"""(His writer top answer look) ; Economic stand but and Thing loss administration trouble between""";"""Break recently sit; Child attack ; Likely PM early different even nearly"""
Rebecca Hoover;rebecca_hoover_7115;69.0;"""Thus provide capital: Down game make remain; Require small teach although wish""";"""Why food: Thing laugh series world without; Decide could station"""
Mr. Anthony Schmidt;mr_schmidt_9206;61.0;"""Note: Strong; then House idea us""";"""Power from; Toward ; Particularly certain"""
Timothy Bates;timothy_bates_2918;55.0;"""Voice soon need; By yeah manage ; Beyond something music pick course""";"""Stop its dinner; The ; Record start"""
Carla Williams;carla_williams_6708;71.0;"""Note: As evidence; then Treatment""";"""Ten box; Center Democrat offer man Sure this"""
Michael Morgan;michael_morgan_4045;27.0;"""(Fact hold) ; Staff try husband and Leg home kitchen teach billion might""";"""Add; Network responsibility natural people visit ; Investment common marriage"""
Jodi Murphy;jodi_murphy_4569;50.0;"""Phone section; Time around continue camera view To method two region""";"""Note: Back effort though mention; then Real figure"""
Victor Hawkins;victor_hawkins_8057;21.0;"""Note: Choose around; then To participant buy""";"""Director item high outside school situation: He from; Shake mission society"""
Sarah Holt;sarah_holt_7333;83.0;"""Knowledge; May ; Suddenly""";"""Major rather teach through maintain what: Than base position; Through career"""
Melissa Lucas;melissa_lucas_3464;41.0;"""True fine up; Line election west team ; Thus push final water""";"""(Forget history) ; Something mouth between share and Admit"""
Juan White;juan_white_2297;77.0;"""Ahead: Tend me seem rest; Even economic""";"""Let city; List reason ; Seek leg we"""
l;robert_jones_5293;34.0;"""Note: Mission force total nor paper; then Wall although""";"""Media ball avoid more; Owner claim Claim professional"""
Nicholas Santos;nicholas_santos_1594;43.0;"""Indeed: Fight; Money avoid science also attorney manage""";"""Any all strategy listen; Until ten exactly account Issue then"""
Joseph Mendoza;joseph_mendoza_6281;76.0;"""Teacher perform: Wind whatever always family maintain; Analysis here sort century""";"""Rest keep authority want: Majority fill; Worry particularly"""
Matthew Nicholson;matthew_nicholson_5736;65.0;"""Hit anything season admit; Pattern else history ; Conference model""";"""A cover; Sport beyond military even as ; Simply left join today"""
Elizabeth Potter;elizabeth_potter_8246;68.0;"""Book believe; Like statement have bad accept local Certainly region""";"""Wear for arm chance; Support director still Room perform tonight"""
Kristin Arnold;kristin_arnold_1528;;"""(Former) ; Reality and Receive across would instead coach""";"""Front: Cost security; Democrat art education ability"""
