name,username,salary,note,message
Jill Lee,jill_lee_4966,16.0,"""(Optio fugiat soluta voluptatem) , Eum officiis vitae sequi quae and Rem neque mollitia""","""Nam occaecati vitae vel: Facilis ut ea, Libero quae vitae"""
Dr Patrick Taylor,dr_taylor_0181,47.0,"""(At dolorum dolor officiis) , Nesciunt fugiat and Veniam voluptatibus consectetur""","""Minima minus modi eius; Corrupti , Quis illo officiis dignissimos"""
Sylvia Robinson,sylvia_robinson_2888,54.0,"""Note: Officia alias temporibus, then Exercitationem""","""(Pariatur inventore aliquam) , Distinctio minus enim modi quo autem and Sit incidunt"""
Joel Hammond,joel_hammond_5412,97.0,"""Dignissimos, Harum quaerat Eaque minima""","""(Molestias) , Sed labore voluptatibus asperiores and Voluptas molestiae ratione"""
Anthony Parker-Morris,anthony_morris_8611,42.0,"""(Recusandae excepturi similique) , Nostrum nam and Aliquam perferendis""","""(Itaque iusto ullam tempora) , Non earum and Voluptatum corrupti laborum"""
Daniel Marshall,daniel_marshall_2955,85.0,"""Officiis quibusdam temporibus praesentium, Ut at voluptas Ducimus incidunt""","""Note: Vel assumenda, then Consectetur ex quaerat"""
Dr Callum Charlton,dr_charlton_5400,99.0,"""(Possimus minima) , Unde eligendi and Id perferendis consequuntur""","""Aspernatur magni eius: Laboriosam odit, Iusto ratione"""
Peter Norman,peter_norman_2823,,"""Repellat dignissimos, Ullam consequatur Tempora""","""Unde eum; Ratione animi blanditiis , Odit quam tenetur"""
Jordan Barlow,jordan_barlow_8879,23.0,"""Quod cum deleniti natus eaque odio: At qui, Nulla rerum""","""(Error repellendus) , In error doloremque and Unde autem mollitia vel fugiat"""
Owen Rahman,owen_rahman_1220,67.0,"""(Exercitationem at id nam) , Quis possimus sit mollitia and Nam earum magni nam corrupti""","""Note: Mollitia eligendi, then Voluptatum occaecati"""
Tina Bates,tina_bates_6221,73.0,"""Dignissimos asperiores: Voluptates, Cumque quam""","""Repellat dicta quidem consectetur, Similique Impedit maiores quis illum"""
Carol Walsh,carol_walsh_9071,65.0,"""Commodi natus necessitatibus molestias nisi necessitatibus consectetur: Pariatur nobis, Hic minima ipsum""","""Note: Nihil nostrum porro excepturi consequatur quis, then Adipisci odio ad accusamus"""
Miss Lesley Hancock,miss_hancock_0945,19.0,"""Note: Nisi doloremque, then Optio doloremque quibusdam""","""(Corrupti) , Voluptates esse non perspiciatis and Velit nihil"""
Adam John,adam_john_6632,42.0,"""Ipsum quibusdam; Deleniti dolorum unde earum nulla , Accusantium""","""Eius quae doloremque, Aspernatur commodi libero Laborum"""
Gail Holmes,gail_holmes_4713,4.0,"""(Quisquam soluta) , Dolore consectetur iste reiciendis quaerat and Laborum consectetur""","""Earum quae laborum deleniti occaecati totam, Esse ipsam dolorem Incidunt ducimus temporibus consequatur"""
Jacob Robinson-Green,jacob_green_5165,95.0,"""Autem facere quasi, Mollitia Vitae occaecati culpa dolore libero esse""","""(Autem nesciunt aliquam) , Totam ipsa aspernatur molestias and Blanditiis error"""
Mr William Powell,mr_powell_3043,23.0,"""Earum expedita provident, Aut magni ipsum alias Corporis cupiditate dicta odit laudantium dicta""","""Quis quam ut, Vero aut Tenetur soluta pariatur perferendis nisi"""
Terence Singh,terence_singh_2745,70.0,"""Iste quidem impedit fugiat; Excepturi , Possimus adipisci rem itaque tenetur repellendus""","""Note: Aliquid vel, then Ducimus inventore aut"""
Miss Joanne Knowles,miss_knowles_7446,15.0,"""Note: Hic eligendi aliquid, then Repudiandae""","""(Dignissimos fugit natus) , Est itaque and Et veritatis"""
