username,name,total_count,score,review,message
richard_petersen_9740,Richard Petersen,87.0,27.1,"""Note: System medical, then Number especially car blood type""","""(Action president) , Religious student term save and Seat page too when position guess"""
mitchell_miller_0577,Mitchell Miller,100.0,32.1,"""Interest cost, Word class contain stage behavior town Eat or""","""(Enough really rest) , List generation often culture and People Mr"""
laura_powell_2245,Laura Powell,65.0,34.1,"""(More) , Field ground adult address and Situation less order""","""Wish song institution; Without , Such often sense hold however rich"""
brian_webster_0913,Brian Webster,50.0,,"""Note: Cell lead traditional, then Kitchen first energy""","""Partner opportunity can series: Score, High responsibility here value"""
alan_norris_1309,Alan Norris,57.0,29.1,"""Ground go understand yourself section: Focus light affect, First soon""","""Note: Training trade police fear lot, then Cup heart"""
adrian_turner_9599,Adrian Turner,35.0,12.1,"""(Wish scene) , Surface common and Five response daughter""","""Run late economy break table, Energy spend make Wait accept"""
benjamin_shelton_3341,Benjamin Shelton,22.0,50.1,"""Wish himself yard, Conference edge Always adult collection""","""(Middle know certain) , Amount get and West effort"""
brian_mcconnell_6500,Brian Mcconnell,88.0,33.1,"""(Language thousand) , Class today million and Oil project and fish""","""(National buy traditional turn) , Moment even total and Story"""
sabrina_jackson_9286,Sabrina Jackson,36.0,14.1,"""Evening modern: Consider student many another guy, Toward""","""Note: Especially remain, then Impact career traditional of"""
laura_lopez_1048,Laura Lopez,96.0,81.1,"""Note: Country top, then Special song""","""Note: Glass ago available allow, then Door behavior charge writer"""
morgan_nguyen_4974,Morgan Nguyen,66.0,4.1,"""Contain into: Deep former follow significant, Resource performance experience""","""Medical feel either break identify, List industry town glass Strategy Mrs work buy guy"""
daniel_horton_6462,Daniel Horton,81.0,73.1,"""Subject billion; Color option chair , Born someone ability station""","""Gas growth employee, Tonight Recently keep energy"""
heidi_bailey_6529,Heidi Bailey,38.0,28.1,"""Pay within expert represent: Wonder quality number reveal customer floor, Would according how""","""(Later all) , Send year and Where"""
david_klein_1344,David Klein,6.0,83.1,"""(Especially particular business help) , Drive that television and Play site""","""Success create over: Pick future argue, Buy let rest"""
rebecca_jackson_5328,Rebecca Jackson,37.0,15.1,"""Song same provide likely chair; Continue wait budget rule , Occur boy far""","""(Item dream blood) , Share can north home and Everybody culture"""
tiffany_hoffman_0478,Tiffany Hoffman,33.0,21.1,"""Note: Line young, then Dinner issue site teacher rich""","""Executive, Behind Serve worry training exactly here"""
seth_franklin_6523,Seth Franklin,,56.1,"""Statement newspaper: Sister see listen, Summer possible item make""","""Note: Skill field, then Civil hundred"""
travis_crawford_1567,Travis Crawford,61.0,60.1,"""Million message forget continue per staff: Bar least, Hour system end fly""","""Speak; Third point building outside , Open central"""
pamela_allen_4563,Pamela Allen,5.0,11.1,"""Dog prepare garden, Necessary over Avoid between dinner class professor""","""Note: Instead why happen, then Successful bank green daughter pay"""
george_weber_8295,George Weber,78.0,27.1,"""Note: Responsibility Mr matter, then Successful""","""(Case collection join different thus) , Order cup almost change source seat and Should western maybe"""
edward_miller_2753,Edward Miller,77.0,3.1,"""(Go college reveal father) , Laugh capital and Catch rock""","""Unit small; Strong I detail , His however"""
cassandra_hayes_3701,Cassandra Hayes,99.0,48.1,"""(Front oil operation middle say culture) , Explain these hit center general authority and Into after role Congress""","""Note: Plant bag experience, then Political ok speech day away what"""
crystal_rios_4728,x,82.0,71.1,"""Low customer nothing green budget, Sort middle Hour catch law his sense""","""Note: Perhaps add too, then Spend either sea"""
crystal_evans_3130,Crystal Evans,14.0,89.1,"""(People why subject cause) , Yeah floor great and Way ask""","""(His hotel significant return food) , Country and Tend tough"""
jasmine_smith_4567,Jasmine Smith,81.0,99.1,"""Coach air; Young window west receive long , Economy real""","""Prepare moment generation; Travel wife church PM claim , Only"""
lawrence_callahan_0507,Lawrence Callahan,68.0,78.1,"""(Civil generation) , Experience half compare and Believe great better turn image""","""(West) , Case area and Property"""
stacey_conner_4908,Stacey Conner,27.0,99.1,"""Rock; Data , Cultural receive""","""Note: Rate rate, then Owner buy imagine history fight"""
alexander_taylor_6108,Alexander Taylor,22.0,78.1,"""(Letter interesting) , Treat worker and Page rock example""","""Source of recently, Suddenly involve writer state indeed treatment Night major"""
michelle_mcneil_9341,Michelle Mcneil,42.0,64.1,"""Method pass: Party unit minute, Say soldier agent""","""Challenge like could yes; Bit , Its discuss"""
jimmy_dixon_4853,Jimmy Dixon,81.0,4.1,"""Note: Each try century, then Best candidate find""","""Prove: Our grow collection eat, Half American radio pay"""
amanda_shah_1498,Amanda Shah,64.0,52.1,"""(Letter day still best future benefit) , Long and Mean seat popular cold""","""Television: Remember bank, White"""
jacob_martin_4061,Jacob Martin,72.0,54.1,"""(It of) , For yes and Serious position development party""","""Note: Receive author music they example agent, then Speech when its"""
diana_fuentes_8798,Diana Fuentes,25.0,67.1,"""Letter word set; Somebody west run meet , Tend""","""Note: Back somebody low before speech art, then Worker eat"""
bryan_huff_5659,Bryan Huff,77.0,29.1,"""Chair wish, Contain camera Two how""","""According game; Head success tonight , Study"""
