name	username	score	total_count	description
Marcus Brooks	marcus_brooks_0494	59.0	98.1	"""Earum quasi omnis: Cumque sequi placeat tempora	 Assumenda"""
Sophie Harvey	sophie_harvey_1269	44.0	42.1	"""Illum libero: Exercitationem possimus sed eveniet error	 Veniam nesciunt sunt eaque quibusdam illo"""
Leigh Butler	leigh_butler_0707	6.0	80.1	"""Id sit dolorem: Repellat	 Inventore aspernatur officia"""
Nicola Horton	nicola_horton_0570	84.0	71.1	"""Qui quaerat recusandae	 Sint sit Totam"""
Ruth Johnson	ruth_johnson_8719	32.0	78.1	"""Quis; Perferendis natus 	 Dignissimos vitae ducimus voluptatem"""
Ronald Whittaker	ronald_whittaker_9533	24.0	8.1	"""Note: Perspiciatis commodi	 then Earum dicta vel perspiciatis"""
Natalie Simpson	natalie_simpson_6928	2.0	35.1	"""Delectus distinctio; Laboriosam necessitatibus 	 Dolore ipsum"""
Linda Baker	linda_baker_5270	20.0	31.1	"""Corporis deleniti: Suscipit ducimus possimus	 Perspiciatis nihil"""
Dr Dorothy Johnston	dr_johnston_6895	15.0	73.1	"""Perspiciatis facilis deserunt: Velit eveniet nostrum perspiciatis et odio	 Impedit earum quia inventore nam"""
Rachel Martin	rachel_martin_9451		67.1	"""Note: Incidunt tempora	 then Mollitia deserunt nobis"""
Darren Brown	darren_brown_6241	54.0	53.1	"""Note: Nihil nulla	 then Beatae ex"""
Philip Marshall	philip_marshall_6458	83.0	98.1	"""(Nulla dolore) 	 Dignissimos eveniet and Impedit nisi"""
Ms Frances Shah	ms_shah_7393	23.0	83.1	"""Eius consectetur eligendi; Reiciendis minima 	 Labore alias repellendus saepe amet"""
o	benjamin_brennan_8385	62.0	52.1	"""(Doloribus exercitationem et iure facere) 	 Nesciunt earum pariatur and Quis neque fugiat"""
Ms Deborah Martin	ms_martin_9163	5.0	13.1	"""Magnam similique	 Deserunt Sint ad praesentium reprehenderit"""
Vanessa Thomas	vanessa_thomas_1568	89.0	53.1	"""Quam voluptatem ipsam	 Laboriosam Facilis itaque"""
Charlotte Davis	charlotte_davis_5879	6.0		"""Accusamus iusto	 Impedit deleniti deserunt Iure"""
Amanda Patterson	amanda_patterson_4931	81.0	41.1	"""Praesentium reiciendis officia: Possimus reprehenderit dolor modi	 Nihil"""
Ryan Patterson	ryan_patterson_7664	51.0	23.1	"""(Natus) 	 Quasi and Laudantium id"""
Julia Evans-Young	julia_young_4554	73.0	22.1	"""Iste recusandae consequatur: Optio incidunt temporibus iure	 Nam iusto maxime"""
Victor Sutton	victor_sutton_9248	18.0	6.1	"""Odio quia: Cumque error fugiat	 Illo earum"""
Jenna Clark-Barker	jenna_barker_9197	51.0	27.1	"""Molestiae quasi laudantium	 Tenetur neque quaerat Ipsa facilis corporis error"""
