# This is a comment line to skip
name,price,total_count,review,message
Sandra Kemp,92.0,40.1,"""Note: Kitchen, then Happen information everyone""","""Note: Around talk add base management, then Dinner focus ask many word with"""
John Sanders,12.0,37.1,"""Trade record table; Security our , Executive father than factor rule""","""One much; Under card crime , Base beautiful"""
Anthony Hood,24.0,,"""Rule hair economic lose: Sport culture hit, Marriage almost""","""Note: Air age, then Rock describe here according ok local"""
David Jones,24.0,56.1,"""Note: Whatever challenge suffer wish, then Year fine finish general""","""Coach do job sport, Quickly question Truth seek"""
Cindy Graham,55.0,98.1,"""Note: Alone may score health customer, then Officer buy third""","""Whether method serious may person: Security, Quality general wall"""
Julie Morris,90.0,56.1,"""(Way) , Middle indeed and Likely mean growth debate scientist""","""Window yet, Matter job rich With on current fact"""
Thomas Jenkins,99.0,81.1,"""Law hard; Though however pass population , Spring score save ago act""","""Future almost over; Former away amount fact , Middle last tonight gas"""
Candice Gonzalez,20.0,50.1,"""(Example husband) , Wall at operation fast and Wish relate""","""While detail travel age together strong: Protect consider mind service, Kid woman return"""
Wendy Perez,76.0,73.1,"""(Worry produce) , Garden development and Role various region""","""Perform just director hope, Agreement news allow Shoulder together tend"""
Juan Castillo,91.0,82.1,"""Night audience; Land question station about relate , National live night""","""Investment bring where, Tend sort especially where Ago change wide magazine"""
Patricia Mitchell,63.0,73.1,"""Its explain, Medical smile Crime director old not training""","""(Parent energy) , Once under professor return and Usually major purpose"""
Natalie Collins,2.0,36.1,"""Factor sell field, Outside treat Environment kid mission""","""Nor particular; Sign region , Although player arrive minute"""
Dylan Thomas,25.0,3.1,"""Give law: Including future fact material, Together college may""","""Note: Throw already rest, then Window"""
Tammy Hahn,99.0,76.1,"""(Task Republican far father own) , Stuff and Whose shake carry""","""Morning guy: Event necessary, Suffer impact economy"""
Lauren King,4.0,90.1,"""Note: Relate agent along, then Best simple need maintain""","""Receive small: Night magazine, Himself camera"""
Todd Rivera,68.0,88.1,"""Dark third stage, We look Late call on he try""","""(Yet to specific next significant while) , No movie budget best and Herself teach drive cut strong"""
Matthew Frost,29.0,14.1,"""Note: Anything, then Office""","""Worry send often: Worker she cost, Create area"""
Rose Johnson,76.0,36.1,"""Upon direction couple, Whose likely natural way Ahead behavior""","""Drop reason, Final sense white clearly Student plant card another"""
Zachary Cochran,35.0,31.1,"""Particularly family; Design leave , Already Mrs prevent""","""Role teacher; Accept single , Moment"""
D,57.0,81.1,"""Outside discussion, Without truth bag Religious specific international""","""By sort later: Write stuff spring system film east, Sound business term card challenge career outside"""
Valerie Austin,48.0,12.1,"""Note: North north food, then Rate vote approach media avoid foot""","""Later, Mr officer approach hospital federal Daughter chance easy"""
Matthew Herrera,63.0,46.1,"""Note: Hear drive yes art in, then Threat crime""","""Others; Music billion , Order term fight"""
Seth Rangel,35.0,21.1,"""Note: Pressure medical purpose trade deal, then Group true""","""Only stuff recent, Color form television Election use there natural history"""
Donald Robinson,,57.1,"""Lay recently; Arrive road she computer rest , Care lot analysis great since green""","""Positive prepare feel, Quite early others mouth put process Gun thought memory share"""
Kathleen Jordan,48.0,80.1,"""Specific, Hotel itself bag describe Young mind""","""(Front idea type remain last physical) , At couple some whom more and Guess home"""
Anthony Mills,94.0,45.1,"""(Ball want specific organization) , Power production and For rich trade think society another""","""(Box) , Can community do successful call and Place partner sea accept sometimes"""
Bryan Wilson,24.0,53.1,"""(Ground with take) , Office act sign and Him summer shake quality""","""At door; Score herself Democrat up whose , Rule"""
Heather Mora,85.0,54.1,"""Including field recognize occur; Gas brother , Daughter""","""Style year really: North doctor, Offer real"""
Richard Hull,23.0,82.1,"""(Type she industry film happy) , Reduce and Contain thought first""","""Pass any: She, Standard"""
Ariel Stevenson,99.0,31.1,"""Congress, Art born back cold Will cover might""","""Gas stand born under call decision, Fund some product room Prove focus head"""
Gary Hall,45.0,22.1,"""Note: Hair identify president treat, then Should call rise""","""Best throw ask toward expert across, Fill rock page through Mrs deal finish send"""
Devon Cross,20.0,24.1,"""Tv positive physical least allow; Market , Ahead fund""","""Experience rule, Agent Song sing strong"""
Thomas Mcpherson,48.0,79.1,"""Want professional accept; Health , Since""","""(Apply change oil however) , Public despite talk plan and Purpose hard of"""
