username,name,price,salary,rating,description
kathleen_robinson_8470,Kathleen Robinson,54.0,33.1,75.2,"""Tax: Sit week campaign myself team, Imagine hotel"""
jason_webb_8205,Jason Webb,14.0,97.1,95.2,"""Note: Skin risk green black, then Learn various than"""
william_williams_7194,William Williams,13.0,40.1,99.2,"""Drive deal, Option use live sit Where air"""
roger_duke_7609,Roger Duke,38.0,94.1,45.2,"""(Alone red) , Support white quality and Area best"""
nicole_watkins_4594,Nicole Watkins,28.0,88.1,32.2,"""Arrive red make there church: Rise still, Than specific world"""
charles_bass_1420,Charles Bass,21.0,56.1,91.2,"""Note: Suffer close most including, then Notice paper hold seven"""
brittany_robinson_7346,Brittany Robinson,70.0,23.1,,"""(Threat difficult deal us leave) , Myself another and Debate"""
teresa_osborne_6621,Teresa Osborne,86.0,21.1,20.2,"""Final case, Tough Capital protect during pay phone"""
mary_morris_4259,Mary Morris,6.0,37.1,25.2,"""Should, Some area model Author"""
brian_jones_6805,Brian Jones,4.0,45.1,78.2,"""Suffer themselves human mission, Arm at cut president watch Go"""
michelle_moore_4524,Michelle Moore,63.0,74.1,10.2,"""Sit; Future court , Quite"""
douglas_mcbride_1320,Douglas Mcbride,77.0,9.1,28.2,"""Full common figure: Seem media join military, Behind race"""
kenneth_burns_0880,Kenneth Burns,63.0,94.1,74.2,"""(Course nature series particularly peace number) , Century find color and Score baby reveal interview activity prepare wind"""
jennifer_hubbard_8538,Jennifer Hubbard,33.0,,86.2,"""Itself allow: Agreement bank, Magazine candidate beat"""
rhonda_martinez_6788,Rhonda Martinez,92.0,67.1,100.2,"""Put heavy open; Then finally , Defense modern option"""
james_allen_6949,James Allen,,82.1,52.2,"""Tough memory doctor, Past thought official itself director Before"""
patricia_stafford_4453,Patricia Stafford,47.0,77.1,45.2,"""Mission, Baby factor product Sister"""
michael_english_7953,Michael English,75.0,64.1,14.2,"""Few tell star its; Blue factor doctor , Color item"""
anna_martinez_6438,Anna Martinez,18.0,66.1,71.2,"""Together west will us practice either; Small off best , Everybody which establish across ahead"""
sarah_watson_0285,l,94.0,60.1,53.2,"""Goal pressure: Recognize research, Smile"""
