# This is a comment line to skip
username;name;salary;score;note
dr_bray_9347;Dr Dale Bray;67.0;11.1;'''(Repellendus dolor cum) ; Natus veritatis asperiores and Ipsam corporis quas'''
anna_thomas_5309;Anna Thomas;25.0;26.1;'''Note: Cupiditate odio; then Maiores explicabo'''
dr_nixon_3099;A;67.0;;'''(Asperiores inventore inventore) ; Non odit voluptatum maiores and Ea aliquam doloribus'''
sylvia_robinson_1153;Sylvia Robinson;100.0;60.1;'''Totam facere odio nihil neque aliquid; Nemo nemo accusamus voluptate deleniti assumenda Nihil sit debitis cumque'''
ms_hawkins_3173;Ms Leanne Hawkins;99.0;20.1;'''(Exercitationem molestias modi cumque minima) ; Iusto earum suscipit sit and Nam expedita ab error vel'''
diana_smith_5771;Diana Smith;;8.1;'''Note: Autem nostrum laudantium; then Magni consectetur'''
andrea_doyle_4512;Andrea Doyle;69.0;98.1;'''Note: Modi; then Odio occaecati error'''
hayley_hunt_4633;Hayley Shepherd-Hunt;59.0;67.1;'''Note: Cumque molestiae; then Consequatur maiores est'''
mr_porter_0336;Mr Ricky Porter;46.0;88.1;'''Dolores nesciunt saepe eos totam; Harum qui quibusdam incidunt voluptate Rerum autem accusantium'''
beth_lynch_2450;Beth Lynch;75.0;37.1;'''Provident nesciunt; Laudantium ; Fugiat esse'''
mrs_frost_5437;Mrs Jessica Frost;72.0;93.1;'''(Aliquid repellendus quasi eligendi rerum) ; Numquam and Aliquid quo'''
roger_cox_6938;Roger Cox;71.0;2.1;'''Sint consequuntur perspiciatis voluptatem debitis; Iure dolorum quod Ipsam officiis cupiditate'''
graeme_hughes_2025;Graeme Hughes;43.0;72.1;'''Note: Assumenda; then A nisi'''
christine_smith_2817;Christine Smith;20.0;59.1;'''(Tempore facilis eos suscipit) ; Suscipit and Modi eius quibusdam'''
dr_hunter_2351;Dr Geoffrey Hunter;41.0;45.1;'''(Sint optio) ; Hic provident and Repellendus labore'''
alexandra_williams_1852;Alexandra Williams;69.0;52.1;'''Repellendus: Inventore magni; Similique magni nemo tempora corrupti'''
ellie_johnson_5626;Ellie Collins-Johnson;41.0;47.1;'''(Delectus ipsam quis quidem sit asperiores) ; Beatae sed ad and Occaecati'''
dr_cartwright_9180;Dr Jay Cartwright;69.0;8.1;'''Note: Nostrum molestias animi quisquam distinctio laudantium; then Aliquam'''
simon_walker_1370;Simon Walker;4.0;48.1;'''(Dicta commodi aperiam soluta) ; Nulla nisi eaque iusto and Rerum laboriosam'''
dominic_graham_0063;Dominic Graham;82.0;25.1;'''Et; Quia eum mollitia consequatur ; Voluptas quod consectetur'''
cheryl_perry_8234;Cheryl Perry;50.0;48.1;'''Voluptas fugiat esse debitis; Exercitationem ea Veritatis asperiores sapiente cupiditate ratione'''
eleanor_smith_3580;Eleanor Price-Smith;92.0;16.1;'''Note: Iusto perspiciatis tempora; then Qui'''
dr_davis_7327;Dr Megan Davis;12.0;11.1;'''Note: Consequatur eos laudantium; then Ea optio'''
william_hughes_5501;William Hughes;51.0;98.1;'''Note: Id quos recusandae; then Amet quidem'''
victoria_brown_3102;Victoria Brown;11.0;54.1;'''(Omnis doloremque alias) ; Soluta provident and Nam iusto repudiandae repellat molestias itaque'''
