# This is a comment line to skip
username,total_count,review
angie_macdonald_8166,70.0,"""(Leave specific recent old eat) , Soldier boy follow traditional and Yet it certainly"""
ana_matthews_5928,83.0,"""High wait hour class friend: Learn expect certainly effect, Young community"""
vickie_davis_6633,3.0,"""Note: Near stop provide start, then Career"""
jennifer_morrow_8586,,"""Note: Grow, then Yet explain style baby"""
steven_olson_6000,9.0,"""Note: Government, then Personal financial camera time attention"""
carmen_sims_3541,29.0,"""Establish language long family: Career such another point family, Everyone son after"""
karina_johnson_4750,69.0,"""Research child: Political appear song, All between member"""
andrew_howard_2869,99.0,"""Article after; Finish song trade , Relationship including consumer"""
patrick_young_2359,57.0,"""Note: Voice decision interview region, then Staff support general could figure"""
cesar_knight_0035,50.0,"""Hit like: Natural player far director car, Less room"""
robert_gonzalez_7504,62.0,"""(Girl) , Action eat trouble agree his and Pattern he source act"""
emily_moreno_3949,19.0,"""Way walk kind, Compare social wonder Attack case if range life we"""
nicole_pierce_9761,100.0,"""Meeting light state, Evening suffer reality blue development idea Sport free others"""
nicole_parsons_3574,45.0,"""Key one visit: Themselves move what because protect side, Thus first thousand move season"""
angela_fields_0999,57.0,"""Manage type; Position guy , Start voice sense"""
amy_hopkins_6482,36.0,"""Vote least always; Argue whom , Interview particular outside mouth"""
john_moon_1555,69.0,"""Budget, Professional drop money well Build"""
brian_friedman_1787,56.0,"""(Beautiful common be song project) , Will high reflect and Have"""
scott_greene_0915,8.0,"""At: Baby, Far result recently field"""
shannon_phd_1810,79.0,"""(Improve behavior) , Together describe and Computer stuff stage"""
franklin_ramos_0539,48.0,"""Suddenly teacher become: Prevent note, Nation"""
