username;name;score;age;rating;description;message
bonnie_james_7326;Bonnie James;1.0;20.1;63.2;"""Different: Explain candidate choice scientist person opportunity; Teacher we scene""";"""Note: Choose according however information source; then Soon late they"""
taylor_cross_5924;Taylor Cross;98.0;85.1;89.2;"""Well foreign: Region sell city opportunity could billion; Former direction""";"""Provide plan per office; Word ; Own yard"""
alexandra_price_8925;Alexandra Price;86.0;54.1;49.2;"""Note: Can song church political; then You""";"""Effort; Part let Loss along rich"""
david_miller_3193;David Miller;45.0;57.1;77.2;"""Investment out rather: Rate American eat bad ok; Ask recognize leg local""";"""(Crime government simply station) ; Bar central perhaps might and Summer"""
james_olson_4104;James Olson;36.0;41.1;37.2;"""Investment else until; Subject fish ; Air claim none""";"""Court hospital go; Believe relationship whom ; Degree cover business born"""
gary_rodriguez_3465;Gary Rodriguez;58.0;;96.2;"""Ok life; Forget be discover rather drug ball ; Site between herself develop view some""";"""Note: Chair off business; then Market management matter nice"""
kyle_peterson_8375;o;24.0;90.1;;"""Note: Suggest those hard; then Less""";"""Traditional deep: Mention glass; Those"""
alex_rios_7806;Alex Rios;80.0;84.1;54.2;"""(First) ; Newspaper hit over need purpose and Themselves""";"""(Thank chair) ; Society although buy and Candidate"""
ryan_flores_2865;Ryan Flores;50.0;13.1;32.2;"""Fire: Save center stage wait public; Study""";"""One music although worry: Different face she; Institution discuss probably pattern pull best"""
richard_mueller_8783;Richard Mueller;;30.1;11.2;"""Source miss decision; Something modern ; State wind probably set""";"""Each property individual reflect eight: Culture design accept; Let debate expert for factor age"""
kenneth_lara_8341;Kenneth Lara;56.0;80.1;54.2;"""(Eye the low) ; Itself consider local without and Theory management security plan manager""";"""Note: Instead house once; then Bring know each"""
todd_santana_1269;Todd Santana;59.0;91.1;34.2;"""Perform religious room mission however: Leg common; Radio away artist""";"""Note: Can study; then Hotel owner"""
ian_sanford_1007;Ian Sanford;45.0;89.1;97.2;"""Note: Will million name center speak; then Guess evidence between case""";"""Note: Left operation; then Suffer enough while get popular its"""
michelle_mcbride_0943;Michelle Mcbride;56.0;88.1;44.2;"""Note: Call operation others end; then Hundred six""";"""(Meet hand mother) ; Worry technology before and Experience"""
catherine_oneal_1162;Catherine Oneal;36.0;6.1;24.2;"""Note: Foreign reason begin say detail; then Safe look""";"""Miss international upon; News whose at increase ; Friend such"""
monica_young_3050;Monica Young;35.0;5.1;29.2;"""In color; Market since situation ; Shake state""";"""Poor; Cultural could ; Natural item"""
joseph_gregory_3770;Joseph Gregory;89.0;94.1;64.2;"""Note: Once rock site; then No race""";"""Woman challenge: Business recognize; Trip possible which"""
brittany_hayes_8408;Brittany Hayes;63.0;22.1;52.2;"""Note: Her performance; then Money our""";"""Hard perform; Page once media shake hand mission ; Reality matter"""
nicholas_johnson_8068;Nicholas Johnson;62.0;51.1;22.2;"""Note: Hope; then Car sell measure skin""";"""Note: Kid well color; then Learn church arrive"""
ross_kelly_4803;Ross Kelly;87.0;98.1;64.2;"""Will total try: However; At race national""";"""Fund election; New seat he ; Lay where both rock"""
frank_shelton_2992;Frank Shelton;59.0;95.1;84.2;"""Room clearly: Rise life; Speech government series""";"""Note: Attorney; then Class stop information police whole"""
frank_stafford_9861;Frank Stafford;16.0;83.1;15.2;"""(First staff seek) ; My accept rule and Question""";"""Note: Let safe; then Traditional"""
victor_mueller_3801;Victor Mueller;15.0;48.1;69.2;"""(Board figure success remain) ; Want recent offer and Probably add""";"""Kid young more plan Mrs; Ever ; Discuss cause sometimes"""
andrea_maddox_9578;Andrea Maddox;67.0;66.1;91.2;"""(Guess good senior) ; Build building and Right to""";"""Rest apply; Analysis ever key expect yard ; Pm pick"""
