username,name,age,total_count,summary
james_myers_6214,James Myers,80.0,49.1,"""Inside late; Feel , Want top home near"""
jared_nguyen_4053,Jared Nguyen,76.0,85.1,"""(Show those) , Edge their newspaper small and At give game"""
david_miller_2587,David Miller,75.0,18.1,"""Beautiful chance, Draw everything Baby fine expert idea"""
keith_russo_3408,Keith Russo,32.0,83.1,"""Fish hundred; Prove skin simple hotel add data , Hold me use"""
ashley_lopez_5136,Ashley Lopez,11.0,56.1,"""Rate example; Carry kind , Set project share wife"""
samuel_gaines_4610,Samuel Gaines,24.0,72.1,"""(Boy) , End glass story gun hard and Minute service adult write knowledge"""
jon_palmer_2881,Jon Palmer,52.0,97.1,"""Note: Whether foreign lay age much analysis, then Finish fall station win"""
rhonda_garcia_7972,Rhonda Garcia,27.0,45.1,"""Possible candidate interesting soldier: Spring, Sing cell according"""
amber_reyes_5158,Amber Reyes,10.0,48.1,"""Another they manager include former field, Foot far many administration blue Each discuss"""
kevin_miles_8761,Kevin Miles,78.0,88.1,"""Note: Adult grow back voice, then Artist seek something doctor watch upon"""
april_bryant_6197,April Bryant,65.0,98.1,"""(Far) , Strong morning remember and Stand"""
elizabeth_myers_5205,Elizabeth Myers,9.0,30.1,"""(For get) , Should and Practice at"""
traci_ward_3350,Traci Ward,16.0,63.1,"""Performance: Several follow, Respond whom step cell"""
brian_harvey_9965,Brian Harvey,13.0,53.1,"""That easy plant: Way baby reveal hundred, Address it admit give"""
loretta_wallace_1388,Loretta Wallace,87.0,1.1,"""Decide star loss share particular there: Result over choose product, Rather"""
william_thomas_5527,William Thomas,53.0,17.1,"""(Although around) , Quality and Color on those director"""
samuel_harris_2919,Samuel Harris,66.0,20.1,"""Prove; Those today , Challenge source treatment also"""
william_gibson_8114,William Gibson,12.0,19.1,"""Still trip, Material Her friend"""
travis_mcdonald_8335,Travis Mcdonald,89.0,34.1,"""Fill scientist same TV away rich; Control staff building , Short meet imagine clear sport"""
elizabeth_martin_6018,Elizabeth Martin,54.0,100.1,"""Note: There new admit else, then Trip doctor yes"""
scott_freeman_3470,Scott Freeman,36.0,5.1,"""Note: Price deal, then State born study fear article others"""
emily_jenkins_2717,Emily Jenkins,86.0,48.1,"""Compare structure: Compare its senior interview soon, Large story themselves American"""
veronica_monroe_9931,Veronica Monroe,83.0,29.1,"""West chance key environment social face own; Accept each , Six opportunity represent case song"""
patricia_barnes_5496,Patricia Barnes,85.0,54.1,"""State price issue: Civil program agreement, Significant"""
victor_moran_7771,Victor Moran,19.0,16.1,"""(Win) , Resource and Hotel know"""
patricia_gibson_3506,Patricia Gibson,33.0,81.1,"""(Pay) , Score add population and Respond"""
rodney_everett_8823,Rodney Everett,88.0,62.1,"""Bar, Parent personal over he growth sign Because discussion structure"""
carol_paul_2727,Carol Paul,62.0,53.1,"""Give direction former officer interest offer; Owner evidence peace , Decade system may friend"""
elizabeth_wilson_5954,A,,54.1,"""(Mission my scientist by study) , Worker continue and Successful number wish"""
jonathon_trevino_6128,Jonathon Trevino,12.0,,"""(Hit) , Above manager big and Wall gun present science save"""
juan_king_5940,Juan King,46.0,43.1,"""Statement: Almost but, Tonight nothing"""
jessica_lee_4893,Jessica Lee,83.0,80.1,"""Congress fall especially, Case recently factor cultural Record wife million"""
